canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Xucau	Xwytsau; Khuytsau; Huytsau; Xucaw; Great God; Creator of the Universe; God of Gods	Хуыцау	deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Supreme god of the Ossetian pantheon, ruling all the zaedtae and dawdzhytae; the top of the system the corpus held nothing of	-	ADD	none
Uastyrdzhi	Wastyrdzhi; Uasgergi; Laegty Dzuar; Lagtydzuar; Lagdzuar; Uastylag		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34); Encyclopaedia Iranica (article surfaced in research) s.v. UASTYRDZI	Patron of men, travellers, war and raiding, and guarantor of oaths; the most invoked figure in Ossetian religion and the one the Rekom shrine and the Khetag legend both turn on	Named in the sources as the father of Satana, which the pre-existing ossetian_satana record contradicts; recorded as a flagged relation and escalated, not resolved	ADD	none
Uacilla	Wacilla; Watsilla; Hory Uacilla; Uacilla of the wheat		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Thunderer and lord of storms; patron of agriculture and the harvest; a lightning-strike is a choosing and the struck survivor has a sheep sacrificed for him	-	ADD	none
Kurdalaegon	Kurdalagon; Kurdal-AEgon; the heavenly one		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Heavenly smith who tempered Batraz and Soslan and shoes the dead man's horse	Identified with Safa in the sources; both held, linked by equated-with, because the forge and the hearth chain are distinct cults	ADD	none by name; the corpus already cited him inside ossetian_batraz's domain label
Safa	Uac Safa; god of the hearth chain	рæхыс (the chain itself)	deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	God of the hearth chain and the most important domestic deity of the Ossetians; the corpus held no household layer at all	Identified with Kurdalaegon; see above	ADD	none
AEfsati	Afsati; AEfsati; Afsaty		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Primary deity of the hunt and protector of wild animals; game is his cattle, AEfsatijy fos	Same Caucasian hunting god as karachay_balkar_apsati and svan_apsat, held under their own keys; cross-tradition-counterpart-of links written from this end	ADD	HIT: 'Afsati' is an ALIAS on karachay_balkar_apsati and svan_apsat
Faelvaera	Falvara; Faelvaerae; the one-eyed shepherd-god		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Protector of sheep, one-eyed because Tutyr struck out his left eye so wolves could take the flock from the blind side	-	ADD	none
Tutyr	Totyr; Tutir; lord of the wolves		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Lord of the wolves and master of all wolves; wolves cannot take livestock without his will	Same figure as karachay_balkar_totur under the Karachay-Balkar key; cross-tradition-counterpart-of written from this end	ADD	HIT: 'Totur' resolves to karachay_balkar_totur
Alardy	Alardi; lord of smallpox		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Lord of smallpox and measles; placated rather than mourned, imagined descending a silver ladder	-	ADD	none
Barastyr	Barastir; ruler of the underworld		deity	Ossetian	Reference treatment of Ossetian (Alan) mythology and its pantheon (web research pass, lane 34)	Ruler of the Ossetian underworld, judge and jailer to some of the dead and host to others; the corpus held no Ossetian underworld	-	ADD	none
