canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Hun Batz	Hun B'atz' | One Monkey | One Howler	Jun B'atz'	demigod	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Elder half-brother of the Hero Twins, patron of scribes and artists, turned into a monkey. The registry held both younger brothers and neither elder one.	New ID maya_hun_batz	ADD	
Hun Chouen	Hun Chuen | Hun Chowen | One Artisan	Jun Chowen	demigod	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	The twin of Hun Batz and the other patron of scribes.	New ID maya_hun_chouen	ADD	
Xbaquiyalo	Xbakiyalo	Xb'aqiyalo	demigod	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	First wife of Hun Hunahpu and mother of the Monkey Twins; the reason the two pairs of brothers are half-brothers.	New ID maya_xbaquiyalo	ADD	
Xiquiripat	Flying Scab	Xikiripat	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, paired with the already-present Cuchumaquic in the sickening of blood.	New ID maya_xiquiripat	ADD	
Ahalpuh	Pus Demon | Ajal Puj	Ajal Puj	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, paired with Ahalgana in the swelling of bodies.	New ID maya_ahalpuh	ADD	
Ahalgana	Jaundice Demon | Ajal Q'ana	Ajal Q'ana	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, partner of Ahalpuh.	New ID maya_ahalgana	ADD	
Chamiabac	Bone Staff | Chamiyab'aq	Chamiyab'aq	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, paired with Chamiaholom in reducing the dead to skeletons.	New ID maya_chamiabac	ADD	
Chamiaholom	Skull Staff | Chamiyajolom	Chamiyajolom	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, partner of Chamiabac.	New ID maya_chamiaholom	ADD	
Ahalmez	Sweepings Demon | Ajal Mes	Ajal Mes	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, paired with Ahaltocob, lying in wait in unswept houses.	New ID maya_ahalmez	ADD	
Ahaltocob	Stabbing Demon | Ajal Toq'ob'	Ajal Toq'ob'	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, partner of Ahalmez.	New ID maya_ahaltocob	ADD	
Xic	Quicxic | Wing | Bloody Wing	Xik	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, paired with Patan in the deaths of travellers. Recorded as one lord with both name-forms rather than two, because the roster is twelve.	New ID maya_xic	ADD	
Patan	Packstrap | Tumpline	Patan	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	Lord of Xibalba, partner of Xic.	New ID maya_patan	ADD	
Xulu	Xulu the seer	Xulu	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	One of the two Xibalban seers through whom the Hero Twins arrange their own resurrection. The mechanism of the book's central episode.	New ID maya_xulu	ADD	
Pacam	Pacam the seer	Pakam	deity	Maya	Popol Vuh (primary), via the standard translations; plus reference commentary	The other seer, with Xulu.	New ID maya_pacam	ADD	
