canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Oshosi	Ọ̀ṣọ́ọ̀sì | Oxossi | Ochosi	Ọ̀ṣọ́ọ̀sì	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The hunter orisha. The registry held only his Cuban form; the Yoruba original was absent.	New ID yoruba_oshosi; counterpart-of santeria_ochosi	ADD	santeria_ochosi [Cuban Santería]
Erinle	Erinlẹ̀ | Inle | Inlé	Erinlẹ̀	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	A great hunter who sank into the earth near Ilobu and became the river that bears his name.	New ID yoruba_erinle	ADD	
Osumare	Ọ̀ṣùmàrè | Oshumare | Oxumaré	Ọ̀ṣùmàrè	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The rainbow and the serpent that is the rainbow. The registry held the Fon and Ewe rainbow-serpents and not the Yoruba one.	New ID yoruba_osumare	ADD	
Oba	Ọbà	Ọbà	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The senior wife of Shango and the river Oba, in a registry that held Shango, Oya and Oshun.	New ID yoruba_oba	ADD	
Yewa	Yéwà | Yewá	Yéwà	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The river Yewa and its orisha.	New ID yoruba_yewa	ADD	
Aje	Ajé | Aje Shaluga | Ajé Ṣàlugá	Ajé	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The orisha of wealth and prosperity, child of Olokun, in a registry holding Olokun.	New ID yoruba_aje; NOT the same figure as the pre-existing idoma_aje	ADD	idoma_aje [Idoma] — different figure, name collision only
Ori	Orí | Orí Inú	Orí	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The personal head: the destiny each person chooses before Olodumare. Arguably the most-invoked religious object in Yoruba practice.	New ID yoruba_ori	ADD	
Iyami Osoronga	Ìyàmi Òṣòròngà | the mothers	Ìyàmi Òṣòròngà	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The mothers, owners of the birds. A plural power addressed as a single figure in cult, not a class of interchangeable spirits.	New ID yoruba_iyami_osoronga	ADD	
Orisha Oko	Òrìṣà Oko | Orisa Oko	Òrìṣà Oko	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	The orisha of the farm and of the new yam, with a territorial cult at Irawo.	New ID yoruba_orisha_oko	ADD	
Iku	Ikú	Ikú	deity	Yoruba	Reference treatments consulted via server-side web search; see transcript citations	Death, head of the eight chief Ajogun. The individual at the head of the class, not the class.	New ID yoruba_iku	ADD	
