canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Diúveí	Diuvei | Iúveis	diúveí	deity	Oscan	Agnone Tablet (BM G_1873-0820-149); Oscan inscriptions	Oscan reflex of the Italic sky-father; no Oscan Jupiter record existed.	Proposed new ID oscan_diuvei	ADD	
Diúveí Verehasiúí	Jupiter Versor	diúveí verehasiúí	deity	Oscan	Agnone Tablet, dative list	Distinct cult-form listed separately on the tablet; split follows the messapian_zis precedent.	Proposed new ID oscan_diuvei_verehasius	ADD	
Diúveí Regatureí	Jupiter Rigator	diúveí regatureí	deity	Oscan	Agnone Tablet, dative list	Second distinct Jovian cult-form on the tablet; glossed as the rain-giver.	Proposed new ID oscan_diuvei_regatur	ADD	
Vezkeí	Veskeí	vezkeí	deity	Oscan	Agnone Tablet	Named recipient in the Garden of Ceres.	Proposed new ID oscan_vezkei	ADD	
Evklúí Patereí	Euclus	evklúí patereí	deity	Oscan	Agnone Tablet	Named father-god of the Agnone list.	Proposed new ID oscan_evklui	ADD	
Futreí Kerriíaí	the Cereal Daughter	futreí kerriíaí	deity	Oscan	Agnone Tablet	Named goddess; futreí is the word for daughter.	Proposed new ID oscan_futrei	ADD	
Ammaí Kerriíaí	the Cereal Mother	ammaí kerriíaí	deity	Oscan	Agnone Tablet	Named goddess addressed as Mother.	Proposed new ID oscan_ammai	ADD	
Anter Stataí	Stata Mater	anter stataí	deity	Oscan	Agnone Tablet	Named goddess, connected with the Stata Mater of the Marsi.	Proposed new ID oscan_anter_statai	ADD	
Liganakdíkeí Entraí		liganakdíkeí entraí	deity	Oscan	Agnone Tablet	Named recipient; gloss (vegetation and fruits) marked as a gloss.	Proposed new ID oscan_liganakdikei	ADD	
Patanaí Piístíaí		patanaí piístíaí	deity	Oscan	Agnone Tablet	Named goddess; gloss (winemaking) marked as a gloss.	Proposed new ID oscan_patana_piistia	ADD	
Deívaí Genetaí	Geneta Mana	deívaí genetaí	deity	Oscan	Agnone Tablet	Named goddess of birth.	Proposed new ID oscan_deiva_geneta	ADD	
Pernaí Kerriíaí		pernaí kerriíaí	deity	Oscan	Agnone Tablet	Named goddess under the Cereal title; gloss (shepherds) marked as a gloss.	Proposed new ID oscan_perna	ADD	
Angitia	Anagtiai	anagtiai	deity	Oscan	Reference treatment of Samnite and Marsian cult; the Lucus Angitiae by Lake Fucinus	Named goddess of healing, magic and serpents with a major sanctuary.	Proposed new ID oscan_angitia; Marsian-centred, filed under the Oscan key	ADD	
Hereklúí Kerriíúí	Hercules of Ceres	hereklúí kerriíúí	deity	Oscan	Agnone Tablet	Already in the corpus under his Cereal cult-title.	oscan_hercle	ALIAS	oscan_hercle
Kerrí	Kerres | Ceres	kerrí	deity	Oscan	Agnone Tablet	Principal deity of the sanctuary; already in the corpus.	oscan_kerres	EXISTING	oscan_kerres
Diumpaís Kerriíaís	the Lymphae	diumpaís kerriíaís	deity	Oscan	Agnone Tablet	Names the spring-nymphs as a class, not an individual.	Power-class, not an individual	REJECT	
Anafríss Kerriíúís	the Imbres	anafríss kerriíúís	deity	Oscan	Agnone Tablet	Names the rain-powers as a class, not an individual.	Power-class, not an individual	REJECT	
Maatúís Kerriíúís		maatúís kerriíúís	deity	Oscan	Agnone Tablet	Names the dew-powers as a class, not an individual.	Power-class, not an individual	REJECT	
Venas		venas	deity	Messapian	Messapic inscriptions; reference treatment of Messapic religion	Inherited Indo-European theonym, cognate with Venus; invoked with Zis and Taotor.	Proposed new ID messapian_venas	ADD	
Taotor	Tautor	taotor	deity	Messapian	Messapic inscriptions; reference treatment	Named god of the community, from PIE *teutéha-.	Proposed new ID messapian_taotor	ADD	
Athana		athana	deity	Messapian	Reference treatment of Iapygian cult	Local cult of Athena under the Messapic name; parallel to the existing messapian_aprodita.	Proposed new ID messapian_athana	ADD	
Lahona		lahona	deity	Messapian	Votive inscriptions from Ceglie Messapica (ana aprodita lahona)	Reported as a deity name used as an epithet attached to Aprodita; whether it names a distinct goddess or is only a title is unresolved.	Possibly an epithet of messapian_aprodita	BLOCKED	messapian_aprodita
Krimisos	Crimisus	Κριμισός	deity	Sicel	Reference treatment of the Sicilian river-gods and the Egestan foundation tradition	Named river-god and father of the founder of Egesta.	Proposed new ID sicel_krimisos	ADD	
Segesta	Egesta | Aigesta	Αἴγεστα	numen	Sicel	Reference treatment of the Egestan foundation tradition	Named nymph, eponym of the city, mother of its founder.	Proposed new ID sicel_segesta	ADD	
Eryx		Ἔρυξ	demigod	Sicel	Reference treatment of Eryx and of the Elymian sanctuary on the mountain	Named eponymous hero of Mount Eryx; son of the goddess of love.	Proposed new ID sicel_eryx	ADD	
Anapos	Anapus	Ἄναπος	deity	Sicel	Reference treatment of the Sicilian river-gods	River-god of Syracuse, represented there as a man — a Greek colonial cult rather than an indigenous Sicilian one.	Belongs to the Greek tradition; handed off	CROSS-TRADITION SAME FIGURE	
Kyane	Cyane	Κυάνη	numen	Sicel	Reference treatment of the Sicilian nymphs	Most renowned of the Nymphae Sicelidae, honoured at Syracuse with a statue — again Syracusan-Greek cult.	Belongs to the Greek tradition; handed off	CROSS-TRADITION SAME FIGURE	
Daphnis		Δάφνις	demigod	Sicel	Reference treatment of Daphnis, the Sicilian cowherd of Greek bucolic	Sicilian by setting but Greek by parentage and by literary tradition; the indigenous/colonial boundary is unresolved for him.	—	BLOCKED	
