canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Quirinus	Quirinus Pater | Quirinus of the Quirinal	Quirinus	deity	Roman	Reference treatment of Quirinus, the Archaic Triad, the Sabine origin and the Quirinal altar.; Reference treatment of the flamen Quirinalis as third of the flamines maiores and of his ritual	Third god of the Archaic Triad with his own flamen maior and the Quirinalia; absent from the whole registry.	Proposed new ID roman_quirinus	ADD	
Venus	Venus Genetrix | Venus Erycina | Venus Victrix | Venus Verticordia	Venus	deity	Roman	Reference treatment of the Temple of Venus Genetrix, Forum of Caesar, dedicated 26 September 46 BCE.; Reference treatment of Venus, her Italic name-etymology and her assimilation to Aphrodit	Major Roman goddess absent from the whole registry; only an unrelated Pawnee homonym existed.	Proposed new ID roman_venus	ADD	
Cupido	Cupid | Amor	Cupido	deity	Roman	Reference treatment of Cupid, his parentage from Venus, his attributes and his Greek counterpart.	Son of Venus, Roman god of desire; absent from the whole registry.	Proposed new ID roman_cupido	ADD	
Apollo	Apollo Medicus | Apollo Sosianus | Apollo Palatinus	Apollo	deity	Roman	Reference treatment of the Temple of Apollo Sosianus and the antiquity of the Apollo cult in the Campus Martius.	Roman cult of Apollo from the mid-5th c. BCE with its own temples; only the Greek record existed.	Proposed new ID roman_apollo	ADD	
Caelus	Caelum | Coelus	Caelus	deity	Roman	Reference treatment of Caelus, his family and the absence of a Roman cult.	Head of the Roman divine genealogy; notably without cult at Rome, which is recorded.	Proposed new ID roman_caelus	ADD	
Tellus	Tellus Mater | Terra | Terra Mater	Tellus	deity	Roman	Reference treatment of Tellus and of the Temple of Tellus vowed after the 268 BCE earthquake.	Roman earth mother with a temple vowed in the 268 BCE earthquake.	Proposed new ID roman_tellus	ADD	
Semo Sancus	Sancus | Dius Fidius | Semo Sancus Dius Fidius	Semo Sancus Dius Fidius	deity	Roman	Reference treatment of Sancus / Semo Sancus Dius Fidius, his spheres, the antiquity of the cult and the Quirinal temple.	God of oaths with a Quirinal temple; one of the most ancient Roman cults.	Proposed new ID roman_semo_sancus	ADD	
Summanus	Summanus of the night thunder	Summanus	deity	Roman	Reference treatment listing Summanus among the Tatian altars and describing his nocturnal thunder.	God of nocturnal thunder, among the Tatian altars.	Proposed new ID roman_summanus	ADD	
Vediovis	Veiovis | Vejovis | Vedius	Vediovis	deity	Roman	Reference treatment of Vejovis, his Etruscan origin in Vetis, and the Tatian altars.	Chthonic counter-Jupiter of Etruscan derivation with a Capitoline temple.	Proposed new ID roman_vediovis	ADD	
Victoria	Victoria Virgo | Victoria Augusta	Victoria	deity	Roman	Reference treatment of the Temple of Victoria and of the Roman worship of personifications.	Temple on the Palatine dedicated 294 BCE; the Senate-house altar of Victory.	Proposed new ID roman_victoria	ADD	
Fides	Fides Publica | Fides Populi Romani	Fides	deity	Roman	Reference treatment of the Temple of Fides and of Fides among the personified virtues given Roman state cult.	Capitoline temple founded 254/250 BCE; cult traced to Numa.	Proposed new ID roman_fides	ADD	
Concordia	Concordia Augusta | Concordia Ordinum	Concordia	deity	Roman	Reference treatment of Concordia, the 304 BCE vow and the repeated rebuildings of the Forum temple.	Shrine vowed 304 BCE by Cn. Flavius; Forum temple rebuilt after each civil crisis.	Proposed new ID roman_concordia	ADD	
Spes	Spes Publica | Spes Augusta	Spes	deity	Roman	Reference treatment of the Temple of Spes and of Spes among the Roman personifications with temples and festivals.	Temple in the Forum Holitorium vowed by Aulus Atilius in the First Punic War.	Proposed new ID roman_spes	ADD	
Salus	Salus Publica | Salus Populi Romani | Salus Augusta	Salus	deity	Roman	Reference treatment of the Temple of Salus and its vow and dedication dates.	Quirinal temple vowed 311 BCE, dedicated 303 BCE.	Proposed new ID roman_salus	ADD	
Libertas	Libertas Publica | Libertas Augusta	Libertas	deity	Roman	Reference treatment of the Temple of Libertas and of Libertas among the personified virtues.	Aventine temple built 297 BCE.	Proposed new ID roman_libertas	ADD	
Pietas	Pietas Augusta	Pietas	deity	Roman	Reference treatment of Pietas and of her temple dedicated in 181 BCE.	Temple dedicated 181 BCE.	Proposed new ID roman_pietas	ADD	
Virtus	Virtus Augusta	Virtus	deity	Roman	Reference treatment of the temple(s) of Honos and Virtus and of Virtus among the personified virtues.	Paired temple complex with Honos at the Porta Capena.	Proposed new ID roman_virtus	ADD	
Honos	Honor | Honos Augustus	Honos	deity	Roman	Reference treatment of the temple(s) of Honos and Virtus.	Paired temple complex with Virtus at the Porta Capena.	Proposed new ID roman_honos	ADD	
Pax	Pax Augusta | Pax Romana	Pax	deity	Roman	Reference treatment of Pax among the Roman divine personifications and of her Augustan cult.	Augustan state cult; the Ara Pacis.	Proposed new ID roman_pax	ADD	
Felicitas	Felicitas Publica | Felicitas Augusta	Felicitas	deity	Roman	Reference treatment of the Roman worship of divine qualities, including Felicitas.	Divine quality with temple cult at Rome; no dedication date asserted (unverified in this pass).	Proposed new ID roman_felicitas	ADD	
Juventas	Iuventas | Iuventus	Iuventas	deity	Roman	Reference treatment of Juventas and of the Capitoline tradition of the immovable shrines.	Capitoline shrine that would not be moved for the temple of Jupiter.	Proposed new ID roman_juventas	ADD	
Annona	Annona Augusta	Annona	deity	Roman	Reference treatment of Annona among the Roman divine personifications.	Imperial personification of the grain supply.	Proposed new ID roman_annona	ADD	
Abundantia	Abundantia Augusta | Copia	Abundantia	deity	Roman	Reference treatment of Abundantia among the Roman divine personifications.	Imperial personification of plenty.	Proposed new ID roman_abundantia	ADD	
Consus	Consus of the underground granary	Consus	deity	Roman	Reference treatment of Consus, his subterranean altar and the Consualia.	God of the stored harvest; buried altar in the Circus Maximus and the Consualia.	Proposed new ID roman_consus	ADD	
Flora	Flora Mater	Flora	deity	Roman	Reference treatment of Flora, the Floralia, and her pairing with Robigus.	Roman goddess of the Floralia, distinct from the Oscan Fluusa that carries Flora as an alias.	Proposed new ID roman_flora	ADD	
Robigus	Robigo | Rubigus	Robigus	deity	Roman	Reference treatment of Robigus, his protection of the corn against disease, and the Robigalia.	God of wheat rust; the Robigalia of 25 April.	Proposed new ID roman_robigus	ADD	
Feronia	Feronia of Terracina | Feronia of Lucus Feroniae	Feronia	deity	Roman	Reference treatment of Feronia, her spheres, her worship by slaves and her festival date.	Italic goddess of manumission and harvest with sanctuaries at Terracina and Lucus Feroniae.	Proposed new ID roman_feronia	ADD	
Silvanus	Silvanus Domesticus | Silvanus Agrestis | Silvanus Orientalis	Silvanus	deity	Roman	Reference treatment of Silvanus, his spheres and his overwhelmingly private cult.	God of woodland; one of the most-dedicated gods in the Latin epigraphic record.	Proposed new ID roman_silvanus	ADD	
Portunus	Portumnus | Portunus of the Forum Boarium	Portunus	deity	Roman	Reference treatment of Portunus and of the Temple of Portunus in the Forum Boarium.	God of keys, doors and harbours; the best-preserved Republican temple in Rome.	Proposed new ID roman_portunus	ADD	
Angerona	Angeronia | Diva Angerona	Angerona	deity	Roman	Reference treatment of Angerona, her iconography and her festival.	Goddess of silence and the solstice; the Divalia of 21 December.	Proposed new ID roman_angerona	ADD	
