canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Marjatta		Marjatta	mortal	Finnish	Reference treatments consulted via server-side web search; see transcript citations	THE KALEVALA HAS FIFTY CANTOS AND THE CORPUS HELD THE CAST OF FORTY-NINE. The maiden of the last one, who conceives from a lingonberry and bears the son whose baptism ends Vainamoinen's age. The record does NOT identify her with the Virgin Mary; the parallel is the canto's and is recorded as the canto's.	New ID finnish_marjatta	ADD	
Marjatta's son	Marjatan poika; the King of Karelia	Marjatan poika	mortal	Finnish	Reference treatments consulted via server-side web search; see transcript citations	The two-week-old infant who answers Vainamoinen's death-sentence and is baptised King of Karelia, at which Vainamoinen sings himself a boat and leaves the world. THE LAST EVENT IN THE EPIC, AND THE CORPUS COULD NOT STATE IT. Unnamed in the poem; the record uses the patronymic and invents nothing.	New ID finnish_marjatan_poika	ADD	
Virokannas	Virankannos; Vironkannas	Virokannas	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	TWO ATTESTATIONS THREE CENTURIES APART UNDER ONE NAME: Agricola 1551 lists him as the Karelian protector of oats; the Kalevala gives the name to the man who baptises Marjatta's son. One record, both attestations, no explanation of how the one became the other, because the treatments do not give one.	New ID finnish_virokannas	ADD	
the Maiden of Pohjola	Pohjan neiti; Pohjolan neito	Pohjan neiti	demigod	Finnish	Reference treatments consulted via server-side web search; see transcript citations	THE SAMPO IS FORGED FOR HER AND THE CORPUS DID NOT HOLD HER. Louhi's price, the setter of Vainamoinen's impossible tasks, Ilmarinen's wife, and the woman Kullervo's beasts kill. UNNAMED IN THE EPIC: filed under the title the poem uses, because the alternative is recording the epic's silence as the absence of a person.	New ID finnish_pohjan_neiti	ADD	
Annikki		Annikki	mortal	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Ilmarinen's sister, who sees Vainamoinen's boat making for Pohjola and tells her brother. A small part that starts the largest plot in the poem.	New ID finnish_annikki	ADD	
the Golden Maiden	Kultaneito; the golden bride	Kultaneito	numen	Finnish	Reference treatments consulted via server-side web search; see transcript citations	The bride Ilmarinen forges from gold and silver after his wife's death, who cannot be warmed, and whom Vainamoinen refuses. A MADE BEING, hence numen. The corpus held the smith and the Sampo and not the other thing he made.	New ID finnish_kultaneito	ADD	
Osmotar	Kapo; Kalevatar	Osmotar	numen	Finnish	Reference treatments consulted via server-side web search; see transcript citations	The maiden of rune 20 who brews the first beer in the world for the wedding at Pohjola. THE ORIGIN OF BEER TAKES UP MORE LINES OF THE KALEVALA THAN THE ORIGIN OF FIRE.	New ID finnish_osmotar	ADD	
Tiera	Kura	Tiera	mortal	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Lemminkainen's companion on the raid against Pohjola. The corpus held Lemminkainen with four relations and none of them a friend.	New ID finnish_tiera	ADD	
Kalma		Kalma	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Goddess of death and decay, daughter of Tuoni and Tuonetar; her name is the word for the smell of a corpse. TUONI HAD FIVE DAUGHTERS AND THE CORPUS HELD ONE.	New ID finnish_kalma	ADD	
Surma		Surma	numen	Finnish	Reference treatments consulted via server-side web search; see transcript citations	The dog-shaped being at the threshold of Tuonela who attends Kalma and takes the dead in. INGESTED WHERE HOUNDS WERE REJECTED in lanes 18 and 19, because Bran, Sceolang and the Cwn Annwn were animals with an owner and this is death itself with a shape.	New ID finnish_surma	ADD	
Kivutar	the maiden of pain	Kivutar	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Daughter of Tuoni and Tuonetar who boils pain in a pot; invoked by name with Vammatar in the great incantation of rune 45. TWO RECORDS WHERE SOME TREATMENTS MAKE ONE; see audit.	New ID finnish_kivutar	ADD	
Kiputyttö	Kipu-tyttö; the Pain Girl	Kiputyttö	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Daughter of Tuoni and Tuonetar who sits on the pain-stone at Kipumaki where three rivers meet, into which pain is ground because a stone cannot feel it. The healing charms move pain into something that cannot feel it and the registry had nowhere to record what it is moved to.	New ID finnish_kiputytto	ADD	
Vammatar	Lady Injury	Vammatar	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Daughter of Tuoni and Tuonetar, invoked with Kivutar to take injury away. THE CORPUS HELD LOVIATAR, MOTHER OF THE NINE DISEASES, AND NONE OF THE THREE SISTERS THE SAME POEM INVOKES TO TAKE THEM AWAY.	New ID finnish_vammatar	ADD	
Päivätär	the Sun Maiden	Päivätär	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Nature-maiden of the sun, sister of Kuutar, spinner and weaver of silver and gold; the two weave on the rim of the rainbow in rune 41. THE REGISTRY INDEXES 560 TRADITIONS AND HELD NO FINNISH SUN.	New ID finnish_paivatar	ADD	
Kuutar	the Moon Maiden	Kuutar	deity	Finnish	Reference treatments consulted via server-side web search; see transcript citations	Nature-maiden of the moon, sister of Paivatar. The sources say plainly there is little more about either of them than this and the record does not supply more.	New ID finnish_kuutar	ADD	
