canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Tonacatecuhtli	Tōnacātēcuhtli | Ometecuhtli | Ōmetēcuhtli | Two-Lord	Tōnacātēcuhtli	deity	Aztec/Mexica	Reference treatments of Ometeotl and Omeyocan	'Lord of our flesh': the name the Aztec sources actually use for the male half of the primordial pair. Carries Ometecuhtli as an alias and links to the existing Ometeotl record.	Proposed new ID aztec_tonacatecuhtli	ADD	
Tonacacihuatl	Tōnacācihuātl | Omecihuatl | Ōmecihuātl | Two-Lady	Tōnacācihuātl	deity	Aztec/Mexica	Reference treatments of Tonacacihuatl and Omeyocan	The female half of the same pair, with Omecihuatl as an alias.	Proposed new ID aztec_tonacacihuatl	ADD	
Xolotl	Xōlōtl	Xōlōtl	deity	Aztec/Mexica	Reference treatment of Xolotl	The dog-headed evening star, twin of Quetzalcoatl, who walks the dead down into Mictlan.	Proposed new ID aztec_xolotl	ADD	
Tlahuizcalpantecuhtli	Tlāhuizcalpantēcuhtli | Lord of the Dawn	Tlāhuizcalpantēcuhtli	deity	Aztec/Mexica	Reference treatment of Tlahuizcalpantecuhtli and the Venus tables	Venus as the morning star, whose heliacal rising was held to shoot darts at named classes of victim.	Proposed new ID aztec_tlahuizcalpantecuhtli	ADD	
Nanahuatzin	Nanāhuātzin | Nanahuatl | the pimply one	Nanāhuātzin	deity	Aztec/Mexica	Reference treatment of the fifth-sun myth	The humblest and sickest god, who jumped into the fire at Teotihuacan and became the sun.	Proposed new ID aztec_nanahuatzin	ADD	
Tecciztecatl	Tēcciztēcatl | Tecuciztecatl | the conch-shell lord	Tēcciztēcatl	deity	Aztec/Mexica	Reference treatment of the fifth-sun myth	The proud god whose nerve failed four times, dimmed by a thrown rabbit and made the moon.	Proposed new ID aztec_tecciztecatl	ADD	
Itzpapalotl	Ītzpāpālōtl | Obsidian Butterfly | Clawed Butterfly	Ītzpāpālōtl	deity	Aztec/Mexica	Reference treatment of Itzpapalotl	The Obsidian Butterfly: skeletal warrior goddess of Tamoanchan, one of the tzitzimimeh, and the mother of the Mixcoatl the registry already carried.	Proposed new ID aztec_itzpapalotl	ADD	
Cihuacoatl	Cihuācōātl | Snake Woman | Quilaztli	Cihuācōātl	deity	Aztec/Mexica	Reference treatment of Cihuacoatl	Mother and war goddess, patron of women who die in childbirth, and the name of the second office of the Mexica state.	Proposed new ID aztec_cihuacoatl	ADD	
Chantico	Chāntico | Quaxolotl	Chāntico	deity	Aztec/Mexica	Reference treatment of Chantico	Goddess of the hearth fire, as against Xiuhtecuhtli's fire at the centre of the world.	Proposed new ID aztec_chantico	ADD	
Chicomecoatl	Chicomecōātl | Seven Serpent | Chalchiuhcihuatl	Chicomecōātl	deity	Aztec/Mexica	Reference treatments of Chicomecoatl and Ochpaniztli	The mature maize plant. The registry held Centeotl and none of the other maize deities.	Proposed new ID aztec_chicomecoatl	ADD	
Xilonen	Xīlōnen | Xilonenqui	Xīlōnen	deity	Aztec/Mexica	Reference treatment of Xilonen	The tender first ear of maize, honoured when the new crop was first eaten.	Proposed new ID aztec_xilonen	ADD	
Huixtocihuatl	Huīxtohcihuātl | Uixtochihuatl | Salt Woman	Huīxtohcihuātl	deity	Aztec/Mexica	Reference treatment of Huixtocihuatl	Goddess of salt and salt water, patron of the salt-makers of the lake edge.	Proposed new ID aztec_huixtocihuatl	ADD	
Patecatl	Pahtēcatl | Lord of the Root of Pulque	Pahtēcatl	deity	Aztec/Mexica	Reference treatments of Patecatl and the pulque gods	Lord of the root of pulque and god of medicines. The registry held Mayahuel, the maguey, and not her husband the process.	Proposed new ID aztec_patecatl	ADD	
Tepoztecatl	Tepoztēcatl | Ometochtli | Ōmetōchtli | Two Rabbit	Tepoztēcatl	deity	Aztec/Mexica	Reference treatments of Tepoztecatl and the Centzon Totochtin	The one of the four hundred pulque gods with a town, a cliff-top temple and a name.	Proposed new ID aztec_tepoztecatl	ADD	
Xochipilli	Xōchipilli | Flower Prince | Macuilxochitl (conflated)	Xōchipilli	deity	Aztec/Mexica	Reference treatment of Xochipilli	The Flower Prince: flowers, song, dance, games, and the famous statue whose carved flora are identifiable psychoactive plants.	Proposed new ID aztec_xochipilli	ADD	
Macuilxochitl	Mācuīlxōchitl | Five Flower	Mācuīlxōchitl	deity	Aztec/Mexica	Reference treatments of Macuilxochitl and the Ahuiateteo	God of games and gambling, chief of the five gods of excess.	Proposed new ID aztec_macuilxochitl	ADD	
Ixtlilton	Īxtlīltōn | the little black-faced one	Īxtlīltōn	deity	Aztec/Mexica	Reference treatment of Ixtlilton	God of health, medicine and dancing, whose shrine kept a black water given to sick children.	Proposed new ID aztec_ixtlilton	ADD	
