canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Anu	Anu the sky	Anu	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	THE HEADLINE. Second king in heaven, overthrown by his cup-bearer Kumarbi, WHO BITES OFF HIS PENIS AND SWALLOWS IT - and whose curse tells Kumarbi that from the seed now inside him five gods will be born to depose him, the first of them Teshub. THE CORPUS HELD BOTH ENDS OF A SWALLOWING AND NOT THE THING SWALLOWED: Alalu, Kumarbi and Teshub were all in the registry and Anu was not.	New ID hurrian_anu	ADD	
Silver	Ushhune	Ušḫune	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A son of Kumarbi who WAS KING IN HEAVEN FOR A TIME and has a song of the cycle to himself. The corpus held Ullikummi the stone and Hedammu the sea-serpent and not the one of Kumarbi's champions who actually reached the throne.	New ID hurrian_silver	ADD	
Upelluri	Ubelluri	Upelluri	numen	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The primordial giant already alive when heaven and earth were separated, who carries them on his back and lives in the Dark Earth - and on whose shoulder the Irsirra secretly set the infant Ullikummi to grow. A GIANT WHO CARRIES THE WORLD AND DOES NOT NOTICE A MOUNTAIN GROWING ON HIS SHOULDER.	New ID hurrian_upelluri	ADD	
Sheri	Šeri	Šeri	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	One of the two bulls that pull Teshub's wagon; his name is the word for DAY. THE CORPUS HELD TESHUB AND NOT WHAT PULLS HIM. Gods portrayed as bulls, not bulls with names, which is why they are ingested where five horses, two hounds and Balder's foal were rejected.	New ID hurrian_sheri	ADD	
Hurri	Ḫurri	Ḫurri	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The second bull, whose name is the word for NIGHT, and whom the eastern tradition replaces with Tilla.	New ID hurrian_hurri	ADD	
Tilla		Tilla	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The bull who stands in Hurri's place in the eastern tradition. TWO RECORDS FOR A REGIONAL SUBSTITUTION, and neither says the two are the same being - the sources describe a replacement of one NAME by another in a different region, which is not the same claim as an alias.	New ID hurrian_tilla	ADD	
Ashtabi	Aštabi	Aštabi	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The Hurrian god of war, of Eblaite background. A PANTHEON WITH A STORM GOD, A SUN GOD, A MOON GOD AND NO WAR GOD is what the registry had.	New ID hurrian_ashtabi	ADD	
Shuwaliyatti	Šuwaliyat	Šuwaliyatti	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A god of the pantheon lists, whose consort is Nabarbi.	New ID hurrian_shuwaliyatti	ADD	
Nabarbi	Nawarni	Nabarbi	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Consort of Shuwaliyatti and a member of Hebat's circle in the kaluti. ATTESTED FROM TWO DIRECTIONS, which is more than most of this batch has.	New ID hurrian_nabarbi	ADD	
Takitu	Takiti	Takitu	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Hebat's attendant. THE CORPUS HELD HEBAT AND NONE OF HER CIRCLE - and in the Hurrian material a principal deity is documented THROUGH the kaluti that name the gods who go with them, so holding the principal without the circle is holding half the attestation.	New ID hurrian_takitu	ADD	
Allanzu	Alanzu	Allanzu	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A daughter of Hebat, named in the kaluti with her siblings Sharruma and Kunzishalli. DELIBERATELY NOT parentIds: an offering list's ordering is not a genealogy, and in this corpus parentIds drives the computed tier - the decision lane 23 made for Mihr and Nane.	New ID hurrian_allanzu	ADD	
Kunzishalli	Kunzišalli	Kunzišalli	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A child of Hebat, named in the kaluti. sex recorded as unknown because the sources give a name in an offering list and no more.	New ID hurrian_kunzishalli	ADD	
Shuwala	Šuwala	Šuwala	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A goddess of Hebat's circle, connected with the city of Mardaman.	New ID hurrian_shuwala	ADD	
Adamma		Adamma	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A deity of Hebat's circle, of Eblaite background.	New ID hurrian_adamma	ADD	
Kubaba		Kubaba	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The goddess of Carchemish, in Hebat's circle. SHE IS A CITY'S GODDESS BEFORE SHE IS A MEMBER OF A CIRCLE, and the record asserts nothing about the later Kybele question, which is a proposal and not a source.	New ID hurrian_kubaba	ADD	
Allani	Allatu; Allatum	Allani	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	THE HURRIAN GODDESS OF THE UNDERWORLD, and one of the deities who determine the fates of mortals. The scholarship names THREE primary Hurrian goddesses - Allani, Ishara and Shaushka - AND THE REGISTRY HELD ONE OF THEM.	New ID hurrian_allani	ADD	
Ishara	Išḫara	Išḫara	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Associated with the underworld and invoked beside Allani; in the ritual of Allaiturahi the two are called on together to keep demonic forces out of a household. A RITE WITH A STATED PURPOSE, rarer in this batch than a name in a list.	New ID hurrian_ishara	ADD	
Hutena and Hutellura	Hutena-Hutellura	Ḫutena-Ḫutellura	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The paired goddesses of fate and birth. ONE RECORD FOR A PAIR THE SOURCES NEVER SEPARATE, on the ground that gave lane 22 one record for the Alcis: the offering lists write them as a hyphenated unit and give neither a separate act.	New ID hurrian_hutena_hutellura	ADD	
Nikkal	Ningal	Nikkal	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Consort of the moon god Kushuh and a member of Hebat's circle, placed after Ishara and before the pair Umbu-Nikkal. THE CORPUS HELD KUSHUH AND NOT HIS CONSORT.	New ID hurrian_nikkal	ADD	
Nupatik	Lubadag; Nubadig	Nupatik	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A Hurrian god attested at Ugarit together with Kumarbi and Nikkal.	New ID hurrian_nupatik	ADD	
the Goddess of the Night	DINGIR.GE6	the Goddess of the Night	deity	Hurrian	Reference treatments consulted via server-side web search; see transcript citations	FILED UNDER A DESIGNATION BECAUSE THE SOURCE GIVES A DESIGNATION, as lane 20 filed the Maiden of Pohjola and lane 24 the Dragon King of the East Sea. The Hurrian name behind the logogram is not recovered. THE RITUAL IS THE INTERESTING PART: a text setting out how to found a SECOND temple to a goddess who already has one, and how to divide her between them.	New ID hurrian_goddess_of_the_night	ADD	
Umbu		Umbu		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: AN UMBU RECORD WAS AUTHORED AND THEN REMOVED. The sources place Nikkal in the kaluti 'before the pair Umbu-Nikkal', and Umbu looked like a separate deity - but THE SECOND SWEEP RESOLVED 'Umbu' ONTO hurrian_kushuh, WHICH ALREADY CARRIES IT AS AN ALIAS. A second record would have been the within-tradition duplicate this programme forbids; Nikkal's pairing edge is written to Kushuh instead. This is the clearest thing the twice-run sweep has caught in eleven lanes.	Alias on hurrian_kushuh	ALIAS	hurrian_kushuh
Ushhune		Ushhune		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Hurrian name; the Hittite tablets write it with the logogram for silver, which is why he is Silver in English.	Alias on hurrian_silver	ALIAS	hurrian_silver
Ubelluri		Ubelluri		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: A spelling variant.	Alias on hurrian_upelluri	ALIAS	hurrian_upelluri
Allatu		Allatu		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Akkadian form; Allatum is a third.	Alias on hurrian_allani	ALIAS	hurrian_allani
Lubadag		Lubadag		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The older form of the name.	Alias on hurrian_nupatik	ALIAS	hurrian_nupatik
Ningal		Ningal		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Mesopotamian original, 'great lady', from which Nikkal comes by way of Ugaritic.	Alias on hurrian_nikkal	ALIAS	hurrian_nikkal
Takiti		Takiti		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: A spelling variant.	Alias on hurrian_takitu	ALIAS	hurrian_takitu
Nawarni		Nawarni		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: A form connected with the city of Nawar.	Alias on hurrian_nabarbi	ALIAS	hurrian_nabarbi
DINGIR.GE6		DINGIR.GE6		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The logogram the Hittite tablets write her name with.	Alias on hurrian_goddess_of_the_night	ALIAS	hurrian_goddess_of_the_night
Alalu		Alalu		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - the first king in heaven, and the corpus held him and the man who deposed the man who deposed him, and not the man in between.	Existing ID hurrian_alalu	EXISTING	hurrian_alalu
Kumarbi		Kumarbi		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID hurrian_kumarbi	EXISTING	hurrian_kumarbi
Teshub		Teshub		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and not his father, nor the bulls that pull his wagon.	Existing ID hurrian_teshub	EXISTING	hurrian_teshub
Hebat		Hebat		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and none of her circle.	Existing ID hurrian_hebat	EXISTING	hurrian_hebat
Sharruma		Sharruma		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and not his sister Allanzu nor his sibling Kunzishalli.	Existing ID hurrian_sharruma	EXISTING	hurrian_sharruma
Shaushka		Shaushka		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and the sources name three primary Hurrian goddesses, of whom she was the only one in the registry.	Existing ID hurrian_shaushka	EXISTING	hurrian_shaushka
Kushuh		Kushuh		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held, WITH 'Umbu' AMONG HIS ALIASES - which is what stopped this batch creating a duplicate - and without his consort Nikkal.	Existing ID hurrian_kushuh	EXISTING	hurrian_kushuh
Shimige		Shimige		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID hurrian_shimige	EXISTING	hurrian_shimige
Tasmisu		Tasmisu		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - Teshub's vizier.	Existing ID hurrian_tasmisu	EXISTING	hurrian_tasmisu
Ullikummi		Ullikummi		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and not the giant he was set on to grow.	Existing ID hurrian_ullikummi	EXISTING	hurrian_ullikummi
Hedammu		Hedammu		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID hurrian_hedammu	EXISTING	hurrian_hedammu
Aranzah		Aranzah		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - the deified Tigris.	Existing ID hurrian_aranzah	EXISTING	hurrian_aranzah
Ea		Ea		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID hurrian_ea	EXISTING	hurrian_ea
Sertapsuruhi		Sertapsuruhi		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - the sea god's daughter, and one of the two accounts of Ullikummi's mother.	Existing ID hurrian_sertapsuruhi	EXISTING	hurrian_sertapsuruhi
Anu (Mesopotamian)		Anu (Mesopotamian)		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	A FALSE HIT FOR THIS TRADITION'S PURPOSES. The sweep resolves 'Anu' onto the Mesopotamian sky god - and onto irish_danu, which carries Anu as an alias - and NEITHER IS THE ANU OF THE KUMARBI CYCLE. The Hurrian succession myth takes the Mesopotamian name; that is a fact about how the myth was built, and no edge is drawn.	Cross-tradition: mesopotamian_anu	CROSS-TRADITION SAME FIGURE	mesopotamian_anu
Anu / Ana (Irish)		Anu / Ana (Irish)		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	The second false hit: the Irish Danu carries Anu as an alias.	Cross-tradition: irish_danu	CROSS-TRADITION SAME FIGURE	irish_danu
Ishara (Eblaite)		Ishara (Eblaite)		Hurrian	Reference treatments consulted via server-side web search; see transcript citations	Held under the Eblaite key, which is where her background is. The Hurrian attestation is its own - the underworld role and the Allaiturahi ritual - and is a separate record on the same footing as Wodan beside Woden and Odin. No edge.	Cross-tradition: eblaite_ishara	CROSS-TRADITION SAME FIGURE	eblaite_ishara
