canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Siddhārtha Gautama	Śākyamuni; the Buddha	Siddhārtha Gautama	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	THE HEADLINE. THE REGISTRY HELD MARA AND HIS THREE DAUGHTERS AND NOT THE MAN THEY WERE SENT TO TEMPT. TYPE mortal and that is the tradition's own position: a Buddha is not a god and was not one before, and what he BECAME is on the lifecycle.	New ID buddhist_shakyamuni	ADD	
Māyā	Mahāmāyā	Māyā	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	His mother, who died shortly after he was born. A WOMAN WHOSE WHOLE RECORDED LIFE IS A BIRTH AND A DEATH SEVEN DAYS APART.	New ID buddhist_maya	ADD	
Śuddhodana	Suddhodana	Śuddhodana	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	His father, a leader of the Shakya - the sources make him a leader of a people and not the king of a kingdom, and the record follows them.	New ID buddhist_suddhodana	ADD	
Mahāprajāpatī Gautamī	Mahāpajāpatī Gotamī	Mahāprajāpatī Gautamī	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	Maya's sister, who raised him, and THE FIRST NUN - the order exists because she would not stop asking, and the sources say it was established 'with additional rules', which the record states without softening either half.	New ID buddhist_mahaprajapati	ADD	
Yaśodharā	Yasodhara	Yaśodharā	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	His cousin and wife, married at sixteen, mother of Rahula - and DEVADATTA'S SISTER, so the man who becomes the Buddha's great enemy is his wife's brother, which the corpus could not say because it held neither.	New ID buddhist_yashodhara	ADD	
Rāhula		Rāhula	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	Born on the day his father left the palace; A CHILD ORDAINED AT SEVEN BY HIS OWN FATHER, and named, the tradition says, for a fetter.	New ID buddhist_rahula	ADD	
Devadatta		Devadatta	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	Yasodhara's brother, a disciple who became, BY SOME ACCOUNTS, a dangerous rival. The record does not narrate the schism, the rock or the elephant, because the treatment consulted does not - and 'by some accounts' is part of what the source says.	New ID buddhist_devadatta	ADD	
Ānanda		Ānanda	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	His personal attendant, THE TREASURER OF THE DHAMMA. 'Thus have I heard' opens the sutras because he is the one who heard them.	New ID buddhist_ananda	ADD	
Śāriputra	Sāriputta	Śāriputra	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	Chief Disciple, foremost in wisdom. THE TWO CHIEF DISCIPLES ARE PAIRED IN EVERY LIST AND THE CORPUS HELD NEITHER.	New ID buddhist_sariputra	ADD	
Maudgalyāyana	Mahā Moggallāna	Maudgalyāyana	mortal	Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The other Chief Disciple, foremost in supernatural powers. The tradition divides the two between wisdom and power and files every later pair of attendants on that model.	New ID buddhist_maudgalyayana	ADD	
