canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Wadd	Wadd of Dumat al-Jandal; Wudd	ودّ	deity	Arabian	Qur'an 71:23 (Surat Nuh); Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	God of the Banu Kalb at Dumat al-Jandal, worshipped in the form of a man; first of the five idols of Qur'an 71:23	The SOUTH ARABIAN Wadd is held as sabaean_wadd; this is the North Arabian Wadd of the Kalb, held under its own key as Allat and Manat already are under both Arabian and Nabataean	ADD	HIT: 'Wadd' resolved to sabaean_wadd [Sabaean]
Suwa'	Suwa; Suwāʿ	سُوَاع	deity	Arabian	Qur'an 71:23 (Surat Nuh); Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Goddess of the Hudhayl, idol a female figure; second of the five	-	ADD	none
Yaghuth	Yaghūth	يَغُوث	deity	Arabian	Qur'an 71:23 (Surat Nuh); Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	God of An'um of Tayy and branches of Madhhij, lion-form; third of the five	-	ADD	none
Ya'uq	Yaʿūq; Yauq	يَعُوق	deity	Arabian	Qur'an 71:23 (Surat Nuh); Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	God of Khaywan of Hamdan in the Yemen, horse-form; fourth of the five	-	ADD	none
Nasr	Naṣr	نَسْر	deity	Arabian	Qur'an 71:23 (Surat Nuh); Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	God of Himyar, eagle-form; fifth of the five, and the one whose name IS his shape	-	ADD	none
Isaf	Isāf	إساف	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Meccan water deity and guardian of Zamzam whose idol stood on as-Safa; petrified with Na'ila for adultery in the Ka'ba	-	ADD	none
Na'ila	Nāʾila; Naila	نائلة	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	The second of the pair, whose idol stood on al-Marwa; holding one without the other would leave the Meccan running-rite with a single terminus	-	ADD	none
Manaf	Manāf	مناف	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	A Quraysh deity who the sources say was AT ONE TIME THE MOST IMPORTANT DEITY AT MECCA; the corpus held the four the Qur'an argues with and not the one they displaced	-	ADD	none
Allah (the pre-Islamic Meccan deity)	Allāh; the guardian of contracts	الله	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	A deity some scholars count among those the Ka'ba was dedicated to; guardian of contracts; of little relevance in the Meccan religion, whose chief god was Hubal	SCOPED BY ITS PRIMARY NAME to the pre-Islamic Meccan figure. The 1901 lunar-deity theory of Hugo Winckler is recorded ONLY together with its rejection as speculative and unsupported by pre-Islamic evidence	ADD	HIT: 'Allah' resolved to buduma_alla [Buduma], an unrelated West African figure
Dhu'l-Khalasa	Dhū al-Khalaṣa; the Ka'ba of Yemen	ذو الخلصة	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Oracular god of the Daws, Bajila and Khath'am at Tabala; his temple was called THE KA'BA OF YEMEN	-	ADD	none
Sa'd	Saʿd	سعد	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	God of fortune of the Banu Kinana; his cult image was a tall stone standing in the desert	-	ADD	none
al-Fals	al-Fals of Jabal Aja	الفلس	deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Mountain god of Tayy on Jabal Aja near Ha'il; the idol was an outcrop of red granite in the shape of a man	-	ADD	none
Dhu al-Kaffayn	Dhū al-Kaffayn; he of the two palms		deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Idol of the Banu Munhib ibn Daws, destroyed by fire by al-Tufayl ibn 'Amr al-Dawsi	-	ADD	none
Nuhm	Nuhm of Muzayna		deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Idol of the Muzayna, attested largely through the theophoric name 'Abd-Nuhm	-	ADD	none
Umyanis	Umyanis of Khawlan		deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Idol worshipped in the land of Khawlan; authored on one sentence and claiming nothing more	-	ADD	none
Ri'am	Riʾām; Riam of Sana		deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Idol of Himyar and the people of Sana in the Yemen	-	ADD	none
Dhu'l-Ka'bat	Dhū al-Kaʿabāt		deity	Arabian	Ibn al-Kalbi, Kitab al-Asnam (early 9th c. CE)	Idol of Bakr, Taghlib, the Banu Wa'il and Iyad at Sandad; the second sanctuary-name in this batch built on the root of Ka'ba	-	ADD	none
Ruda	Ruḍā; Rdw; Ruda'		deity	Arabian	Reference treatment of the North Arabian deities (web research pass, lane 36); Ibn Ishaq, via Ibn Hisham, al-Sira al-Nabawiyya	North Arabian deity of the Lihyanite and Safaitic inscriptions, one of a trinity with Nuha and Atarsamain	SEX RECORDED AS 'varies' BECAUSE THE SOURCES SAY SO: male in the Lihyanite and north-western material, female among the Safaitic Bedouin	ADD	none
Nuha	Nuhā		deity	Arabian	Reference treatment of the North Arabian deities (web research pass, lane 36)	Sun-associated deity of the northern Arabian tribes, second of the trinity	-	ADD	none
Atarsamain	ʿAttar-samayin; Atarsamayin		deity	Arabian	Reference treatment of the North Arabian deities (web research pass, lane 36)	Third of the North Arabian trinity	SEX RECORDED AS 'unknown', which is the honest entry: the evidence names the figure only as the third of a trinity	ADD	none
