canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Jupiter Grabovius	Iuve Grabovie | Iuvi Grabovi | Iupater Grabovius | Grabovius the Sovereign	Iuve Grabovie	deity	Umbrian	TI Ia 3-7; VIa 22-57; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_jupiter_grabovius	EXISTING	umbrian_jupiter_grabovius
Mars Grabovius	Mart Grabovie | Marte Grabovie | Mars Grabovius the Warlike	Mart Grabovie	deity	Umbrian	TI Ia 11-14; VIb 1-2; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_mars_grabovius	EXISTING	umbrian_mars_grabovius
Vofionus Grabovius	Vofione Grabovie | Vufiune Grabovie | Vofionus the Third Grabovian	Vofione Grabovie	deity	Umbrian	TI Ia 20-23; VIb 19-21; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_vofionus_grabovius	EXISTING	umbrian_vofionus_grabovius
Çerfus Martius	Çerfe Martie | Serfus Martius | Śerfe Martie | Cerfus of Mars	Çerfe Martie	deity	Umbrian	TI Ib 24-26; VIIa 3-5; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_cerfus_martius	EXISTING	umbrian_cerfus_martius
Prestota Çerfia, the Protectress	Prestota Çerfia Çerfer Martier | Prestate Çerfie | Praestita Cerfia | Prestota of Çerfus Martius	Prestota Çerfia Çerfer Martier	deity	Umbrian	TI Ib 27-30; VIIa 6-40; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_prestota_cerfia	EXISTING	umbrian_prestota_cerfia
Tursa Çerfia, Goddess of Rout	Tursa Çerfia Çerfer Martier | Torsa Cerfia | Tursa of Çerfus Martius	Tursa Çerfia Çerfer Martier	deity	Umbrian	TI Ib 31-39; VIIa 41-45; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_tursa_cerfia	EXISTING	umbrian_tursa_cerfia
Tursa Iovia, Boundary-Goddess of Jupiter	Tursa Iuvia | Tursa Jovia | Torsa Iovia | Tursa of Jupiter	Tursa Iovia	deity	Umbrian	TI Ib 40-44; VIIa 46-54; P59	Existing record and its names, citations, cult content, and relations reviewed. See review notes.	umbrian_tursa_iovia	EXISTING	umbrian_tursa_iovia
Trebus Jovius	Trebo Iovie | Trebe Iuvie | Trebus Iovius	trebo iouie	deity	Umbrian	TI Ia 8-10; VIa 58-59	Recipient at the inner Trebulan Gate; a named recipient distinct from Jupiter.	Proposed new ID umbrian_trebus_jovius	ADD	
Fisus Sancius	Fise Saci | Fiso Sansie | Fisovius Sancius | Fisouie Sansie	fiso sansie	deity	Umbrian	TI Ia 15-19; VIb 3-18	Named cult recipient; Fisus/Fisovius forms consolidated within one cautiously described record.	Proposed new ID umbrian_fisus_sancius	ADD	
Tefer Jovius	Tefrus Iovius | Tefre Iuvie | Tefro Ioui | Tefer Iovius	tefrei ioui	deity	Umbrian	TI Ia 24-34; VIb 22-42	Named recipient at the inner Veian Gate, with a dedicated prayer.	Proposed new ID umbrian_tefer_jovius	ADD	
