canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Tuisto	Tuisco	Tuisto	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	THE FIRST GERMANIC FIGURE NAMED IN ANY WRITTEN SOURCE, AND THE REGISTRY DID NOT HOLD HIM. Tacitus, Germania c.98 CE: a god born of the earth, celebrated in ancient songs as the origin of the people. sex recorded as unknown deliberately - the 'twofold one' reading and the hermaphrodite inference are readings of an etymology, not statements of Tacitus.	New ID continental_germanic_tuisto	ADD	
Mannus		Mannus	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	Tuisto's son and founder of the nation, whose three sons the Ingaevones, Herminones and Istvaeones are named from. THE THREE SONS ARE NOT INGESTED: Tacitus names the peoples, not the men.	New ID continental_germanic_mannus	ADD	
the Alcis	Alcis	Alcis	numen	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	The twin gods of the Naharvali's grove, attested solely by Tacitus, who equates them with Castor and Pollux. ONE RECORD FOR TWO BEINGS BECAUSE THE SOURCE GIVES ONE NAME, in the plural, with no individual names.	New ID continental_germanic_alcis	ADD	
Wodan	Uuoden; Godan; Wuotan	Wuotan	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	FIRST OF THE THREE A SAXON WAS MADE TO RENOUNCE BY NAME AT BAPTISM, the last and best conjurer of the Second Merseburg Incantation, and the Godan of the Lombard origin legend. GODAN IS AN ALIAS AND NOT A SECOND RECORD.	New ID continental_germanic_wodan	ADD	
Donar	Thunaer; Thonar	Donar	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	Second of the three of the Old Saxon Baptismal Vow. The record carries no hammer, chariot or goats: those are Norse and this is a continental record built from a continental text.	New ID continental_germanic_donar	ADD	
Saxnot	Saxnōt; Sahsnot	Saxnōt	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	Third of the three. Grimm argued from the triad's shape that he must be a major Saxon god; THE ARGUMENT IS ON THE RECORD AS AN ARGUMENT. No edge to anglosaxon_seaxneat: two traditions, two attestations, two records.	New ID continental_germanic_saxnot	ADD	
Phol	Fol	Phol	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	The first name in the Second Merseburg Incantation. PHOL IS INGESTED AND BALDER IS NOT, AND NEITHER DECIDES THE QUESTION of whether they are one figure under two names.	New ID continental_germanic_phol	ADD	
Frija	Frea; Frîja	Frija	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	One of the four goddesses who conjure over the lamed foal, named as Volla's sister - and the Frea of the Origo gentis Langobardorum, who gives Gambara the trick that names the Lombards. FREA IS AN ALIAS AND NOT A SECOND RECORD.	New ID continental_germanic_frija	ADD	
Volla		Volla	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	A GODDESS WHOSE WHOLE ATTESTATION IS A GENITIVE: the charm identifies Frija by naming Volla, so Volla exists in the text only as the person Frija is the sister of. The record does not enlarge it with material from the Norse Fulla.	New ID continental_germanic_volla	ADD	
Sunna		Sunna	deity	Continental Germanic	Reference treatments consulted via server-side web search; see transcript citations	Sister of Sinthgunt in the Second Merseburg Incantation; her name is the word for sun. The sweep resolves 'Sunna' onto norse_sol, which carries it as an alias; NO EDGE IS DRAWN.	New ID continental_germanic_sunna	ADD	
