canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Lahamu	Laḫamu | Lachamu	Laḫamu	deity	Mesopotamian	Enuma Elish; reference treatment	First pair of Enuma Elish with Lahmu. The registry held Lahmu without Lahamu — a primordial pair split in half.	Proposed new ID mesopotamian_lahamu	ADD	
Anshar	Anšar | Ansar | Assur (late identification)	An-šar	deity	Mesopotamian	Enuma Elish; reference treatment	Primordial 'entirety of heaven', father of Anu, and the name Assyrian theology used to write Ashur. Absent from the whole registry.	Proposed new ID mesopotamian_anshar	ADD	
Kishar	Kišar | Kisar	Ki-šar	deity	Mesopotamian	Enuma Elish; reference treatment	Primordial 'entirety of earth', consort of Anshar. Absent.	Proposed new ID mesopotamian_kishar	ADD	
Ninurta	Ninĝirsu (Lagash form) | Ningirsu | Nin-Urta	dNin-urta	deity	Mesopotamian	Lugal-e; Anzu epic; Oracc AMGG	Warrior son of Enlil, hero of Lugal-e and killer of Asag and Anzu. The registry held two Assyrian kings named after him and not the god.	Proposed new ID mesopotamian_ninurta	ADD	
Ningirsu	Ninĝirsu | Nin-Girsu	dNin-ĝir-su	deity	Mesopotamian	Gudea cylinders; Lagash-Umma texts; reference treatment	Tutelary god of Girsu and chief god of Lagash. Identified with Ninurta but kept separate: own cult, own temple, own wife.	Proposed new ID mesopotamian_ningirsu	ADD	
Ashur	Aššur | Assur | Anshar (Assyrian identification)	Aššur	deity	Mesopotamian	Assyrian recension of Enuma Elish; reference treatment	Head of the Assyrian pantheon. The registry held the king Ashur-dan I and not the god.	Proposed new ID mesopotamian_ashur	ADD	
Ninlil	Mulliltu | Mullissu | Mylitta | Sud (earlier name)	dNin-líl	deity	Mesopotamian	Enlil and Ninlil; Oracc AMGG	Wife of Enlil, mother of Nanna, later given to Ashur by Assyrian theology. Absent.	Proposed new ID mesopotamian_ninlil	ADD	
Damkina	Damgalnuna | Damgalnunna | Damkianna	dDam-gal-nun-na	deity	Mesopotamian	Enuma Elish; reference treatment	Wife of Enki and mother of Marduk. Absent.	Proposed new ID mesopotamian_damkina	ADD	
Ningal	Nikkal (later West Semitic form) | dNin-gal	dNin-gal	deity	Mesopotamian	Reference treatment; Ur hymns	Wife of Nanna and mother of Utu and Inanna, great lady of Ur. Absent.	Proposed new ID mesopotamian_ningal	ADD	
Gula	Ninisina | Ninkarrak | Nintinugga | Meme	Gula	deity	Mesopotamian	Oracc AMGG s.v. Gula/Ninkarrak	The healing goddess of Mesopotamia, divine physician and midwife, wife of Ninurta at Nippur. Absent.	Proposed new ID mesopotamian_gula	ADD	
Nisaba	Nidaba | Nissaba	dNisaba	deity	Mesopotamian	Oracc AMGG s.v. Nidaba	Goddess of writing and grain, patron of the scribal schools. Absent.	Proposed new ID mesopotamian_nisaba	ADD	
Nanshe	Nazi | dNanše	dNanše	deity	Mesopotamian	Nanshe Hymn; reference treatment	Goddess of Lagash: dream interpretation, fish and birds, and the weighing of how the weak are treated. Absent.	Proposed new ID mesopotamian_nanshe	ADD	
Ninkasi	dNin-ka-si	dNin-ka-si	deity	Mesopotamian	A hymn to Ninkasi (ETCSL 4.23.1)	Goddess of beer, addressed in the hymn that doubles as the oldest brewing recipe. Absent.	Proposed new ID mesopotamian_ninkasi	ADD	
Uttu	dUttu	dUttu	deity	Mesopotamian	Enki and Ninhursag; reference treatment	Goddess of weaving. Distinct from the sun god Utu, with whom she is regularly confused.	Proposed new ID mesopotamian_uttu	ADD	
