canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
greek_apollod_mentor_eurystheus — primary 'Mentor' -> 'Mentor son of Eurystheus'	Mentōr (son of Eurystheus)	Μέντωρ	mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	One of two Greek records both carrying the primary name 'Mentor'. The disambiguator is taken from his own parentIds (greek_apollod_eurystheus) and follows the corpus's existing pattern, 'Amenhotep son of Hapu'. His transliterations.etymology said 'the id-suffix _eurystheus disambiguates' - THE ORIGINAL AUTHOR'S DELIBERATE CHOICE TO DISAMBIGUATE BY ID RATHER THAN BY NAME - and that sentence is updated rather than deleted, because an id disambiguates for a programmer and not for a reader.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	was colliding with greek_apollod_thespiad_mentor
greek_apollod_thespiad_mentor — primary 'Mentor' -> 'Mentor the Thespiad'	Mentor son of Heracles		quartigod	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	The other half. He is one of the Thespiadae, the sons of Heracles by the fifty daughters of Thespius; the disambiguator names that set and the added alias comes from his own parentIds (Heracles, Asopis). NOTE THE LOCAL INCONSISTENCY, STATED RATHER THAN HIDDEN: the other hundred Thespiadae keep bare primaries, and he is disambiguated only because he is the one that collides.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	was colliding with greek_apollod_mentor_eurystheus
the Odyssean Mentor, son of Alcimus		Μέντωρ	mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	THE CORPUS NAMES HIM AND DOES NOT HOLD HIM. greek_apollod_mentor_eurystheus cites him in its own etymology - 'the Odyssean Mentor son of Alcimus (Hom. Od. 2.225)' - and he is THE Mentor, the one the English word descends from. The corpus holds two obscure Mentors and not him. NOT AUTHORED HERE: the only evidence in hand is a citation I have not read, this session's web-search budget was exhausted in lane 28, and authoring a figure from a reference rather than from a source is what this programme does not do. The finding is now recorded in the data itself.		BLOCKED	absent; the bare name 'Mentor' now resolves to no record, which is correct
Astyoche — 3 records share this primary			mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_apollod_astyoche, greek_astyoche_laomedon, greek_astyoche_simoeis), which is why they are listed rather than guessed at.		BLOCKED	x3
Glaucus — 2 records share this primary			mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_glaucus_corinth, greek_glaucus_minos), which is why they are listed rather than guessed at.		BLOCKED	x2
Antiope — 3 records share this primary			mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_antiope_thebes, greek_antiope_amazon, greek_apollod_thespiad_antiope), which is why they are listed rather than guessed at.		BLOCKED	x3
Chione — 2 records share this primary			mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_chione, greek_chione_boread), which is why they are listed rather than guessed at.		BLOCKED	x2
Iphigenia — 2 records share this primary			demigod	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_iphigenia_helen_variant, greek_iphigenia), which is why they are listed rather than guessed at.		BLOCKED	x2
Creusa — 2 records share this primary			mortal	Greek	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (greek_creusa_athens, greek_creusa_troy), which is why they are listed rather than guessed at.		BLOCKED	x2
Poïa — 2 records share this primary			demigod	Blackfoot	The corpus's own ids, notes and parentIds; no web-search budget remained and none was used	NOT FIXED AND NOT ASKED FOR. One of 19 same-tradition primary-name collisions remaining after Mentor. Each needs a disambiguator chosen per figure; most are derivable from the ids themselves (poia, blackfoot_poia), which is why they are listed rather than guessed at.		BLOCKED	x2
