canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Athtar	Attar | Athtar the Terrible | Athtar the Brilliant | ʿṯtr	ʿṯtr	deity	Canaanite	The Baal Cycle (KTU 1.6)	The god who takes Baal's empty throne and whose feet do not reach the footstool. The registry carried the South Arabian and Aksumite gods of this name and not the Ugaritic one.	Proposed new ID canaanite_athtar	ADD	
Pidray	Pidraya | Pdry | Pidray daughter of Ar	pdry	deity	Canaanite	The Baal Cycle; Ugaritic offering lists	Daughter of Baal, the best attested of the three, with a cult as well as a line of poetry.	Proposed new ID canaanite_pidray	ADD	
Tallay	Talay | Ṭly | Tallay daughter of Rabb	ṭly	deity	Canaanite	The Baal Cycle; reference treatment	Daughter of Baal, goddess of dew and light rain — 'Dewy'.	Proposed new ID canaanite_tallay	ADD	
Arsay	Arsaya | Arṣy | Arsay daughter of Yaabdar	arṣy	deity	Canaanite	The Baal Cycle; reference treatment	Daughter of Baal, grouped with the other two on the strength of a single passage, which the record says on its face.	Proposed new ID canaanite_arsay	ADD	
Gupan	Gapn | Gupanu | Gapnu | gpn	gpn	deity	Canaanite	The Baal Cycle; reference treatment	One of Baal's two messengers; the binomial gpn w ugr reads 'vine and field'.	Proposed new ID canaanite_gupan	ADD	
Ugar	Ugaru | ugr	ugr	deity	Canaanite	The Baal Cycle; reference treatment	The other of Baal's two messengers.	Proposed new ID canaanite_ugar	ADD	
Qudshu-wa-Amrur	Qadesh-wa-Amrur | Qudšu-wa-Amrur | qdš w amrr	qdš w amrr	deity	Canaanite	The Baal Cycle; reference treatment	Athirat's fisherman and messenger, a binomial theonym of the same shape as Kothar-wa-Hasis.	Proposed new ID canaanite_qudshu_wa_amrur	ADD	
Lotan	Litan | Litanu | Ltn | the fugitive serpent	ltn	deity	Canaanite	The Baal Cycle; reference treatment	The seven-headed serpent of Yam's household. The registry held the Hebrew Leviathan and not the Ugaritic serpent the Hebrew text is quoting.	Proposed new ID canaanite_lotan	ADD	
Tunnanu	Tunnan | Tannin | tnn	tnn	deity	Canaanite	Ugaritic texts; reference treatment	The tannin whose seven heads Anat strikes down — the word the Hebrew Bible keeps using.	Proposed new ID canaanite_tunnanu	ADD	
Shahar	Šaḥar | Shachar | šḥr	šḥr	deity	Canaanite	KTU 1.23	Dawn personified, son of El and twin of Shalim; the 'ben Shachar' of Isaiah's fallen morning star.	Proposed new ID canaanite_shahar	ADD	
Shalim	Shalem | Šalim | šlm	šlm	deity	Canaanite	KTU 1.23; reference treatment	Dusk personified, twin of Shahar, and the element behind the name of Jerusalem.	Proposed new ID canaanite_shalim	ADD	
Rahmay	Rahmaya | Raḥmay | rḥmy	rḥmy	deity	Canaanite	KTU 1.23; reference treatment	One of the two goddesses on whom El fathers the twins in KTU 1.23.	Proposed new ID canaanite_rahmay	ADD	
Horon	Hauron | Haurunu | Ḥrn	ḥrn	deity	Canaanite	KTU 1.100; reference treatment	God of exorcism and snakebite spells, and — as Hauron — a god of Giza whose name could designate the Great Sphinx.	Proposed new ID canaanite_horon	ADD	
Milku	Milk | Malik | mlk	mlk	deity	Canaanite	Ugaritic ritual texts; reference treatment	Underworld god ruling at Ashtaroth, whose name is the word behind the biblical Molech.	Proposed new ID canaanite_milku	ADD	
Rapiu	Rapi'u | Rpu | King of Eternity	rpu	deity	Canaanite	Ugaritic Rephaim texts; reference treatment	The 'King of Eternity' enthroned at Ashtaroth and ruling in Edrei — the two cities Deuteronomy gives to Og.	Proposed new ID canaanite_rapiu	ADD	
Ilib	Il-ib | ilib	ilib	deity	Canaanite	Ugaritic god-lists; reference treatment	'God of the father', first in the Ugaritic god-list, ahead of El.	Proposed new ID canaanite_ilib	ADD	
Shataqat	Shatiqatu | Shaʿtiqatu | šʿtqt	šʿtqt	deity	Canaanite	The Kirta epic; reference treatment	The being El makes to cure Kirta when he has asked the assembly seven times and nobody answers.	Proposed new ID canaanite_shataqat	ADD	
Pabil	Pabilu | Pbl | King Pabil of Udum	pbl	mortal	Canaanite	The Kirta epic	King of Udum, besieged seven days, whose ransom Kirta refuses because he came for the daughter.	Proposed new ID canaanite_pabil	ADD	
Hurraya	Huraya | Ḥry	ḥry	mortal	Canaanite	The Kirta epic	Pabil's daughter, taken as the price of lifting the siege, and the mother of Kirta's children.	Proposed new ID canaanite_hurraya	ADD	
Yassib	Yassub | Yaṣṣib	yṣb	mortal	Canaanite	The Kirta epic	The heir who tells his recovered father he is unfit to reign, and is cursed for it in the epic's last surviving lines.	Proposed new ID canaanite_yassib	ADD	
Ilhu	Iluhau | Ilḥu	ilḥu	mortal	Canaanite	The Kirta epic	Son of Kirta and Hurraya, sent to fetch his sister to the sickbed.	Proposed new ID canaanite_ilhu	ADD	
Thitmanat	Thitmanatu | Ṯtmnt | Octavia	ṯtmnt	mortal	Canaanite	The Kirta epic	'The eighth': the youngest daughter, whose sickbed speech is the epic's best-known passage.	Proposed new ID canaanite_thitmanat	ADD	
Yatpan	Yaṭpan | Yatpanu | Yatpan the Soldier	yṭpn	mortal	Canaanite	The Aqhat epic	The soldier Anat employs to kill Aqhat. The registry held Aqhat and Paghat and not the man between them.	Proposed new ID canaanite_yatpan	ADD	
Baalat Gebal	Baalat | Baʿalat Gebal | Lady of Byblos	bʿlt gbl	deity	Phoenician	Reference treatment of Baalat Gebal and her temple	Chief deity of Byblos, equated with Hathor and drawn in Egyptian dress; the city's kings call themselves her servants.	Proposed new ID phoenician_baalat_gebal	ADD	
Adon	Adonis | Adoni | ʾdn	ʾdn	deity	Phoenician	Reference treatment of Phoenician religion	The 'lord' of Byblos, the dying-and-returning god the Greeks received as Adonis. Absent from the registry under every tradition.	Proposed new ID phoenician_adon	ADD	
Elioun	Elyon | Hypsistos | Most High	ʿlywn	deity	Phoenician	Philo of Byblos, Phoenician History	'Most High' in the only surviving Phoenician cosmogony; the same word as the biblical Elyon.	Proposed new ID phoenician_elioun	ADD	
Berouth	Baruth | Beruth	Βηρούθ	deity	Phoenician	Philo of Byblos, Phoenician History	The woman paired with Elioun in Philo's opening. One clause of evidence, and the record says so.	Proposed new ID phoenician_berouth	ADD	
Baetylos	Baitylos | Betyl | bt ʾl	Βαίτυλος	deity	Phoenician	Philo of Byblos; reference treatment of baetyls	A son of Ouranos in Philo, and the ordinary word for a sacred stone in which a god lives.	Proposed new ID phoenician_baetylos	ADD	
Taautos	Taaut | Thouth | Tautos	Τάαυτος	deity	Phoenician	Philo of Byblos, Phoenician History	The inventor of letters, whom Philo identifies outright with the Egyptian Thoth.	Proposed new ID phoenician_taautos	ADD	
Chousor	Chusor | Chrysor | Khousor	Χουσώρ	deity	Phoenician	Philo of Byblos; reference treatment	The Phoenician form of Kothar-wa-Hasis, credited with the invention of iron.	Proposed new ID phoenician_chousor	ADD	
Sydyk	Sedek | Sydik | Ṣdq	ṣdq	deity	Phoenician	Philo of Byblos; reference treatment	'Righteousness' personified, the element behind the name Melchizedek.	Proposed new ID phoenician_sydyk	ADD	
Misor	Mishor | Misōr | Myšr	myšr	deity	Phoenician	Philo of Byblos; reference treatment	'Uprightness' personified, and the father of the inventor of the alphabet.	Proposed new ID phoenician_misor	ADD	
Shadrafa	Shadrapa | Satrapes | Šdrpʾ	šdrpʾ	deity	Phoenician	Reference treatments of Phoenician religion and of Shadrafa	Phoenician healing god of Amrit, drawn as a youth on a lion. The registry held Eshmun and not him.	Proposed new ID phoenician_shadrafa	ADD	
Litan	Lotan | Litanu	ltn	deity	Canaanite	The Baal Cycle	A vocalisation of Lotan's name, not a second serpent.	Alias on canaanite_lotan	ALIAS	canaanite_lotan
Attar	Athtar	ʿṯtr	deity	Canaanite	corpus check	A spelling of Athtar's name; the corpus hits are the South Arabian and Aksumite gods of the same theonym, not the Ugaritic god.	Alias on canaanite_athtar	ALIAS	sabaean_athtar | aksumite_astar
Hauron	Horon	ḥrn	deity	Canaanite	Reference treatment of Hauron	The Egyptian form of Horon's name, carried as an alias on the Canaanite record. An Egyptian record for the Giza cult belongs to the deferred Levantine-imports pass.	Alias on canaanite_horon	ALIAS	canaanite_horon
Nahar	Judge River	nhr	deity	Canaanite	The Baal Cycle	'Judge River' is Yam's standing double title — zbl ym tpt nhr — and not a separate god. A transparent epithet, which this programme does not ingest.	Epithet of canaanite_yam	REJECT	canaanite_yam
Baal Zaphon	Baʿal Ṣapunu	bʿl ṣpn	deity	Canaanite	Ugaritic texts	'Baal of Zaphon', the mountain title of the storm god, not a distinct deity. A transparent epithet.	Epithet of canaanite_baal	REJECT	canaanite_baal
Athtart-shem-Baal	Astarte-name-of-Baal	ʿṯtrt šm bʿl	deity	Canaanite	Phoenician inscriptions	'Athtart, name of Baal' is a cult title of Athtart, not a further goddess.	Epithet of canaanite_athtart	REJECT	canaanite_athtart
Athirat's seventy sons	the bn ilm	bn aṯrt		Canaanite	The Baal Cycle	A collective — the seventy sons of Athirat, the divine assembly — with no individual names attached. The programme does not ingest classes.		REJECT	
Ithm		iṯm		Canaanite	Ugaritic god-lists	A name in the offering lists with no recoverable character; too thin even for a stated-uncertainty record.		REJECT	
Dagon	Dagan	dgn	deity	Canaanite	corpus check	Already in the registry as Dagan; Dagon is the later Hebrew and Greek spelling of the same god.	canaanite_dagan	EXISTING	canaanite_dagan
El	Ilu	il	deity	Canaanite	corpus check	Already in the registry. Gains three new children in this pass (Shahar, Shalim) and a creature (Shataqat).	canaanite_el	EXISTING	canaanite_el
Baal	Hadad | Haddu	bʿl	deity	Canaanite	corpus check	Already in the registry; his record is edited in this pass to carry the reciprocal enemy edge to Lotan.	canaanite_baal	EXISTING	canaanite_baal
Anat	Anatu	ʿnt	deity	Canaanite	corpus check	Already in the registry; her record is edited in this pass to carry the reciprocal enemy edge to Tunnanu.	canaanite_anat	EXISTING	canaanite_anat
Athirat	Asherah | Elat	aṯrt	deity	Canaanite	corpus check	Already in the registry; her fisherman Qudshu-wa-Amrur is added.	canaanite_athirat	EXISTING	canaanite_athirat
Yam	Yammu | Judge River	ym	deity	Canaanite	corpus check	Already in the registry; his two sea monsters are added.	canaanite_yam	EXISTING	canaanite_yam
Mot	Motu	mt	deity	Canaanite	corpus check	Already in the registry.	canaanite_mot	EXISTING	canaanite_mot
Kothar-wa-Hasis	Kothar	kṯr w ḫss	deity	Canaanite	corpus check	Already in the registry; his Phoenician form Chousor is added as a separate record with the link stated.	canaanite_kothar	EXISTING	canaanite_kothar
Kirta	Keret	krt	demigod	Canaanite	corpus check	Already in the registry; his wife, his three named children, his enemy Pabil and the goddess who heals him are added.	canaanite_kirta	EXISTING	canaanite_kirta
Aqhat	Aqhatu	aqht	quartigod	Canaanite	corpus check	Already in the registry; his killer Yatpan is added.	canaanite_aqhat	EXISTING	canaanite_aqhat
The Rephaim	Rapiuma	rpum	demigod	Canaanite	corpus check	Already in the registry as a collective; the singular Rapiu is added with the relation stated.	canaanite_rephaim	EXISTING	canaanite_rephaim
Shapshu	Shapash	špš	deity	Canaanite	corpus check	Already in the registry; she is the goddess who applies to Horon in KTU 1.100.	canaanite_shapshu	EXISTING	canaanite_shapshu
Lotan / Leviathan	Litan	ltn	deity	Yahwism	corpus check	Leviathan was already carried under Ancient Israelite religion; the Ugaritic Lotan is added and the two are linked counterpart-of. Not a duplicate: two traditions, one serpent, five centuries apart.	yahwism_leviathan	CROSS-TRADITION SAME FIGURE	yahwism_leviathan
Ditanu	Didanu	dtn	numen	Canaanite	corpus check	Already carried as levantine_ditanu, the eponymous ancestor of the Rephaim line. Left where it is rather than duplicated into Canaanite.	levantine_ditanu	CROSS-TRADITION SAME FIGURE	levantine_ditanu
Danel	Daniʾilu	dnil	mortal	Canaanite	corpus check	The registry carries this figure TWICE — canaanite_daniel and levantine_danel — as does Paghat/Pughat. A pre-existing cross-tradition duplication, observed here and left alone: merging records is outside the scope of an additive pass and would need the owner's call.	canaanite_daniel | levantine_danel	CROSS-TRADITION SAME FIGURE	canaanite_daniel | levantine_danel
Paghat	Pughat	pgt	quartigod	Canaanite	corpus check	As Danel: carried twice, as canaanite_paghat and levantine_pughat. Observed, not merged.	canaanite_paghat | levantine_pughat	CROSS-TRADITION SAME FIGURE	canaanite_paghat | levantine_pughat
Qos	Qaws	qws	deity	Edomite	corpus check	The Edomite national god, already carried as nabataean_qaws. An Edomite record is a separate tradition question and is not opened here.	nabataean_qaws	CROSS-TRADITION SAME FIGURE	nabataean_qaws
Chemosh	Kemosh	kmš	deity	Moabite	Mesha Stele	The Moabite national god, absent from the registry under any tradition. Moab has no tradition key here at all, and adding one for a single god is a scoping decision this pass does not make alone.		BLOCKED	uncertainty: whether to open a Moabite tradition key for Chemosh and Ashtar-Chemosh, or to file them under an existing Levantine key; sources checked: the Mesha Stele and reference treatments of Chemosh; evidence needed: the owner's call on tradition granularity
Ashtar-Chemosh		ʿštr kmš	deity	Moabite	Mesha Stele	Named once on the Mesha Stele, apparently a compound of Athtar and Chemosh. Blocked with Chemosh and for the same reason.		BLOCKED	uncertainty: whether Ashtar-Chemosh is a distinct deity, a compound, or an epithet of Chemosh; sources checked: the Mesha Stele; evidence needed: a treatment of the Moabite pantheon, plus the tradition-key decision above
Kinnaru	the deified lyre	knr	deity	Canaanite	Ugaritic god-lists	The deified lyre, named in the Ugaritic god-lists. Real, but nothing beyond the name and the instrument could be substantiated in this session.		BLOCKED	uncertainty: whether anything beyond the name in the god-lists is attested — ritual role, iconography, offerings; sources checked: general reference treatments of the Ugaritic pantheon; evidence needed: a treatment of the deified objects in the Ugaritic god-lists
Sheger		šgr	deity	Canaanite	Ugaritic and Hebrew sources	A deity of livestock increase, named in Ugaritic and in Deuteronomy 7:13 as a common noun for the offspring of cattle. The boundary between god and noun is exactly what is unresolved.		BLOCKED	uncertainty: whether Sheger is a deity at Ugarit or a common noun that later Hebrew fossilised; sources checked: reference treatments of the Ugaritic pantheon; evidence needed: a treatment of Sheger and Ashtaroth-of-the-flock in the Ugaritic and biblical material
Mikal	Mekal	mkl	deity	Canaanite	The Beth Shean stele	A god named on a Late Bronze stele from Beth Shean, shown enthroned with a conical cap. The stele is solid; the god's character is not recoverable from what could be reached here.		BLOCKED	uncertainty: his sphere, his relation to Resheph with whom he is sometimes identified, and whether the name is a title; sources checked: reference treatments of Phoenician and Canaanite religion; evidence needed: a treatment of the Beth Shean Mekal stele
Sanchuniathon	Sanchoniatho		mortal	Phoenician	Philo of Byblos; Eusebius	The Phoenician author Philo claims to translate. He is a transmitter rather than a figure of the mythology, and all information about him comes from Philo; whether he existed is itself the standing question.		REJECT	
Anat-Yahu		ʿnt yhw	deity	Yahwism	Elephantine papyri	A goddess named in the Elephantine papyri of the Judaean garrison in Egypt, apparently a pairing of Anat with Yahweh. Belongs to the Yahwism tradition and to the deferred Levantine-imports question, not to this pass.		BLOCKED	uncertainty: whether Anat-Yahu is a distinct goddess, a consort title, or a hypostasis; sources checked: reference treatments of the Elephantine material; evidence needed: a treatment of the Elephantine pantheon, and a decision on which tradition key it belongs under
