canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Ame-no-Minakanushi	天之御中主神	天之御中主神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The first being named in the Kojiki and the first of the five Kotoamatsukami. Absent.	New ID japanese_ame_no_minakanushi	ADD	
Takamimusubi	高御産巣日神	高御産巣日神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Second of the Kotoamatsukami and one of the three creator deities; the musubi or generative-binding power.	New ID japanese_takamimusubi	ADD	
Kamimusubi	神産巣日神	神産巣日神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Third of the Kotoamatsukami; the second musubi power, who restores Okuninushi to life in the Izumo material.	New ID japanese_kamimusubi	ADD	
Umashiashikabihikoji	宇摩志阿斯訶備比古遅神	宇摩志阿斯訶備比古遅神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Fourth of the Kotoamatsukami: the reed-shoot rising from the unformed world.	New ID japanese_umashiashikabihikoji	ADD	
Amenotokotachi	天之常立神	天之常立神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Fifth of the Kotoamatsukami, the heavenly counterpart-name of Kuninotokotachi.	New ID japanese_amenotokotachi	ADD	
Kuninotokotachi	国之常立神	国之常立神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The first kami of the Nihon Shoki's main narrative, where the Kojiki gives Ame-no-Minakanushi. Both openings are recorded.	New ID japanese_kuninotokotachi	ADD	
Omoikane	思金神	思金神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The kami of wisdom whose plan drew Amaterasu from the cave. The registry held the dance and not the strategist.	New ID japanese_omoikane	ADD	
Ame-no-Tajikarao	天手力男神	天手力男神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The strong-handed kami who hauled the rock door open.	New ID japanese_ame_no_tajikarao	ADD	
Ishikoridome	石凝姥命	石凝姥命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Maker of the Yata no Kagami, the mirror that held Amaterasu — and one of the three Imperial Regalia.	New ID japanese_ishikoridome	ADD	
Tamanooya	玉祖命	玉祖命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Maker of the magatama necklace for the rock-cave ritual; the third Regalia derives from his work.	New ID japanese_tamanooya	ADD	
Ame-no-Koyane	天児屋命	天児屋命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	One of the two ritualists at the cave, and the ancestral deity of the Nakatomi, who became the Fujiwara.	New ID japanese_ame_no_koyane	ADD	
Futodama	布刀玉命	布刀玉命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The other ritualist, who stretched the first shimenawa across the cave mouth; ancestor of the Inbe.	New ID japanese_futodama	ADD	
Yamata-no-Orochi	八岐大蛇	八岐大蛇	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The eight-headed serpent Susanoo killed, and the source of Kusanagi. The registry held the swordsman and not the serpent.	New ID japanese_yamata_no_orochi	ADD	
Kushinada-hime	櫛名田比売 | 奇稲田姫	櫛名田比売	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The daughter Susanoo turned into a comb and married; the Suga palace and the first Japanese poem follow from it.	New ID japanese_kushinada_hime	ADD	
Ashinazuchi	足名椎命	足名椎命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Her father, who brewed the eightfold sake and built the fence of eight gates.	New ID japanese_ashinazuchi	ADD	
Tenazuchi	手名椎命	手名椎命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Her mother. Recorded separately because the texts name the pair separately.	New ID japanese_tenazuchi	ADD	
Takemikazuchi	建御雷神	建御雷神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The thunder kami of Kashima, envoy of the kuni-yuzuri, who sat on his upturned sword at Inasa and beat Takeminakata.	New ID japanese_takemikazuchi_kashima	ADD	
Futsunushi	経津主神	経津主神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The second envoy, of Katori. Kashima and Katori are the two frontier shrines of the Yamato expansion east.	New ID japanese_futsunushi	ADD	
Kotoshironushi	事代主神	事代主神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Okuninushi's son who conceded the land at once and then vanished.	New ID japanese_kotoshironushi	ADD	
Takeminakata	建御名方神	建御名方神	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The son who refused, lost the first sumo bout in Japanese literature, and was chased to Suwa.	New ID japanese_takeminakata	ADD	
Iwanaga-hime	石長比売 | 磐長姫	石長比売	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The rock-sister Ninigi sent back, which is why emperors die. ONE PRE-EXISTING RECORD MODIFIED to carry the reciprocal sibling edge.	New ID japanese_iwanaga_hime	ADD	
Hoderi	火照命 | 海幸彦	火照命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The fisherman brother whose fish-hook starts the quarrel; ancestor claimed by the Hayato.	New ID japanese_hoderi	ADD	
Hoori	火遠理命 | 山幸彦	火遠理命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The hunter brother who went to the sea-god's palace and married Toyotama-hime.	New ID japanese_hoori	ADD	
Toyotama-hime	豊玉姫	豊玉姫	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Daughter of Watatsumi, who left after being watched in childbirth; grandmother of the first emperor.	New ID japanese_toyotama_hime	ADD	
Tamayori-hime	玉依姫	玉依姫	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	Her sister, who raised the child, married him, and bore Jimmu. Her name is the common noun for a woman a god enters.	New ID japanese_tamayori_hime	ADD	
Ugayafukiaezu	鵜葺草葺不合命	鵜葺草葺不合命	deity	Japanese	Kojiki (712) and Nihon Shoki (720) via reference treatments; server-side web search	The join between the age of the gods and the imperial chronology, named for an unfinished roof.	New ID japanese_ugayafukiaezu	ADD	
