canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Padmasambhava	Guru Rinpoche; the Lotus-Born; Padmakara; Pema Jungne; Guru Pema	པདྨ་འབྱུང་གནས (padma 'byung gnas)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The Indian tantric master said to have transmitted Vajrayana Buddhism to Tibet and Bhutan in the eighth century, held by tradition to have been incarnated as an eight-year-old child appearing in a lotus blossom floating on Lake Dhanakosha in the kingdom of Uddiyana.		ADD	none before this batch
Yeshe Tsogyal	Lady Kharchen; Victorious Ocean of Knowledge; Khandro Yeshe Tsogyal	ཡེ་ཤེས་མཚོ་རྒྱལ (ye shes mtsho rgyal)	mortal	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The chief disciple and principal Tibetan consort of Padmasambhava, held to have attained enlightenment in her lifetime and called the Mother of Tibetan Buddhism; she recorded his teachings and concealed his terma throughout Tibet.		ADD	none before this batch
Mandarava	Princess Mandarava; Mandāravā	Mandāravā	mortal	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The daughter of the king of the country where Padmasambhava was found, whom the king married to him on recognising his nature, and one of his two principal consorts.		ADD	none before this batch
Śāntarakṣita	Shantarakshita; Khenpo Shantarakshita; Zhiwatso	Śāntarakṣita	mortal	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The Indian abbot invited to Tibet by King Trisong Detsen, who founded the temple and monastery of Samye, ordained the first seven Tibetan monks in 779 and so established the Tibetan sangha, and who at the failure of the building work insisted the king send for Padmasambhava.		ADD	none before this batch
Trisong Detsen	Khri srong lde btsan; Trisong Deutsen	ཁྲི་སྲོང་ལྡེ་བཙན (khri srong lde btsan)	mortal	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The king who invited Śāntarakṣita to Tibet, began the construction of Samye in 763, and at the abbot's insistence invited Padmasambhava, who tamed the local spirits before the monastery's completion in 767.		ADD	none before this batch
Dorje Drakden	Nechung Chogyong; rDo rje grags ldan; the Nechung deity	རྡོ་རྗེ་གྲགས་ལྡན (rdo rje grags ldan)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	Chief minister of Pehar Gyalpo's retinue and the Emissary of the Five Kings, principally an emanation of the King of Speech, who became the principal protector of the Dalai Lamas and manifests through the Nechung Oracle.		ADD	none before this batch
Yamāntaka	Vajrabhairava; Dorje Jigje; Shinje Shed; Yamantaka	རྡོ་རྗེ་འཇིགས་བྱེད (rdo rje 'jigs byed)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A wrathful yidam, one of the three principal meditational deities of the Gelug school alongside Cakrasaṃvara and Guhyasamāja, whose fierce form is read as the energy of enlightenment cutting through delusion.		ADD	none before this batch
Cakrasaṃvara	Chakrasamvara; Khorlo Demchok; Heruka; Korlo Demchog	འཁོར་ལོ་བདེ་མཆོག ('khor lo bde mchog)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A principal wrathful yidam, central with Vajrayoginī to Kagyü practice and one of the three principal meditational deities of the Gelug school.		ADD	none before this batch
Vajrayoginī	Vajravārāhī; Dorje Naljorma; Dorje Phagmo; Vajrayogini	རྡོ་རྗེ་རྣལ་འབྱོར་མ (rdo rje rnal 'byor ma)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A principal female yidam, central with Cakrasaṃvara to Kagyü practice.		ADD	none before this batch
Hevajra	Kye Dorje; Kyai Dorje	ཀྱེ་རྡོ་རྗེ (kye rdo rje)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A wrathful yidam, the principal meditational deity around which the Lamdre, the 'Path and Result', of the Sakya school is organised.		ADD	none before this batch
Guhyasamāja	Sangwa Dupa; Guhyasamaja	གསང་བ་འདུས་པ (gsang ba 'dus pa)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A principal yidam and one of the three principal meditational deities of the Gelug school, alongside Vajrabhairava and Cakrasaṃvara.		ADD	none before this batch
Kālacakra	Dukyi Khorlo; Kalachakra; the Wheel of Time	དུས་ཀྱི་འཁོར་ལོ (dus kyi 'khor lo)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A yidam named among the common meditational deities of Vajrayāna, each with its own iconography, maṇḍala, mantra and rite of invocation, and holding a prominent position in Gelug practice.		ADD	none before this batch
Vajrakīlaya	Dorje Phurba; Vajrakumāra; Vajrakila; Dorje Phurpa	རྡོ་རྗེ་ཕུར་པ (rdo rje phur pa)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A wrathful yidam honoured as one of the Eight Heruka deities of the Nyingma school and as a fierce emanation of Vajrasattva, representing the pure untainted mind of all buddhas.		ADD	none before this batch
Hayagrīva	Tamdrin; rTa mgrin; Hayagriva	རྟ་མགྲིན (rta mgrin)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	A wrathful yidam named first among the common meditational deities of Vajrayāna practice.		ADD	none before this batch
Mahākāla	Gonpo; mGon po; Nagpo Chenpo; the Great Black One; Mahakala	མགོན་པོ (mgon po)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	The principal dharma protector of Tibetan Buddhism, regarded in many Tibetan traditions as a wrathful manifestation of Avalokiteśvara, known in more than seventy-five forms and generally called simply mGon po, the Lord.		ADD	none before this batch
Ekajaṭī	Ekajati; Ral chig ma; Ekajaṭā; the single-plaited one	རལ་གཅིག་མ (ral gcig ma)	deity	Tibetan Buddhist	Reference treatments consulted via server-side web search; see transcript citations	One of the three root protectors of the Nyingma school, who safeguards the mantras of the Buddha — that is, the speech of the Buddha.		ADD	none before this batch
