canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Bawon	Baron; Papa Bawon; the Bawon	Bawon	deity	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	The lwa with whom the Gede are closely associated, whose aspects are Bawon Samdi, ruler of the graveyard; Baron La Croix, guardian of the gravestone; and Baron Cimetière, guardian of the grave.		ADD	was resolving onto another record before this batch
Baron La Croix	Bawon Lakwa; Baron Lacroix; Bawon Lakroua; Baron of the Cross	Bawon Lakwa	deity	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	An aspect of Bawon: the Baron of the Cross, guardian of the gravestone.		ADD	was resolving onto another record before this batch
Baron Cimetière	Bawon Simitye; Bawon Simitiè; Baron of the Cemetery	Bawon Simitye	deity	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	An aspect of Bawon: the Baron of the Cemetery, guardian of the grave, and part of the Gede nation.		ADD	was resolving onto another record before this batch
Ogou Badagri	Ogou Badagris; Ogoun Badagri; Badagri	Ogou Badagri	deity	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	A powerful lwa of the Nago nation and a general in the armies of Ogou.		ADD	was resolving onto another record before this batch
vodou_ogou — remove alias 'Ogou Badagri'			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	The source calls Ogou Badagris a distinct lwa of the Nago nation AND A GENERAL IN THE ARMIES OF OGOU - a relation between two figures, stored as two names for one. Removing the alias frees vodou_ogou_badagri. NOTHING ELSE ON vodou_ogou IS TOUCHED.	Edit to a pre-existing record	ALIAS-EDIT	n/a
vodou_bawon_samdi — remove aliases 'Baron La Croix' and 'Baron Cimetière'			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	The sources give these as two OTHER aspects of Bawon with two other stations: Samdi rules the graveyard, La Croix guards the gravestone, Cimetière guards the grave. Three stations were collapsed into one record. NOTHING ELSE ON vodou_bawon_samdi IS TOUCHED - in particular its notes still say 'He is often paired or conflated with Baron Lacroix and Baron Cimetière', which is TRUE and stays; the edit removes the corpus's participation in the conflation, not the record of it.	Edit to a pre-existing record	ALIAS-EDIT	n/a
vodou_bawon_samdi — remove epithet 'Baron Cimetière / Baron of the Cemetery'			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	THE ONE JUDGEMENT CALL IN THIS BATCH, GIVEN ITS OWN ROW SO IT CAN BE REVERSED ALONE. The owner authorised editing ALIAS LISTS; an epithet is a different field. But this epithet is a NAME for a figure this batch establishes is somebody else, so it is a name-bearing field doing an alias's job and the same reasoning applies. The epithet is restored on vodou_bawon_simitye, where it belongs. If the owner meant alias lists strictly, reverse this row and leave the other three.	Edit to a pre-existing record	ALIAS-EDIT	n/a
vodou_gede_nibo — remove aliases 'Gede' and 'Ghede'			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	The bare family name of the LARGEST FAMILY OF LWA IN THE RELIGION was resolving onto a single member of it. 'Ghede Nibo' and 'Guédé Nibo' are kept - those are his name. NO RECORD IS CREATED IN THEIR PLACE: the Gede are a FAMILY, and a family is a class of spirit, which this programme does not ingest. A sweep for 'Gede' now returns NOTHING, which is an improvement and not a regression - the corpus holds no figure simply called Gede and should say so rather than answer with one member.	Edit to a pre-existing record	ALIAS-EDIT	n/a
vodou_ogou_balendjo — note rewritten			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	Lane 28's note said 'NO RECORD IS CREATED FOR OGOU BADAGRIS ... the census carries him as EXISTING with the reason.' He now has one. The note is rewritten to tell the whole story - why he could not be created, and what changed - rather than deleted. NOT THE MUTATION THIS LANE'S HEADER IS ABOUT: this is a record the programme authored one lane ago.	Correction to a record this programme authored	NOTE-CORRECTION	n/a
vodou_kalfou — note rewritten			n/a	Haitian Vodou	Reference treatments consulted via server-side web search during lane 28; no new research was needed or possible	Lane 28's note said no edge was drawn to Bawon 'because which Baron the source means is exactly what the alias list has made unanswerable.' It is now answerable. Same reasoning as above. LEAVING A CORPUS THAT CONTRADICTS ITSELF WOULD HAVE BEEN THE WORSE OUTCOME.	Correction to a record this programme authored	NOTE-CORRECTION	n/a
