canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Mèt Kalfou	Kalfou; Kafou; Carrefour; Maître Carrefour; Met Kalfou	Mèt Kalfou	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	The literal embodiment of the crossroads and Papa Legba's dark counterpart, described as his cousin-brother: the spirit of dangerous crossroads, of confusion and of blocked pathways, belonging to the Petwo nation as Legba belongs to the Rada.		ADD	none before this batch
Papa Loko Atisou	Loko; Loco; Loko Atisou; Papa Loko	Papa Loko Atisou	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	The archetypal houngan, the prototypical priest of the tradition, who with his wife Ayizan confers the office of priesthood during initiation and is a powerful guardian of reglemen — the correct and appropriate form of service.		ADD	none before this batch
Manbo Ayizan Velekete	Ayizan; Ayizan Velekete; Manbo Ayizan; Ayizan Belekunde	Manbo Ayizan Velekete	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	The first or archetypal manbo, a racine or root lwa of the rites of initiation called kanzo, associated with priestly knowledge and mysteries — particularly those of initiation and of the natural world — and a powerful guardian of reglemen.		ADD	none before this batch
Gran Bwa	Grand Bois; Grans Bwa; Bran Bwa; Ganga-Bois; Gran Bwa Ile	Gran Bwa	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	An elemental, nature-oriented lwa closely associated with trees, plants and herbs: master of the forest and especially of the wilderness and the mysteries it holds, who governs the leaves and roots used for both healing and harming, and is revered as a powerful healer and magician.		ADD	none before this batch
Marasa	the Marasa; Marassa; Marassa Jumeaux; the Divine Twins; Marasa Twa	Marasa	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	The divine twins, who appear either as two or as three children: twins and yet numbering three, male and female, and both male and both female; commonly syncretised with the Catholic saints Cosmas and Damian.		ADD	none before this batch
Dom Pedro	Don Pedro; Dom Pèdwo; the houngan Dom Pedro	Dom Pedro	mortal	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	The houngan named as the legendary founder of the Petwo rite, whose deification is the lwa Dan Petro.		ADD	none before this batch
Dan Petro	Don Petro; Danpetro; Dan Pèdwo	Dan Petro	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	A violent lwa: the deification of the legendary founder of the Petwo rite, the houngan Dom Pedro, and the head of the family of lwa regarded as volatile and hot, in contrast with the cool and sweet-tempered Rada.		ADD	none before this batch
Ti Jean Petro	Ti-Jean Petro; Ti Jean; Ti Jean Pye Fin	Ti Jean Petro	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	A powerful lwa and the son of Dan Petro, known as a trickster with a fierce nature and a connection to fire and heat.		ADD	none before this batch
Marinette	Marinette Bwa Chèch; Marinèt	Marinette	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	A lwa of power and of violence, of the Petwo family.		ADD	none before this batch
Bosou	Bosou Twa Kon; Papa Bosou; Bossou; Bosou Twa Kònen	Bosou Twa Kon	deity	Haitian Vodou	Reference treatments consulted via server-side web search; see transcript citations	A lwa portrayed as a man with bull horns, served in the Petwo rite; described as a royal vodou of Tohosou-land in Dahomey, a deformed child of royalty during the reign of Dosou Agadja, king of Dahomey from 1708 to 1732, and the Tawoyo of the royal family at Abomey.		ADD	none before this batch
