canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Usil	Usils	usil	deity	Etruscan	Liver of Piacenza (usils); Etruscan mirrors and bronze chariot fittings	Sun god; his genitive labels half the sixteen sky-regions.	Proposed new ID etruscan_usil	ADD	
Tiur	Tiv | Tivr | Tiu	tiur	deity	Etruscan	Liver of Piacenza (tivs)	Moon; the word means both moon and month.	Proposed new ID etruscan_tiur; name-collision with the unrelated Nigerian tiv_tiv noted	ADD	tiv_tiv (Tiv) — unrelated homonym
Catha	Cavatha | Cavtha	caθa	deity	Etruscan	Liver of Piacenza region 8; sanctuary dedications; Latin gloss Solis Filia	Named goddess with her own liver region and dedications.	Proposed new ID etruscan_catha	ADD	
Cel	Ati Cel | Celsc	cel	deity	Etruscan	Liver of Piacenza region 13; mirror patronymic celsclan	Earth mother; holds a liver region.	Proposed new ID etruscan_cel	ADD	
Satre	Satres	satres	deity	Etruscan	Liver of Piacenza (NW region)	Lightning-hurling chthonic god of the dark quarter.	Proposed new ID etruscan_satre	ADD	
Voltumna	Veltha | Veltune | Voltumnus	velθa	deity	Etruscan	Varro (deus Etruriae princeps); Livy (Fanum Voltumnae); Campo della Fiera excavations	Chief god of the Etruscan league.	Proposed new ID etruscan_voltumna	ADD	
Nortia	Nurtia	Nortia	deity	Etruscan	Livy (the annual nail); Tertullian Apologeticum 24.8	Goddess of Volsinii and of the year-fixing nail rite.	Proposed new ID etruscan_nortia	ADD	
Culsans	Culśanś	culśanś	deity	Etruscan	Inscribed bronze statuettes from gate contexts; British Museum term record; Liver (cul alp)	Two-faced guardian of gateways.	Proposed new ID etruscan_culsans	ADD	
Culsu	Culśu	culśu	deity	Etruscan	Sarcophagus of Hasti Afunei, Chiusi	Named female gatekeeper of the underworld with shears.	Proposed new ID etruscan_culsu	ADD	
Tuchulcha	Tuchulca	tuχulχa	deity	Etruscan	Tomb of Orcus, Tarquinia	Individually named chthonic daemon, not a class label.	Proposed new ID etruscan_tuchulcha	ADD	
Mantus	Manth	manθ	deity	Etruscan	Graeco-Roman and antiquarian report; Mantua etymology	Named ruler of the dead in the received tradition; weight marked low.	Proposed new ID etruscan_mantus	ADD	
Mania		Mania	deity	Etruscan	Graeco-Roman and antiquarian report	Named queen of the dead in the received tradition; weight marked low.	Proposed new ID etruscan_mania	ADD	
Vetis	Veive | Vedius	vetis	deity	Etruscan	Liver of Piacenza (vetisl); Roman Vejovis corroborates the reading	Vendetta god; liver reading independently corroborated.	Proposed new ID etruscan_vetis	ADD	
Leinth	Leinθ	leinθ	deity	Etruscan	Inscribed bronze mirrors	Named death-associated deity of no fixed sex.	Proposed new ID etruscan_leinth	ADD	
Alpanu	Alpan | Alpnu	alpanu	deity	Etruscan	Inscribed bronze mirrors	Named goddess of Turan's circle; leaves and flowers.	Proposed new ID etruscan_alpanu; filed under Alpanu because Alpan collides with Caucasian records	ADD	lezgin_alpan, tsakhur_alpan — unrelated homonyms
Achvizr	Aχvizr	aχvizr	deity	Etruscan	Inscribed bronze mirrors	Named attendant divinity embracing Alpanu.	Proposed new ID etruscan_achvizr	ADD	
Thanr	Θanr	θanr	deity	Etruscan	Inscribed bronze mirrors, birth scenes	Named birth goddess of the mirror repertoire.	Proposed new ID etruscan_thanr	ADD	
Thalna	Θalna	θalna	deity	Etruscan	Inscribed bronze mirrors, birth scenes with Tinia	Named birth goddess; popular "god of trade" reading rejected.	Proposed new ID etruscan_thalna	ADD	
Ethausva	Eθausva	eθausva	deity	Etruscan	A small number of Etruscan inscriptions	Named winged, crowned goddess.	Proposed new ID etruscan_ethausva	ADD	
Mean	Meanpe	mean	deity	Etruscan	Inscribed bronze mirrors, crowning scenes	Named goddess of victory who crowns Hercle.	Proposed new ID etruscan_mean	ADD	
Hercle	Herecele | Herkle | Hrcle	hercle	demigod	Etruscan	Etruscan mirrors (apotheosis, crowning by Mean); son of Tinia and Alchumena	Etruscan reception with native parentage and cult; precedent is oscan_hercle kept separate.	Proposed new ID etruscan_hercle; greek_apollod_heracles carries "Hercle" as an alt-name — flagged for reviewer	ADD	greek_apollod_heracles (alt "Hercle"); oscan_hercle
Letun	Latva	letun	deity	Etruscan	Etruscan mirrors naming her with the twins	Mother of Aplu and Artume by Tinia.	Proposed new ID etruscan_letun	ADD	
Aplu	Apulu | Aplus	aplu	deity	Etruscan	Portonaccio sanctuary at Veii and its terracotta Apollo; mirrors	Major native cult; identity question with Śuri documented, not resolved by merge.	Proposed new ID etruscan_aplu	ADD	
Artume	Artumes | Aritimi	artumes	deity	Etruscan	Etruscan mirrors	Twin of Aplu, daughter of Tinia and Letun.	Proposed new ID etruscan_artume	ADD	
Śuri	Suri | Soranus Pater	śuri	deity	Etruscan	Pyrgi sanctuary; reference treatment making Apulu his epithet	Fire and chthonic god with his own sanctuary cult.	Proposed new ID etruscan_suri; equated-with edge to etruscan_aplu records the dispute	ADD	
Maris	Mariś Halna | Mariś Husrnana | Mariś Isminthians	mariś	deity	Etruscan	Etruscan mirrors	Named child-god with a set of distinguishing epithets.	Proposed new ID etruscan_maris; no filiation authored because none is secure	ADD	
Vegoia	Vecu | Begoe | Lasa Vecuvia	vecu	numen	Etruscan	The prophecy of Vegoia in the corpus agrimensorum	Named prophetic authority of the Etrusca disciplina.	Proposed new ID etruscan_vegoia	ADD	
Tarchon	Tarchun | Tarchnas	tarchunies	mortal	Etruscan	Virgil Aeneid; the dodecapolis foundation tradition	Culture hero, founder and haruspex.	Proposed new ID etruscan_tarchon	ADD	
Tyrrhenus	Tyrsenos | Tyrrhenos	Tyrrhenus	mortal	Etruscan	The dodecapolis foundation tradition; Greek eponym traditions	Eponymous founder and brother of Tarchon.	Proposed new ID etruscan_tyrrhenus	ADD	
Cacu		cacu	mortal	Etruscan	Etruscan bronze mirrors (Cacu, Artile, the Vibennas)	Named Etruscan seer; distinct from the Roman monster Cacus.	Proposed new ID etruscan_cacu	ADD	
Avile Vipinas	Aule Vipinas | Aulus Vibenna	avile vipinas	mortal	Etruscan	François Tomb, Vulci; mirrors	Named warrior-hero of Vulci.	Proposed new ID etruscan_avile_vipinas	ADD	
Caile Vipinas	Caile Vipina | Caelius Vibenna	caile vipinas	mortal	Etruscan	François Tomb, Vulci; Claudius's Senate speech	Named warrior-hero of Vulci.	Proposed new ID etruscan_caile_vipinas	ADD	
Macstrna	Mastarna	macstrna	mortal	Etruscan	François Tomb, Vulci; Claudius's Senate speech	Named figure; Claudius equates him with Servius Tullius.	Proposed new ID etruscan_macstrna	ADD	
Calu		calu	deity	Etruscan	Existing corpus record	Wolf-god name already carried as an alias of the existing Aita record.	etruscan_aita (alt "Calu")	ALIAS	etruscan_aita
Aita	Eita	aita	deity	Etruscan	Existing corpus record	Underworld ruler already in the corpus; reviewed for the Mantus question.	etruscan_aita	EXISTING	etruscan_aita
Persipnei	Phersipnai	φersipnai	deity	Etruscan	Existing corpus record	Underworld queen already in the corpus; reviewed for the Mania question.	etruscan_persipnei	EXISTING	etruscan_persipnei
Lasa		lasa	deity	Etruscan	Etruscan mirrors	Rejected as ingested here: "Lasa" functions in the evidence chiefly as a class of winged attendant spirits. Individually named Lasas are treated separately; Lasa Vecuvia is carried as an alias of Vegoia.	Class label, not an individual	REJECT	
Lvsl / Lusa		lvsl	deity	Etruscan	Liver of Piacenza region 6	Abbreviated liver theonym; no agreed expansion and no independent corroboration.	—	BLOCKED	
Tluscv / Tluscva		tluscv	deity	Etruscan	Liver of Piacenza region 12	Abbreviated liver theonym; reading contested and uncorroborated elsewhere.	—	BLOCKED	
Lethns / Lethams		lethns	deity	Etruscan	Liver of Piacenza region 11	Abbreviated liver theonym; reading contested and uncorroborated elsewhere.	—	BLOCKED	
Thufltha		θufltha	deity	Etruscan	Liver of Piacenza region 2	Abbreviated liver theonym; sometimes read as a divine power rather than a name.	—	BLOCKED	
Cilens / Cilensl		cilens	deity	Etruscan	Liver of Piacenza regions 1 and 16	Abbreviated liver theonym appearing twice; expansion and identity contested.	—	BLOCKED	
Munthuh / Munthukh		munθuχ	deity	Etruscan	Etruscan mirrors (reported)	Named mirror attendant this session could not substantiate from accessible sources.	—	BLOCKED	
Zirna		zirna	deity	Etruscan	Etruscan mirrors (reported)	Named mirror attendant this session could not substantiate from accessible sources.	—	BLOCKED	
Atrpa		atrpa	deity	Etruscan	Etruscan mirrors (reported)	Named fate figure, reportedly the Etruscan Atropos; not substantiated from accessible sources.	—	BLOCKED	
Evan		evan	deity	Etruscan	Etruscan mirrors (reported)	Named attendant, reportedly a winged male Lasa; not substantiated from accessible sources.	—	BLOCKED	
Snenath		śnenaθ	deity	Etruscan	Etruscan mirrors (reported)	Named attendant of Turan's circle; not substantiated from accessible sources.	—	BLOCKED	
