canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Fionn mac Cumhaill	Finn MacCool; Fingal	Fionn mac Cumhaill	mortal	Irish	Reference treatments consulted via server-side web search; see transcript citations	THE LARGEST SINGLE ABSENCE IN THE TRADITION, and the registry had an ERA WAITING FOR HIM. Leader of the Fianna, seer and poet, who takes the Salmon of Knowledge from his own teacher. TYPE CORRECTED UNDER TEST from demigod to mortal - third lane running; see audit.	New ID irish_fionn	ADD	
Cumhall	Cumall	Cumhall	mortal	Irish	Reference treatments consulted via server-side web search; see transcript citations	Fionn's father, from whom the patronymic comes. That Goll killed him is a BLOCKED row, not an uncited edge.	New ID irish_cumhall	ADD	
Goll mac Morna	Goll	Goll mac Morna	mortal	Irish	Reference treatments consulted via server-side web search; see transcript citations	Leader of the Fianna before Fionn.	New ID irish_goll	ADD	
Finnegas	Finn Eces	Finn Éces	mortal	Irish	Reference treatments consulted via server-side web search; see transcript citations	The sage who waited seven years by the Boyne for the Salmon of Knowledge and lost it to his own apprentice. Here because the story is a joke about patience and a registry holding only the boy would hold half of it.	New ID irish_finnegas	ADD	
Sadhbh	Sadb	Sadhbh	deity	Irish	Reference treatments consulted via server-side web search; see transcript citations	Turned into a deer by the Dark Man, found by Fionn while hunting, mother of Oisín - whom Fionn names 'little fawn' because of what happened to her.	New ID irish_sadhbh	ADD	
Fear Doirche	the Dark Man; the Dark Druid	an Fear Doirche	numen	Irish	Reference treatments consulted via server-side web search; see transcript citations	The druid who transforms Sadhbh. HE HAS NO NAME, ONLY A DESCRIPTION, and that is worth a record rather than a footnote: a corpus of figures should be able to say that the person who does the worst thing in a story is unnamed.	New ID irish_fear_doirche	ADD	
Oisín	Ossian	Oisín	demigod	Irish	Reference treatments consulted via server-side web search; see transcript citations	THE NARRATOR OF THE FENIAN CYCLE - the same fault lane 17 found with Sanjaya and the Bhagavad Gita, in a different literature. Three hundred years in Tír na nÓg, aged in seconds on touching Irish ground, and received by Saint Patrick.	New ID irish_oisin	ADD	
Niamh	Niamh Chinn Óir	Niamh	deity	Irish	Reference treatments consulted via server-side web search; see transcript citations	Daughter of the king of Tír na nÓg, who takes Oisín there and gives him the warning that undoes him.	New ID irish_niamh	ADD	
Oscar	Osgar	Oscar	quartigod	Irish	Reference treatments consulted via server-side web search; see transcript citations	Oisín's son and Fionn's grandson, who kills Cairbre Lifechair at Cath Gabhra and is killed by him in the same exchange; his death makes Fionn weep for the only time in his life. TYPE quartigod, computed from descent.	New ID irish_oscar	ADD	
Cairbre Lifechair	Coirpre Lifechair	Cairbre Lifechair	mortal	Irish	Reference treatments consulted via server-side web search; see transcript citations	The king killed by Oscar at Cath Gabhra, whose dying blow kills Oscar. The treatment calls him 'the hated Cairbre Lifechair', which is the Fenian Cycle's view; the record reports the epithet as the source's and does not adopt it.	New ID irish_cairbre_lifechair	ADD	
