canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Chujiang Wang	King of the 2th Court	楚江王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging corrupt officials, dishonest doctors and deceivers; the Mountain of Ice	-	ADD	none
Songdi Wang	King of the 3th Court	宋帝王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging ungrateful children and sowers of family discord; the heart torn out repeatedly	-	ADD	none
Wuguan Wang	King of the 4th Court		deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging tax evaders, business cheats and wasters of food; millstones and red-hot pillars	-	ADD	none; no settled Chinese form (see audit)
Biancheng Wang	King of the 6th Court	卞城王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging desecrators of sacred texts and blasphemers against heaven; the saw and the boulder	-	ADD	none
Taishan Wang	King of the 7th Court	泰山王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging grave robbers and violators of burial custom; steaming and disembowelling	-	ADD	none
Dushi Wang	King of the 8th Court	都市王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging filial impiety and examination fraud; Hot Suffocation Hell and its sixteen sub-hells	-	ADD	none
Pingdeng Wang	King of the 9th Court	平等王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging whatever the first eight courts missed - the final audit before rebirth; the Iron Web	-	ADD	none
Zhuanlun Wang	King of the 10th Court	轉輪王	deity	Chinese	Reference treatment of the Ten Courts of Diyu and of the individual courts (web research pass, lane 37)	One of the Ten Yama Kings of Diyu, judging nobody: the Tenth Court assigns the next life at the Wheel of Rebirth	-	ADD	none
Ao Qin	Dragon King of the South Sea	敖欽	deity	Chinese	Reference treatment of the Four Dragon Kings (web research pass, lane 37)	One of the four brother Dragon Kings; the corpus held ONLY Ao Guang of the East Sea	-	ADD	none
Ao Run	Dragon King of the West Sea	敖閏	deity	Chinese	Reference treatment of the Four Dragon Kings (web research pass, lane 37)	One of the four brother Dragon Kings; the corpus held ONLY Ao Guang of the East Sea	-	ADD	none
Ao Shun	Dragon King of the North Sea	敖順	deity	Chinese	Reference treatment of the Four Dragon Kings (web research pass, lane 37)	One of the four brother Dragon Kings; the corpus held ONLY Ao Guang of the East Sea	-	ADD	none
Ao Bing	敖丙	敖丙	demigod	Chinese	Reference treatment of Ao Bing (web research pass, lane 37)	Third son of Ao Guang, slain by Nezha and revived by Taiyi Zhenren; THE CORPUS HELD THE KILLER AND NOT THE KILLED	-	ADD	none
Dianmu	Leizi; Lightning Mother	電母	deity	Chinese	Reference treatment of the Chinese weather deities (web research pass, lane 37)	Goddess of lightning, the YIN half of the storm whose name encodes Leigong's YANG half; the corpus held the thunder and not the lightning	-	ADD	none
Yushi	the Rain Master	雨師	deity	Chinese	Reference treatment of the Chinese weather deities (web research pass, lane 37)	Rain Master of the temple quartet	-	ADD	none
Fengbo	Fengshi; the Earl of Wind; Feng Po Po	風伯	deity	Chinese	Reference treatment of the Chinese weather deities (web research pass, lane 37)	Wind deity of the temple quartet, later transformed into Old Lady Wind - both forms kept	-	ADD	none
Tianguan	Official of Heaven	天官	deity	Chinese	Reference treatment of the Sanguan, the Three Officials of Daoism (web research pass, lane 37)	One of the Sanguan, subordinate only to the Jade Emperor; the confession is written in TRIPLICATE, so the three cannot be authored singly	-	ADD	none
Diguan	Official of Earth	地官	deity	Chinese	Reference treatment of the Sanguan, the Three Officials of Daoism (web research pass, lane 37)	One of the Sanguan, subordinate only to the Jade Emperor; the confession is written in TRIPLICATE, so the three cannot be authored singly	-	ADD	none
Shuiguan	Official of Water	水官	deity	Chinese	Reference treatment of the Sanguan, the Three Officials of Daoism (web research pass, lane 37)	One of the Sanguan, subordinate only to the Jade Emperor; the confession is written in TRIPLICATE, so the three cannot be authored singly	-	ADD	none
Tudigong	Lord of the Soil and the Ground	土地公	deity	Chinese	Reference treatment of Tudigong and the City God (web research pass, lane 37)	The tutelary god of a locality and the LOWEST rank of the celestial bureaucracy; the most worshipped god in China had no record	-	ADD	none
Chenghuang	the City God; Chenghuangye	城隍	deity	Chinese	Reference treatment of Tudigong and the City God (web research pass, lane 37)	The City God, ranking above Tudigong; an OFFICE filled by a deified local worthy, with a cult two millennia old	-	ADD	none
Zhinu	the Weaver Girl; Vega	織女	demigod	Chinese	Reference treatment of Zhinu, Niulang and Yue Lao (web research pass, lane 37)	Daughter of the Jade Emperor and goddess of weaving; half of the Qixi story	Era set to her father's (mythic-prehistory) because the registry's era ordering puts mythic EARLIER and would have inverted the generations	ADD	none
Niulang	the Cowherd; Altair	牛郎	mortal	Chinese	Reference treatment of Zhinu, Niulang and Yue Lao (web research pass, lane 37)	The other half of the Qixi story	-	ADD	none
Yue Lao	Yue Xia Laoren; the Old Man under the Moon	月老	deity	Chinese	Reference treatment of Zhinu, Niulang and Yue Lao (web research pass, lane 37)	The lunar matchmaker of the red thread and the marital register	-	ADD	none
Bixia Yuanjun	Taishan Niangniang; the Lady of Mount Tai	碧霞元君	deity	Chinese	Reference treatment of Bixia Yuanjun (web research pass, lane 37)	Goddess of Mount Tai, childbirth and destiny; the corpus held the GOD of Mount Tai and not the goddess	NO PARENTAGE ASSERTED: the tradition commonly makes her Dongyue Dadi's daughter but this pass did not return that filiation, so only the shared mountain cult is linked	ADD	none
Taiyi Zhenren	the Perfected Lord Taiyi	太乙真人	deity	Chinese	Reference treatment of Ao Bing (web research pass, lane 37)	Nezha's master, who revived Ao Bing; the corpus held the pupil and not the teacher	-	ADD	none
Lu Ban	Gongshu Ban	魯班	deity	Chinese	Reference treatment of Lu Ban, Wu Gang, Kui Xing, Houtu and Tai Sui (web research pass, lane 37)	God of carpentry and patron of builders; a historical craftsman deified, hence era spring-autumn and vitalStatus apotheosed	-	ADD	none
Wu Gang	the woodcutter of the moon	吳剛	mortal	Chinese	Reference treatment of Lu Ban, Wu Gang, Kui Xing, Houtu and Tai Sui (web research pass, lane 37); Reference treatment of the Four Heavenly Ministers and the Jade Emperor's subordinates (web research pass, lane 37)	The woodcutter condemned by the Jade Emperor to fell the self-healing lunar osmanthus	-	ADD	none
Kui Xing	the Polestar Deity	魁星	deity	Chinese	Reference treatment of Lu Ban, Wu Gang, Kui Xing, Houtu and Tai Sui (web research pass, lane 37)	God of the imperial examinations; the corpus held the god of literature and not the god of the examination	-	ADD	none
Houtu	Houtu Niangniang; Dimu; Lady Mother Earth	后土	deity	Chinese	Reference treatment of Lu Ban, Wu Gang, Kui Xing, Houtu and Tai Sui (web research pass, lane 37); Reference treatment of the Four Heavenly Ministers and the Jade Emperor's subordinates (web research pass, lane 37)	Deity of all land and earth, one of the Four Heavenly Ministers	SEX CHANGED IN HISTORY: male before the Tang, female from Wu Zetian's reign; authored female as the later and dominant form with the earlier recorded	ADD	none
