canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Svetovid	Svantevit; Sventovit; Svyatovit	Svętovitъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Four-headed chief god of the Rani of Rugen, holding horn and sword; his temple at Cape Arkona was described in detail by Saxo Grammaticus and destroyed by Valdemar I's Danes in 1168. The best-attested god in the tradition and absent from the registry.	New ID slavic_svetovid	ADD	
Rugievit	Rugiaevit; Rugiewit; Ruyevit	Rujevitъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	One of the three gods of the stronghold at Charenza on Rugen; Saxo describes seven faces, seven swords at the belt and an eighth in the hand.	New ID slavic_rugievit	ADD	
Porevit	Porewit	Porevitъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Second of the three Rugen stronghold gods; five faces and no weapons at all.	New ID slavic_porevit	ADD	
Porenut	Porenutius; Porentius	Porenutъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Third of the three; four faces and a fifth on the breast, held by the forehead with the left hand and the chin with the right. The strangest image in the Slavic record.	New ID slavic_porenut	ADD	
Khors	Hors; Chors	Хърсъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	SOLAR DEITY AND THE SIXTH IDOL OF KIEV. The Primary Chronicle's entry for 980 names Perun, Khors, Dazhbog, Stribog, Simargl and Mokosh; the registry held five of the six. Khors is the most frequently mentioned Slavic god after Perun.	New ID slavic_khors	ADD	
Yarovit	Gerovit; Jarovit; Iarovit	Jarovitъ	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Polabian war god, known only from the twelfth-century Lives of Otto of Bamberg; festivals at Wolgast and Havelberg, a temple holding a giant shield and no statue, destroyed in 1128.	New ID slavic_yarovit	ADD	
Prove	Proven; Prono	Prove	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	God of the land of Oldenburg, named by Helmold in the same sentence as Ziva; worshipped at an enclosed oak grove that Helmold visited in 1156 and that contained no idol.	New ID slavic_prove	ADD	
Podaga		Podaga	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Polabian deity with a statue in a temple at Ploen, named only by Helmold, who gives neither depiction nor function. The emptiest record in the batch and left empty.	New ID slavic_podaga	ADD	
Jarilo	Yarilo; Jarylo; Juraj	Jarilo	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Vegetation and fertility god of spring, reconstructed by Katicic and Belaj as a life-death-rebirth deity whose cycle is the wheat crop's; marries Morana at midsummer, betrays her, is killed by her, and the seasons begin. The registry held the killer and not the killed.	New ID slavic_jarilo	ADD	
Kupala	Kupalo; Kupailo	Kupalo	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Personification of the Slavic midsummer festival of the solstice, named as an idol in early modern East Slavic chronicles; rites of fertility and self-purification, still kept. Ingested at medium weight with the back-formation from the festival name stated on the record.	New ID slavic_kupala	ADD	
Ziva	Zhiva; Siwa; Zivena; Zywia	Živa	deity	Slavic	Reference treatments consulted via server-side web search; see transcript citations	Goddess of life of an Obodrite tribe of the Polabian Slavs, named in Helmold's Chronica Slavorum. The one figure of the seasonal group with a clean medieval attestation.	New ID slavic_zhiva	ADD	
