canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Brihaspati	Guru; Devaguru	बृहस्पति	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Guru of the devas, graha of Jupiter, arch-nemesis of Shukracharya whom lane 16 added without his opposite number. Husband of Tara.	New ID hindu_brihaspati	ADD	
Tara		तारा	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Brihaspati's wife, taken by Soma, mother of Budha. The corpus held Soma with no wife - lane 16's 'the god and not the household' pattern.	New ID hindu_tara	ADD	
Budha	Soumya	बुध	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Graha of Mercury and ruler of intellect, son of Soma and Tara.	New ID hindu_budha	ADD	
Mangala	Angaraka; Kuja; Bhauma	मङ्गल	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Graha of Mars. THE FIRST RECORD IN THIS PROGRAMME TO CARRY TWO SECTARIAN PARENTAGE ACCOUNTS SIDE BY SIDE - Vaishnava son of Bhumi and Vishnu-as-Varaha, Shaiva born from a drop of Shiva's blood - with the kinds naming the school inside themselves and NOTHING in parentIds.	New ID hindu_mangala	ADD	
Shani	Shanaishchara	शनि	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Graha of Saturn, son of Surya and Chhaya, the most propitiated of the nine in living practice. TYPE CORRECTED UNDER TEST from demigod to deity - see audit.	New ID hindu_shani	ADD	
Rahu	Svarbhanu (before the beheading)	राहु	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The severed immortal HEAD of the asura Svarbhanu, who drank the nectar in disguise; the north lunar node and the cause of eclipses. The corpus held the sun, the moon and the discus and neither half of the thing that eats them.	New ID hindu_rahu	ADD	
Ketu	Svarbhanu (before the beheading)	केतु	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The immortal decapitated BODY, the south lunar node, the seeker of spiritual detachment. The tradition assigns the two halves opposite dispositions and both records say so.	New ID hindu_ketu	ADD	
Kurma	Kurmavatara	कूर्म	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The tortoise avatar who supports Mount Mandara during the churning. BLOCKED BY LANE 16 for want of a treatment; cleared here. First blocked row in this programme cleared by the following lane.	New ID hindu_kurma	ADD	
Vasuki		वासुकि	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The naga used as the churning rope, held at the head by the asuras and the tail by the devas. The corpus held hindu_shesha, the serpent the world rests on, and not the serpent the world was made with.	New ID hindu_vasuki	ADD	
Dhanvantari		धन्वन्तरि	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The heavenly physician who rises from the churned ocean with the pot of amrita; patron deity of Ayurveda.	New ID hindu_dhanvantari	ADD	
Mohini		मोहिनी	deity	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The female form Vishnu takes to recover the amrita from the asuras - and therefore the direct cause of Rahu's beheading. Filed with kind 'form-taken-by' rather than 'avatar-of', because the sources treat her as a form assumed for one purpose.	New ID hindu_mohini	ADD	
