canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Hydros	Hydrus	Ὕδρος	deity	Orphic	Orphic theogonies via Damascius; reference treatment	First entity of the Orphic cosmogony with Thesis and Mud; father of Chronos and Ananke by Gaia. Not a Hesiodic figure.	Proposed new ID orphic_hydros	ADD	
Thesis	Creation	Θέσις	deity	Orphic	Orphic theogonies; reference treatment	Primordial goddess of creation, first to emerge with Hydros and Mud.	Proposed new ID orphic_thesis	ADD	
Aither	Aether | Ether	Αἰθήρ	deity	Orphic	Orphic Rhapsodies; reference treatment	One of the two principles produced by Chronos in the Rhapsodic theogony — an Orphic placement, not the Hesiodic parentage.	Proposed new ID orphic_aither	ADD	
Physis	Nature	Φύσις	deity	Orphic	Orphic Hymns; reference treatment	Nature personified, addressed in her own hymn and paired with Thesis in the theogonic material.	Proposed new ID orphic_physis	ADD	
Eukles	Euklês | Eucles	Εὐκλῆς	deity	Orphic	The Orphic gold leaves; scholarly study of their divinities	Named addressee on the gold leaves alongside Eubouleus.	Proposed new ID orphic_eukles; may be a title of the lord of the dead — recorded in variants	ADD	
Brimo		Βριμώ	deity	Orphic	The Orphic gold leaves; scholarly study of their divinities	Named on the gold leaves; identified variously with Demeter and Hekate.	Proposed new ID orphic_brimo	ADD	
Hipta	Ipta	Ἵπτα	deity	Orphic	Orphic Hymn 49; Proclus; Anatolian inscriptions	Nurse of the newborn Dionysus on Mount Tmolus; cult confirmed by western Anatolian inscriptions.	Proposed new ID orphic_hipta	ADD	
Mise	Misa	Μίση	deity	Orphic	Orphic Hymn 42; Anatolian inscriptions	Hymn-goddess whose cult is confirmed by western Anatolian inscriptions; exact peer of the existing Melinoe.	Proposed new ID orphic_mise	ADD	
Musaeus	Mousaios	Μουσαῖος	mortal	Orphic	Orphic Hymns, the proem "To Musaeus"	Legendary poet to whom the Hymns are addressed and under whose name Orphic poems circulated.	Proposed new ID orphic_musaeus	ADD	
Eubouleus		Εὐβουλεύς	deity	Orphic	The Orphic gold leaves	Already carried as an alias of the existing Orphic Dionysos record.	orphic_dionysos	ALIAS	orphic_dionysos
Protogonos	Erikepaios | Metis | Eros	Πρωτόγονος	deity	Orphic	Orphic theogonies	Already carried as aliases of the existing Phanes record.	orphic_phanes	ALIAS	orphic_phanes
Chaos		Χάος	deity	Orphic	Orphic Rhapsodies	The Orphic material gives Chaos a different position in the sequence, not a different character; greek_hesiod_chaos already exists.	Near-duplicate of greek_hesiod_chaos	REJECT	greek_hesiod_chaos
Gaia	Ge	Γαῖα	deity	Orphic	Orphic theogonies	Same figure re-placed in the Orphic sequence; no distinctively Orphic character.	Near-duplicate of the existing Greek record	REJECT	
Ouranos		Οὐρανός	deity	Orphic	Orphic theogonies	Same figure re-placed in the Orphic sequence.	Near-duplicate of the existing Greek record	REJECT	
Kronos		Κρόνος	deity	Orphic	Orphic theogonies	Same figure re-placed; distinct from orphic_chronos, which is already recorded.	Near-duplicate of the existing Greek record	REJECT	
Rhea		Ῥέα	deity	Orphic	Orphic theogonies and Hymns	Same figure receiving an Orphic hymn; no distinctively Orphic character.	Near-duplicate of the existing Greek record	REJECT	
Mud	Ilys	ἰλύς	deity	Orphic	Orphic theogonies	Named among the first entities but as a substance that solidifies into Gaia, not an individuated figure.	Substance, not an individual	REJECT	
