canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Arthur	Arthur ap Uthr; King Arthur	Arthur	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	THE LARGEST ABSENCE IN THIS CORPUS BY REPUTATION. The registry indexed 560 traditions and did not hold Arthur. Ingested from the WELSH material - Culhwch ac Olwen, the Triads, the Three Romances, the Annales Cambriae entry for Camlann - and not from the Galfridian or French romance tradition, which is a different body of literature about a figure with the same name.	New ID welsh_arthur	ADD	
Cai	Cei; Kay; Sir Kay	Cai	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Arthur's foremost companion in the oldest layer, where he is a formidable warrior with supernatural attributes and not yet the seneschal-buffoon of the French romances. Kills Wrnach Gawr in Culhwch.	New ID welsh_cai	ADD	
Bedwyr	Bedwyr Bedrydant; Bedivere	Bedwyr	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Named with Cai in every early list; the two are Arthur's pair in the Welsh material before either has a French counterpart.	New ID welsh_bedwyr	ADD	
Culhwch	Kilhwch	Culhwch	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Title character of the OLDEST ARTHURIAN TALE IN ANY LANGUAGE, and Arthur's cousin - the tale is how Arthur enters the corpus of Welsh prose at all.	New ID welsh_culhwch	ADD	
Olwen		Olwen	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	The other title character; white trefoils spring up where she walks. Her father's condition on the marriage is the plot.	New ID welsh_olwen	ADD	
Ysbaddaden Bencawr	Ysbaddaden; Ysbaddaden Chief of Giants	Ysbaddaden Bencawr	numen	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Olwen's father, who must die when she marries and therefore sets forty impossible tasks. THE ANTAGONIST OF THE OLDEST ARTHURIAN TALE.	New ID welsh_ysbaddaden	ADD	
Wrnach Gawr	Wrnach; Wrnach the Giant	Wrnach Gawr	numen	Welsh	Reference treatments consulted via server-side web search; see transcript citations	The giant whose sword is one of the tasks; killed by Cai in the one episode the tale narrates at length.	New ID welsh_wrnach	ADD	
Mabon ap Modron	Mabon; Maponos	Mabon fab Modron	deity	Welsh	Reference treatments consulted via server-side web search; see transcript citations	ONE OF THE OLDEST DIVINE NAMES ATTESTED IN BRITAIN - the Romano-British Maponos under his Welsh form - taken from his mother when three nights old and imprisoned since; the greatest huntsman there is, and the Twrch Trwyth cannot be hunted without him. The corpus held neither him nor his mother.	New ID welsh_mabon	ADD	
Gwenhwyfar	Guinevere; Gwenhwyvar	Gwenhwyfar	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Arthur's wife in the Welsh material, where she is a figure of the Triads before she is a figure of romance.	New ID welsh_gwenhwyfar	ADD	
Gwenhwyfach	Gwenhwyvach	Gwenhwyfach	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	HER SISTER, AND THE WELSH CAUSE OF CAMLANN. Triad 53 makes the blow Gwenhwyfach struck Gwenhwyfar one of the Three Harmful Blows and the reason for the battle - an account with no Lancelot in it at all.	New ID welsh_gwenhwyfach	ADD	
Medrawd	Medraut; Mordred	Medrawd	mortal	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Named with Arthur in the Annales Cambriae entry on Camlann, which does NOT say they fought each other. The record carries the entry and not the later reading.	New ID welsh_medrawd	ADD	
Creiddylad	Creiddylad ferch Lludd; Cordelia	Creiddylad	deity	Welsh	Reference treatments consulted via server-side web search; see transcript citations	The woman Gwyn ap Nudd and Gwythyr fight for every May Day until Judgement Day. The corpus held Gwyn AP NUDD WITH AN EMPTY RELATIONS ARRAY and neither of the two people his one story is about. Ancestor of Shakespeare's Cordelia by way of Geoffrey.	New ID welsh_creiddylad	ADD	
Gwythyr ap Greidawl	Gwythyr	Gwythyr ap Greidawl	deity	Welsh	Reference treatments consulted via server-side web search; see transcript citations	The other May Day combatant, to whom Creiddylad was betrothed before Gwyn took her. Arthur's judgement binds the two to fight annually and forever.	New ID welsh_gwythyr	ADD	
Twrch Trwyth	Twrch Trwyd; Troit	Twrch Trwyth	numen	Welsh	Reference treatments consulted via server-side web search; see transcript citations	A KING TRANSFORMED INTO A BOAR FOR HIS SINS, carrying comb and shears between his ears, hunted across Ireland, Wales and Cornwall in the longest episode of Culhwch. NOT A GENERIC ANIMAL - he speaks, he is named in the Historia Brittonum three centuries earlier, and the hunt costs Arthur his men.	New ID welsh_twrch_trwyth	ADD	
Morfran	Afagddu; Y Fagddu; Morfran ail Tegid	Morfran	demigod	Welsh	Reference treatments consulted via server-side web search; see transcript citations	THE SON THE CAULDRON WAS BREWED FOR. The corpus held Ceridwen, held Taliesin who got the three drops by accident, held Tegid Foel the father - and not the boy the whole year of brewing was meant to compensate.	New ID welsh_morfran	ADD	
Creirwy		Creirwy	demigod	Welsh	Reference treatments consulted via server-side web search; see transcript citations	Morfran's sister, one of the three fair maidens of Britain - the standard Morfran's ugliness is measured against, in the same household.	New ID welsh_creirwy	ADD	
Hafgan	Hafgan, Lord of Annwn	Hafgan	deity	Welsh	Reference treatments consulted via server-side web search; see transcript citations	ARAWN'S RIVAL - the only thing that happens in the year Pwyll spends as Arawn. The corpus held Arawn and Pwyll and not the man the exchange exists to kill.	New ID welsh_hafgan	ADD	
