canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Zarathustra	Zoroaster; Zarathushtra; Zartosht	Zaraθuštra	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	THE PROPHET THE RELIGION IS NAMED AFTER, and the registry did not hold him. Composer of the Gathas, patronised by Kavi Vishtaspa, celebrant at his daughter's marriage in Yasna 53. No dates are given on the record, because the date of Zarathustra is an open question in Iranian studies and writing one would take a side.	New ID zoroastrian_zarathustra	ADD	
Vishtaspa	Kavi Vishtaspa; Goshtasp; Hystaspes	Kauui Vīštāspa	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	The prince the Gathas celebrate as Zoroaster's patron and the establisher of the first Zoroastrian community. NOT identified here with Hystaspes the father of Darius: that is a proposal and a pivot of the dating question.	New ID zoroastrian_vishtaspa	ADD	
Jamasp	Jamaspa Hvogva	Jāmāspa	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Nobleman of Vishtaspa's court, named in the Gathas, who marries the prophet's daughter Pouruchista in Yasna 53. One of the handful of human beings the oldest layer of the religion names at all.	New ID zoroastrian_jamasp	ADD	
Frashaoshtra	Frashaoshtra Hvogva	Frašaoštra	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Named with Jamasp at Yasna 51.17-18 as a member of the Hvogva clan and of Vishtaspa's court.	New ID zoroastrian_frashaoshtra	ADD	
Pouruchista	Porucist	Pourucištā	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Zarathustra's daughter, whose wedding is the subject of Yasna 53, the last of the five Gathas.	New ID zoroastrian_pouruchista	ADD	
Gayomart	Gayomard; Gayumars; Keyumars; Gaya Maretan	Gaya Marətan	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	THE FIRST MAN. Made shining and white by Ahura Mazda, immobilises Ahriman by existing, killed after thirty years; his body becomes the metals of the earth and his seed the first human couple. The registry held no creation account at all.	New ID zoroastrian_gayomart	ADD	
Mashya	Masia; Mashye	Mašya	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	First man of the human race proper, grown with Mashyana from the dead Gayomart's seed.	New ID zoroastrian_mashya	ADD	
Mashyana	Masyana; Mashyanag	Mašyānī	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	First woman; with Mashya the origin of the human race.	New ID zoroastrian_mashyana	ADD	
Gavaevodata	the Sole-created Ox; the Primeval Ox	Gauuaēuuō.dāta	numen	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	The sole-created ox, made with Gayomart, sharing the fire-seed and the three thousand years of spiritual creation, and the origin of animal life. Ingested where named horses were rejected, because this is a singular created being with a cosmogonic role and not an animal identified by a name and an owner.	New ID zoroastrian_gavaevodata	ADD	
Zurvan	Zurwan; Zurvan Akarana; Zaman	Zruuan-	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Time, postulated in the Zurvanite doctrine as a third entity generating both Ohrmazd and Ahriman. TRADITION-KEY NOTE: the corpus already holds sogdian_zurvan; this record is not merged with it, on the precedent the corpus itself sets by holding zoroastrian_mithra and roman_mithraic_mysteries_mithras separately.	New ID zoroastrian_zurvan	ADD	
Aka Manah	Akoman; Akem Manah	Akəm Manah	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	ARCH-DAEVA OF EVIL THOUGHT, set against Vohu Manah. First of the six the registry held none of.	New ID zoroastrian_aka_manah	ADD	
Indra (the daeva)	Indar; Andar	Iṇdra	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Arch-daeva who freezes the minds of the righteous, set against Asha Vahishta. Id deliberately zoroastrian_indra_daeva to prevent a false match with hindu_indra; one of the three arch-daevas whose names are Vedic gods.	New ID zoroastrian_indra_daeva	ADD	
Saurva	Sawar; Sarvar; Sarva	Sauruua	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Arch-daeva of oppression, set against Khshathra Vairya of DESIRABLE dominion.	New ID zoroastrian_saurva	ADD	
Nanghaithya	Nanghait; Nasatya	Nāŋhaiθiia	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Arch-daeva of discontent, set against Spenta Armaiti. The third of the three with Vedic equivalents.	New ID zoroastrian_nanghaithya	ADD	
Taurvi	Tauriz; Tawrich; Tauru	Tauruui	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Arch-daeva of destruction, set against Haurvatat of wholeness; named as a pair with Zairich exactly as Haurvatat is with Ameretat.	New ID zoroastrian_taurvi	ADD	
Zairich	Zarich; Zairi	Zairi	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Arch-daeva of poison, set against Ameretat of immortality - the exact inversion, poison being what makes a thing not immortal.	New ID zoroastrian_zairich	ADD	
Aeshma	Aesma; Khashm	Aēšma	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	THE DEMON OF WRATH, most prominent daeva of the older texts, carrying a bloody spear, devoured at the end by Az. The registry held jewish_ashmedai - Asmodeus - and not the figure generally taken to stand behind him.	New ID zoroastrian_aeshma	ADD	
Az	Azi	Āzi	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Daeva of greed and avarice, who devours wrath itself at the end. Grows into a principal power in Manichaeism, of which the corpus holds seven records.	New ID zoroastrian_az	ADD	
Apaosha	Apausha; Aposh	Apaoša	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	THE DROUGHT DEMON TISHTRYA FIGHTS. The corpus held zoroastrian_tishtrya with an EMPTY relations array - a star-yazata whose entire myth is a horse-fight for the waters of Vourukasha, recorded with no one to fight.	New ID zoroastrian_apaosha	ADD	
Bushyasta	Bushyansta; Bushasp	Būšiiąstā	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Demon of sloth and unending sleep, yellow and stagnant. The demon that opposes a religion of action is not wickedness but lying in bed.	New ID zoroastrian_bushyasta	ADD	
Nasu	Nasush; Druj Nasu	Nasu	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Demon of corpse-pollution, and in ONE of the two enumerations of the six arch-daevas one of the six - where the other list gives Aka Manah in that place. Ingested to carry the contradiction, with no opposes edge because the source does not name his slot.	New ID zoroastrian_nasu	ADD	
Ashi	Ashi Vanghuhi; Ard; Arshishvang	Aši Vaŋuhī	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Yazata of reward and fortune; unpersonified across seventeen Gathic occurrences and then the dedicatee of Yasht 17. The record shows the development rather than flattening it.	New ID zoroastrian_ashi	ADD	
Daena	Den; Din; the Maiden of Conscience	Daēnā	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Conscience and religion personified, met at the Chinvat Bridge in the form the dead person's own deeds have made of her, who presents their actions before the tribunal. THE CORPUS HELD ALL THREE JUDGES - Mithra, Sraosha, Rashnu - AND NOT THE WITNESS.	New ID zoroastrian_daena	ADD	
Apam Napat	Burz Yazad	Apąm Napāt	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Yazata of the waters and one of the Indo-Iranian yazatas. A short record, short because the citation is short.	New ID zoroastrian_apam_napat	ADD	
Drvaspa	Gosh; Goshorun	Druuāspā	deity	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Yazata of cattle and of the soundness of horses; 'she whose horses are sound'. Also short, and ingested rather than blocked because a pastoral religion's livestock yazata is substantive at one line.	New ID zoroastrian_drvaspa	ADD	
Hushedar	Ukhshyat-ereta; Oshedar	Uxšiiaṯ.ərəta	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	First of the three future saviours, born of a maiden from the preserved seed of Zoroaster. vitalStatus 'yet to be born', which is the accurate value.	New ID zoroastrian_hushedar	ADD	
Hushedar-mah	Hushedarmah; Ukhshyat-nemah	Uxšiiaṯ.nəmah	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	Second of the three saviours. Ordered successor-of edges rather than sibling edges, because they are two thousand years apart and share only a father and a lake.	New ID zoroastrian_hushedar_mah	ADD	
Astvat-ereta	Saoshyant; Soshyant	Astuuaṯ.ərəta	mortal	Zoroastrian	Reference treatments consulted via server-side web search; see transcript citations	THE SAOSHYANT. Born of a maiden bathing in Lake Kansaoya where the prophet's seed is guarded by 99,999 fravashis; leads the final battle against falsehood and achieves the Frashokereti. Filed under the personal name with Saoshyant as an alias, because saoshyant is also a common noun. The registry held NO eschatology at all.	New ID zoroastrian_astvat_ereta	ADD	
