canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Mihr	Mher	Mihr	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	God of light, heaven and the sun; his centre was at Bagaharich and THE TEMPLE AT GARNI - the one pre-Christian temple still standing in Armenia - is his. HIS NAME IS WHY THE SASNA TSRER HAS TWO MHERS, and the corpus held both of them and not the god.	New ID armenian_mihr	ADD	
Nane	Nanea	Նանե	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	Goddess of motherhood, war and wisdom, with a spear in one hand and a shield in the other. A GODDESS OF MOTHERHOOD WHO IS ARMED, which is the kind of combination a registry of domains should be able to show.	New ID armenian_nane	ADD	
Tir	Tiur	Տիր	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	God of learning, writing and the sciences, INTERPRETER OF DREAMS and messenger of the gods. The ancient equation with Apollo is recorded as an equation and no edge is drawn.	New ID armenian_tir	ADD	
Barsamin	Barshamin	Բարշամին	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	Weather and sky god. HIS NAME IS THE SEMITIC TITLE BAAL SHAMIN in Armenian dress; no edge to canaanite_baal or phoenician_baalshamin, because a name's origin belongs in the etymology.	New ID armenian_barsamin	ADD	
Vanatur	Amanor	Վանատուր	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	THE GOD THE CORPUS'S ARAMAZD IS SAID TO HAVE REPLACED, and the corpus held the replacement and not him. God of the New Year and the new harvest, whose feast Navasard fell at the end of July. Amanor and Vanatur are ONE RECORD WITH TWO NAMES and the record carries the sources' own 'possibly'.	New ID armenian_vanatur	ADD	
Spandaramet	Sandaramet	Սպանդարամետ	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	God of the underworld and the kingdom of the dead. A NAME THAT CHANGED SIDES: the Iranian Spenta Armaiti is the spirit of the EARTH and the Armenian Spandaramet is the lord of what is under it.	New ID armenian_spandaramet	ADD	
Tork Angegh	Tork; Turk Angegh	Տորք Անգեղ	deity	Armenian	Reference treatments consulted via server-side web search; see transcript citations	Deity of strength, courage and the crafts: a giant who hurls boulders across the sea, flattens the face of a rock and SCRATCHES PICTURES INTO IT WITH HIS FINGERNAILS, called Angegh - 'ugly' - for his appearance. A GOD WHO IS ALSO AN ARTIST.	New ID armenian_tork_angegh	ADD	
Grogh	Groh	Գրող	numen	Armenian	Reference treatments consulted via server-side web search; see transcript citations	'The writer', who settles what becomes of a person. TYPE numen AND NOT deity, because the sources name an entity with an act and not a god with a cult. Compare lane 21's Wyrd, which was BLOCKED because there the scholarship divided on whether there was a figure at all.	New ID armenian_grogh	ADD	
Bel	Nimrod	Բել	mortal	Armenian	Reference treatments consulted via server-side web search; see transcript citations	THE HEADLINE. The Babylonian tyrant Hayk refuses, who follows him north and whom Hayk shoots through the breast with a wide bow - and the people take their name from the archer. THE CORPUS HELD THE ARCHER AND NOT THE TARGET. No edge to mesopotamian_marduk though 'Bel' is his title.	New ID armenian_bel	ADD	
Torgom	Togarmah; Torkom	Թորգոմ	mortal	Armenian	Reference treatments consulted via server-side web search; see transcript citations	Hayk's father, and the point at which the Armenian genealogy joins the biblical line from Noah through Japheth. THE SAME MAN IS THE FOUNDER OF TWO NATIONS - Leonti Mroveli's Georgian chronicle makes him the ancestor of the Georgians - and no cross-tradition edge is drawn.	New ID armenian_torgom	ADD	
