canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Hreidmarr	Hreiðmarr	Hreiðmarr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Father of Regin, Otr and Fafnir, who demanded the otter's ransom and was murdered by Fafnir for it. The first link in the chain that kills everyone in the Volsung cycle the registry already held.	New ID norse_hreidmarr	ADD	
Otr	Ótr	Ótr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The son killed in otter shape by Odin, Loki and Hoenir, whose skin set the price.	New ID norse_otr	ADD	
Andvari		Andvari	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The dwarf whose gold paid the ransom and who cursed the ring Andvaranaut to destroy its owner and that owner's family.	New ID norse_andvari	ADD	
Fafnir	Fáfnir	Fáfnir	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	THE HEADLINE ABSENCE: the dragon Sigurd killed, in a registry that held Sigurd and the whole Volsung cycle.	New ID norse_fafnir	ADD	
Regin	Reginn	Reginn	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Sigurd's foster-father, who forged the sword and set him on to kill the dragon — his own brother.	New ID norse_regin	ADD	
Mimir	Mímir | Mim	Mímir	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	Beheaded by the Vanir; his preserved head went on advising Odin. One of the two sources of Odin's wisdom.	New ID norse_mimir	ADD	
Hoenir	Hœnir	Hœnir	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	One of the three gods who kill Otr and one of the two hostages; the reason Mimir was beheaded.	New ID norse_hoenir	ADD	
Kvasir	Kvasi	Kvasir	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	Made from the spittle of the AEsir-Vanir truce, murdered by two dwarfs and brewed into the mead of poetry. Every skaldic kenning for poetry refers back to him.	New ID norse_kvasir	ADD	
Fjalar	Fjalarr	Fjalarr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	One of the two dwarfs who killed Kvasir and brewed the mead, and who gave it to Suttungr on the reef.	New ID norse_fjalar	ADD	
Galar	Galarr	Galarr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The other dwarf.	New ID norse_galar	ADD	
Suttungr	Suttung	Suttungr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The jotunn who took the mead as compensation for his father's murder and hid it under Hnitbjorg.	New ID norse_suttungr	ADD	
Baugi		Baugi	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Suttungr's brother, who drilled the hole through the mountain for Odin.	New ID norse_baugi	ADD	
Gunnlod	Gunnlöð	Gunnlǫð	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Suttungr's daughter, set to guard the mead, whom the Havamal says Odin repaid badly.	New ID norse_gunnlod	ADD	
Sol	Sól | Sunna	Sól	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	The Norse sun, a woman driving a chariot and being chased. The sweep matched 'Sol' to roman_sol — a false positive.	New ID norse_sol	ADD	
Mani	Máni	Máni	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	The Norse moon, her brother. The sweep matched 'Mani' to nuer_mani — another false positive.	New ID norse_mani	ADD	
Skoll	Sköll | Skǫll	Skǫll	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The wolf that chases the sun, son of Fenrir by an unnamed giantess. The registry held Fenrir and neither son.	New ID norse_skoll	ADD	
Hati	Hati Hróðvitnisson	Hati	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The wolf that chases the moon.	New ID norse_hati	ADD	
Nott	Nótt	Nótt	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Night personified, a jotunn, who rides first; mother of Day. Germanic time was counted in nights.	New ID norse_nott	ADD	
Dagr	Dag	Dagr	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	Day personified, her son, of the AEsir, whose horse's mane is the light.	New ID norse_dagr	ADD	
Nidhoggr	Níðhöggr | Nidhogg	Níðhǫggr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The dragon gnawing the root of Yggdrasil from beneath in Niflheim.	New ID norse_nidhoggr	ADD	
Ratatoskr	Ratatosk	Ratatoskr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The squirrel that carries insults between the eagle and the dragon and, on the standard reading, stirs the quarrel that keeps the world tree in decay.	New ID norse_ratatoskr	ADD	
Hrungnir		Hrungnir	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The stone jotunn Thor duelled, whose whetstone fragment stayed in Thor's head for the rest of the mythology.	New ID norse_hrungnir	ADD	
Thrymr	Þrymr | Thrym	Þrymr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The jotunn king who stole Mjolnir and demanded Freyja, and handed the hammer to the disguised Thor as a wedding rite.	New ID norse_thrymr	ADD	
Utgarda-Loki	Útgarða-Loki | Skrýmir	Útgarða-Loki	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The jotunn who beat Thor by illusion — the only story in which Thor loses. Not the Loki the registry holds; the shared name is unexplained and is left unexplained.	New ID norse_utgarda_loki	ADD	
Geirrodr	Geirröðr	Geirrøðr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The jotunn who boxed Loki for three months and made him bring Thor without hammer, belt or gauntlets.	New ID norse_geirrodr	ADD	
Hymir		Hymir	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Owner of the cauldron, and the man in the other end of the boat when Thor hooked the world serpent — the most depicted scene in Viking-age art.	New ID norse_hymir	ADD	
Brokkr	Brokk	Brokkr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The dwarf at the bellows who made Mjolnir, Draupnir and Gullinbursti, and who sewed Loki's lips shut when denied the head he had won.	New ID norse_brokkr	ADD	
Eitri	Sindri | Eiti	Eitri	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	His brother at the forge. Recorded as ONE figure with both names, because the sources use them interchangeably for the same brother.	New ID norse_eitri	ADD	
Volundr	Völundr | Wayland the Smith | Wéland	Vǫlundr	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	The smith of the Volundarkvida: hamstrung, imprisoned, and revenged in the most brutal sequence in the Edda. Carved on the Franks Casket in the eighth century.	New ID norse_volundr	ADD	
Sigyn		Sigyn	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	Loki's wife, holding the bowl over his face against the venom; her absences to empty it are earthquakes. The registry held Loki, the sons whose entrails bind him and the serpent above him, and not her.	New ID norse_sigyn	ADD	
Gefjon	Gefjun	Gefjun	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	The goddess who ploughed Zealand out of Sweden, leaving Lake Malaren. The largest fountain in Copenhagen is this story.	New ID norse_gefjon	ADD	
Hermodr	Hermóðr | Hermod	Hermóðr	deity	Norse	Reference treatments consulted via server-side web search; see transcript citations	The god who rode to Hel to ask for Baldr and got a conditional yes that one giantess broke.	New ID norse_hermodr	ADD	
Sleipnir		Sleipnir	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Odin's eight-legged horse and Loki's fourth child. The registry held the other three.	New ID norse_sleipnir	ADD	
Gullveig	Heiðr | Heid	Gullveig	numen	Norse	Reference treatments consulted via server-side web search; see transcript citations	Speared and burned three times in Odin's hall and three times reborn; commonly held to have started the AEsir-Vanir war. Heiðr is carried as an alias because the poem makes the renaming explicit.	New ID norse_gullveig	ADD	
Odin				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_odin	EXISTING	norse_odin
Thor				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_thor	EXISTING	norse_thor
Loki				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_loki	EXISTING	norse_loki
Sigurd				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_sigurd	EXISTING	norse_sigurd
Fenrir				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_fenrir	EXISTING	norse_fenrir
Jormungandr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_jormungandr	EXISTING	norse_jormungandr
Hel				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_hel	EXISTING	norse_hel
Ymir				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_ymir	EXISTING	norse_ymir
Baldr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_baldr	EXISTING	norse_baldr
Freyja				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_freyja	EXISTING	norse_freyja
Freyr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_freyr	EXISTING	norse_freyr
Skadi				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_skadi	EXISTING	norse_skadi
Thjazi				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_thjazi	EXISTING	norse_thjazi
Angrboda				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_angrboda	EXISTING	norse_angrboda
Bragi				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_bragi	EXISTING	norse_bragi
Idunn				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_idunn	EXISTING	norse_idunn
Surtr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_surtr	EXISTING	norse_surtr
Buri				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_buri	EXISTING	norse_buri
Borr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_borr	EXISTING	norse_borr
Bestla				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_bestla	EXISTING	norse_bestla
Brynhildr				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_brynhildr	EXISTING	norse_brynhildr
Gudrun				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_gudrun	EXISTING	norse_gudrun
Sigmund				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_sigmund	EXISTING	norse_sigmund
Aegir				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_aegir	EXISTING	norse_aegir
Ran				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_ran	EXISTING	norse_ran
Vili				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_vili	EXISTING	norse_vili
Ve				Norse	Reference treatments consulted via server-side web search; see transcript citations	Checked in the 51-name sweep or as a relation target; already in the corpus.	Corpus id norse_ve	EXISTING	norse_ve
Sindri				Norse	Reference treatments consulted via server-side web search; see transcript citations	The sources use Sindri and Eitri for the same brother of Brokkr and the treatments consulted do not separate them; one record, both names.	Alias of norse_eitri	ALIAS	
Heid / Heiðr				Norse	Reference treatments consulted via server-side web search; see transcript citations	The name Gullveig takes at her third rebirth, which the Voluspa states explicitly. An alias, not a second figure.	Alias of norse_gullveig	ALIAS	
Wayland the Smith / Weland				Norse	Reference treatments consulted via server-side web search; see transcript citations	The English form of Volundr, named in Beowulf and Deor and carved on the Franks Casket. An alias on the Norse record.	Alias of norse_volundr	ALIAS	
Skrymir				Norse	Reference treatments consulted via server-side web search; see transcript citations	The name Utgarda-Loki uses in disguise on the road. An alias.	Alias of norse_utgarda_loki	ALIAS	
Alberich				Norse	Reference treatments consulted via server-side web search; see transcript citations	The German cognate of Andvari in the Nibelungen material. Named on his record; not a Norse figure and not in the registry under any key.	Alias of norse_andvari	ALIAS	
Andvaranaut, Mjolnir, Draupnir, Gullinbursti, Kusanagi-equivalents				Norse	Reference treatments consulted via server-side web search; see transcript citations	Objects, and several are already in the corpus's item registry. Their makers and owners are the figures.	Alias of norse_brokkr	ALIAS	
Sol (Roman)				Norse	Reference treatments consulted via server-side web search; see transcript citations	A FALSE POSITIVE of the sweep. The Roman sun god matched the Norse sun goddess on the normalised name; they are unrelated, and the genders are opposite.	roman_sol / roman_mithraic_mysteries_sol	CROSS-TRADITION SAME FIGURE	
Mani (Nuer)				Norse	Reference treatments consulted via server-side web search; see transcript citations	A FALSE POSITIVE of the sweep on a normalised name.	nuer_mani	CROSS-TRADITION SAME FIGURE	
Nerthus				Norse	Reference treatments consulted via server-side web search; see transcript citations	The corpus holds Nerthus under Continental Germanic. She is a Germanic goddess in Tacitus and not a Norse figure; not claimed here, and the sweep hit is recorded so the rate is not misread.	continental_germanic_nerthus	CROSS-TRADITION SAME FIGURE	
Wayland / Weland (English)				Norse	Reference treatments consulted via server-side web search; see transcript citations	Volundr is pan-Germanic and older than Old Norse, Old English or Old High German. Recorded under Norse because the Volundarkvida is; the English and German forms are aliases, and a Continental Germanic record would be a duplicate.		CROSS-TRADITION SAME FIGURE	
The Aesir				Norse	Reference treatments consulted via server-side web search; see transcript citations	The category.		REJECT	
The Vanir				Norse	Reference treatments consulted via server-side web search; see transcript citations	The category.		REJECT	
The jotnar				Norse	Reference treatments consulted via server-side web search; see transcript citations	The category. Seven named jotnar are ingested in this batch.		REJECT	
The dwarfs / dvergar				Norse	Reference treatments consulted via server-side web search; see transcript citations	The category. Six named dwarfs are ingested.		REJECT	
The valkyries				Norse	Reference treatments consulted via server-side web search; see transcript citations	The category. Named valkyries — Brynhildr, Sigrun, the Norns — are already in the corpus.		REJECT	
The einherjar				Norse	Reference treatments consulted via server-side web search; see transcript citations	The collective of the slain in Valholl.		REJECT	
The sons of Ivaldi				Norse	Reference treatments consulted via server-side web search; see transcript citations	Named only as a collective in the wager episode; no individual names are given in the sources consulted.		REJECT	
The eagle on Yggdrasil				Norse	Reference treatments consulted via server-side web search; see transcript citations	Unnamed in the sources consulted. Ratatoskr and Nidhoggr, who have names, are ingested; the eagle is not, and his record's absence is stated on theirs.		REJECT	
Arvakr, Alsvidr, Skinfaxi, Hrimfaxi				Norse	Reference treatments consulted via server-side web search; see transcript citations	The four named horses of Sol, Dagr and Nott. Animals identified only by a name and an owner; Sleipnir is ingested because the sources give him a parent and a biography, and these four are not.		REJECT	
Yggdrasil				Norse	Reference treatments consulted via server-side web search; see transcript citations	A tree. A place, not a figure.		REJECT	
Nidudr and Bodvild				Norse	Reference treatments consulted via server-side web search; see transcript citations	Volundr's captor and the daughter he took. Named in the sources consulted and given no content; they are the reciprocals his record cannot carry. SOURCES CHECKED: web search on the Volundarkvida. EVIDENCE NEEDED: per-figure content.		BLOCKED	
Gylfi				Norse	Reference treatments consulted via server-side web search; see transcript citations	The Swedish king who promised Gefjon as much land as she could plough. Named only in that capacity. SOURCES CHECKED: web search on Gefjon. EVIDENCE NEEDED: content beyond the bargain; he is also the frame narrator of the Gylfaginning, which would make him a strong ADD.		BLOCKED	
Garmr				Norse	Reference treatments consulted via server-side web search; see transcript citations	The hound at Gnipahellir who howls at Ragnarok. SOURCES CHECKED: web search alongside Nidhogg and Ratatoskr, which returned those two and not him. EVIDENCE NEEDED: a cited treatment; he is a strong ADD.		BLOCKED	
Vafthrudnir				Norse	Reference treatments consulted via server-side web search; see transcript citations	The jotunn who contests wisdom with Odin in the Vafthrudnismal. SOURCES CHECKED: web search alongside Gullveig, which returned Gullveig and not him. EVIDENCE NEEDED: a cited treatment; also a strong ADD.		BLOCKED	
Grid, Jarnsaxa, Thrud				Norse	Reference treatments consulted via server-side web search; see transcript citations	The giantess who lends Thor the staff and belt on the road to Geirrod; the mother of Magni; and Thor's daughter. All three appear in the sources consulted only in relation to figures already present. SOURCES CHECKED: web search on the Geirrod episode and the Thor material. EVIDENCE NEEDED: per-figure content.		BLOCKED	
