canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Duryodhana	Suyodhana	दुर्योधन	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	THE ELDEST KAURAVA, and the registry held all five Pandavas and not one of the hundred. With Shakuni he wins the Pandavas' kingdom at dice and drives them into exile; his allies are Shakuni, Karna, Dushasana and his blind father.	New ID hindu_duryodhana	ADD	
Gandhari		गान्धारी	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	The Kuru queen, wife of the blind Dhritarashtra, mother of the hundred sons and one daughter, who intervenes when Draupadi is about to curse the clan. The corpus held Dhritarashtra with no spouse.	New ID hindu_gandhari	ADD	
Dushasana	Duhshasana	दुःशासन	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Duryodhana's devoted brother and principal ally; one of the four Kauravas the tradition names out of the hundred.	New ID hindu_dushasana	ADD	
Shakuni	Saubala	शकुनि	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Gandhari's brother and Duryodhana's maternal uncle, whose rigged dice game is the hinge of the epic. The registry held neither man who plays it on that side.	New ID hindu_shakuni	ADD	
Vikarna		विकर्ण	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	One of the four Kauravas the tradition singles out. The record is short because the treatment names him among the four and does not say why; what he is remembered for is not asserted without a citation.	New ID hindu_vikarna	ADD	
Chitrasena (the Kaurava)	Chitrasena Dhartarashtra	चित्रसेन	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Fourth of the named Kauravas. Id qualified because the corpus ALREADY HOLDS hindu_chitrasena_karna, a son of Karna with the same name - a within-tradition id collision, the second qualified id needed in two lanes.	New ID hindu_chitrasena_kaurava	ADD	
Drona	Dronacharya	द्रोण	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	THE ACHARYA OF BOTH HOUSES and Supreme Commander of the Kauravas; husband of Kripi, trained in Bharadvaja's gurukul. Every warrior on both sides is his pupil and the registry held the pupils and not him.	New ID hindu_drona	ADD	
Kripa	Kripacharya	कृप	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Royal teacher of the Hastinapura princes, Kripi's brother, one of the three Kaurava survivors of the last night. vitalStatus 'living': the tradition counts him among the chiranjivis and the epic does not kill him.	New ID hindu_kripa	ADD	
Kripi		कृपी	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Kripa's sister, Drona's wife, Ashwatthama's mother - without her the two teaching houses of the epic are unconnected.	New ID hindu_kripi	ADD	
Ashwatthama	Ashvatthama; Drauni	अश्वत्थामा	mortal	Hindu	Reference treatments consulted via server-side web search; see transcript citations	Drona's son, with a divine gem in his forehead, last Kaurava commander, who kills the sleeping Pandava army after seeing an owl kill sleeping crows. vitalStatus 'living'. TYPE CORRECTED UNDER TEST from demigod to mortal - see audit.	New ID hindu_ashwatthama	ADD	
