canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Michael	Mikha'el; Mikhael; the prince of Israel; Sar Yisrael	מיכאל	numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the four chief archangels in rabbinic literature (web research pass, lane 35); 1 Enoch 20 (the Book of the Watchers)	The heavenly defender and representative of Israel, prince of chesed and water, one of the four chief angels around the divine throne; by a wide margin the most attested angel in the tradition	Same figure under the Beta Israel key as beta_israel_mikael; cross-tradition-counterpart-of written from this end	ADD	HIT: 'Michael' resolved to beta_israel_mikael [Beta Israel]
Gabriel	Gavri'el; Gabri'el; the prince of gevurah and fire	גבריאל	numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the four chief archangels in rabbinic literature (web research pass, lane 35); 1 Enoch 20 (the Book of the Watchers)	Prince of severity and fire, the second of the matched pair the midrash sends on God's errands of judgement; set in 1 Enoch over Paradise, the serpents and the Cherubim	Same figure under the Beta Israel key as beta_israel_gabriel	ADD	HIT: 'Gabriel' resolved to beta_israel_gabriel [Beta Israel]
Raphael	Refa'el; Rafael; Repha'el		numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the four chief archangels in rabbinic literature (web research pass, lane 35); 1 Enoch 20 (the Book of the Watchers)	Set in 1 Enoch over the spirits of men; the healer, and the third of the three angels who visited Abraham at the Oak of Mamre	Same figure under the Beta Israel key as beta_israel_rafael	ADD	HIT: 'Raphael' resolved to beta_israel_rafael [Beta Israel]
Uriel	Uri'el; Auriel; Oriel		numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the four chief archangels in rabbinic literature (web research pass, lane 35); 1 Enoch 20 (the Book of the Watchers)	The fourth of the four chief angels; set in 1 Enoch over the world and over Tartarus	-	ADD	NONE - the control case: the only one of the four whose name resolved nowhere in the corpus
Sariel	Sari'el; Suriel; Suri'el		numen	Jewish mythology (rabbinic-kabbalistic)	1 Enoch 20 (the Book of the Watchers)	One of the seven holy angels who watch, named in the list of 1 Enoch 20	Shares a name-form with beta_israel_suriel; cross-tradition-counterpart-of written from this end	ADD	HIT: 'Suriel' resolved to beta_israel_suriel [Beta Israel]
Raguel	Ragu'el; Raguil; Rasuil		numen	Jewish mythology (rabbinic-kabbalistic)	1 Enoch 20 (the Book of the Watchers)	One of the seven of 1 Enoch 20: the one who takes vengeance on the world of the luminaries	-	ADD	none
Saraqael	Saraqa'el; Sarakiel; Sariqael		numen	Jewish mythology (rabbinic-kabbalistic)	1 Enoch 20 (the Book of the Watchers)	One of the seven of 1 Enoch 20: set over the spirits who sin in the spirit	-	ADD	none
Remiel	Ramiel; Remi'el; Jeremiel		numen	Jewish mythology (rabbinic-kabbalistic)	1 Enoch 20 (the Book of the Watchers)	One of the seven of 1 Enoch 20: set over those who rise; the one member of the seven whose office is entirely eschatological	-	ADD	none
Akatriel	Akatriel Yah; Akhtariel; Aktariel		numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the Princes of the Presence in Hekhalot literature (web research pass, lane 35)	A Prince of the Presence, attested through a named rabbi's first-person account of encountering Akatriel-YAH in the Temple - testimony rather than a name in a list	-	ADD	none
Anafiel	Anaphiel; Anafi'el; Anpiel		numen	Jewish mythology (rabbinic-kabbalistic)	Reference treatment of the Princes of the Presence in Hekhalot literature (web research pass, lane 35)	Keeper of the divine crown, dweller in Araboth, guardian of the entrance to the chariot; SHARES WITH METATRON the office of shielding the angels from the divine presence, so the corpus held one half of a two-man office	-	ADD	none
