canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Astyoche x3 -> 'daughter of Phylas' / 'daughter of Laomedon' / 'daughter of Simoeis'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	NO DOMINANT BEARER, so all three are renamed. Each disambiguator is the parent the record's own notes already name. greek_astyoche_laomedon ALREADY CARRIED 'Astyoche daughter of Laomedon' AS AN ALIAS - the fix promotes it to primary and removes the now-redundant alias.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Antiope x3 -> 'of Thebes' / 'the Amazon' / 'the Thespiad'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	No dominant bearer between the mother of Amphion and Zethus and the Amazon daughter of Ares; the third is a Thespiad catalogue name. All three renamed.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Glaucus x2 -> 'of Corinth' / 'son of Minos'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	Neither dominates - the king eaten by his mares and the boy drowned in the honey-jar are both well attested, and a third Glaucus (the Lycian) is not in the corpus at all. Both renamed.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Chione x2 -> 'of Phocis' / 'the Boread'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	Neither dominates. greek_chione_boread's own notes already opened with 'DISTINCT'.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Creusa x2 -> 'of Athens' / 'of Troy'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	Neither dominates: the mother of Ion and the first wife of Aeneas. greek_creusa_troy's notes already said 'the Creusa of Troy (distinct from the registered greek_creusa_athens)'.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Anaxibia x2 -> 'daughter of Atreus' / 'daughter of Bias'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	Neither dominates. greek_anaxibia_bias's notes already said 'Distinguished by id from Anaxibia the Atreid' - AN ID, AGAIN, DOING A NAME'S JOB. greek_anaxibia_atreid already carried the new primary as an alias; promoted and de-duplicated.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Satanika x2 -> 'son of Nakula' / 'son of Janamejaya'			n/a	Hindu	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	Neither dominates, and hindu_shatanika's notes already said 'Distinct from the later Satanika who is Janamejaya's son'. Both disambiguators come from the records' own parentIds.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Eurypylus x2 -> 'son of Telephus' / 'the Thespiad'			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	The Homeric king of the Ceteians is the better attested, but 'Eurypylus' unqualified is ambiguous in Greek tradition generally, so both are renamed rather than one left to claim the bare name.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Iphigenia -> 'daughter of Helen' (variant only)			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	ONE CLEAR DOMINANT BEARER. greek_iphigenia's own notes call Agamemnon's daughter 'the dominant tradition', so she KEEPS the bare name and only the Stesichorean variant is renamed.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
Astyanax, Creon, Laomedon, Nicippe, Praxithea, Procris -> 'the Thespiad' (minor only)			n/a	Greek	The corpus's own notes, parentIds and ids; no web-search budget remained and none was used	SIX COLLISIONS WITH THE SAME SHAPE: a famous bearer against a member of the Thespiadae or Thespiades - the fifty sons and fifty daughters catalogued in one Apollodorus passage. The catalogue member is renamed and the famous bearer keeps the bare name. Hector's son keeps 'Astyanax'; the king of Thebes keeps 'Creon'.	Primary renamed on a pre-existing record	PRIMARY-RENAMED	n/a
