canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Yuanshi Tianzun	元始天尊 | Primeval Lord of Heaven | Jade Purity	元始天尊	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	First of the Three Pure Ones, highest deities of Daoism, who in the Fengshen Yanyi grants Jiang Ziya the roster by which the gods are invested.	New ID chinese_yuanshi_tianzun	ADD	
Lingbao Tianzun	靈寶天尊 | Celestial Worthy of the Numinous Treasure | Upper Purity	靈寶天尊	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Second of the Three Pure Ones; separated yang from yin and rules Highest Clarity.	New ID chinese_lingbao_tianzun	ADD	
Daode Tianzun	道德天尊 | Taishang Laojun | Laozi | Grand Purity	道德天尊	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Third of the Three Pure Ones, of whom Laozi is a manifestation, and who revealed the Orthodox One covenant to Zhang Daoling in 142 CE.	New ID chinese_daode_tianzun	ADD	
Doumu	斗母 | Dipper Mother	斗母元君	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Mother of the Big Dipper and the female half of heavenly energy against Tian's male half; sixteen arms.	New ID chinese_doumu	ADD	
Xuanwu	玄武 | Zhenwu | Dark Warrior	玄武	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	God of the north, of water and winter, and the Black Tortoise-Snake of the Four Symbols; renamed Zhenwu under a Song naming taboo.	New ID chinese_xuanwu	ADD	
Dongyue Dadi	東嶽大帝 | Great Emperor of the Eastern Peak	東嶽大帝	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Deity of Mount Tai and head of the celestial ministry that keeps the Book of Life — the register of when each soul is due before the judges of hell.	New ID chinese_dongyue_dadi	ADD	
Wenchang Wang	文昌帝君 | Wenchang Dijun	文昌帝君	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	God of culture, literature and the examinations, and a constellation before he is a person.	New ID chinese_wenchang	ADD	
Zhongli Quan	鍾離權 | Han Zhongli	鍾離權	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: the fan, the transmutation of base metals, wealth.	New ID chinese_zhongli_quan	ADD	
Zhang Guolao	張果老	張果老	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: the white donkey he folds like paper, necromancy, wine.	New ID chinese_zhang_guolao	ADD	
Han Xiangzi	韓湘子	韓湘子	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: the flute he made from bamboo, patron of musicians.	New ID chinese_han_xiangzi	ADD	
Cao Guojiu	曹國舅	曹國舅	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: Song imperial family, court dress and audience tablet, who renounced his position over his family's corruption.	New ID chinese_cao_guojiu	ADD	
Li Tieguai	李鐵拐 | Iron-Crutch Li	李鐵拐	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: the iron crutch, the medicine gourd, the beggar's body; patron of healing and of the poor.	New ID chinese_li_tieguai	ADD	
Lan Caihe	藍采和	藍采和	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the Eight Immortals: androgynous, the basket of flowers, freedom and the joy of life.	New ID chinese_lan_caihe	ADD	
Yanluo Wang	閻羅王 | Yanwang	閻羅王	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	God of death and ruler of Diyu, fifth of the Ten Kings of Hell. Linked counterpart-of to the existing buddhist_yama rather than merged with it.	New ID chinese_yanluo_wang	ADD	
Qinguang Wang	秦廣王 | King Qinguang	秦廣王	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	First of the Ten Kings, whose court receives every soul for processing and routing.	New ID chinese_qinguang_wang	ADD	
Meng Po	孟婆 | Granny Meng	孟婆	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Goddess of oblivion, who serves the five-flavoured soup of forgetting on the Naihe Bridge before rebirth.	New ID chinese_meng_po	ADD	
Zhong Kui	鍾馗 | the Demon Queller	鍾馗	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Vanquisher of ghosts, commander of eighty thousand demons, whose image on a door is the protection.	New ID chinese_zhong_kui	ADD	
Bai Wuchang	白無常 | White Impermanence	白無常	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the two escorts of the dead, the one in white. Recorded as an individual, not as half of a collective.	New ID chinese_bai_wuchang	ADD	
Hei Wuchang	黑無常 | Black Impermanence	黑無常	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	The second escort, the one in black.	New ID chinese_hei_wuchang	ADD	
Niutou	牛頭 | Ox-Head	牛頭	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	One of the two guardians of hell who bring the newly dead before Yanluo Wang.	New ID chinese_niutou	ADD	
Mamian	馬面 | Horse-Face	馬面	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	The second guardian.	New ID chinese_mamian	ADD	
Jiang Ziya	姜子牙 | Taigong Wang	姜子牙	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Protagonist of the Fengshen Yanyi and holder of the Fengshen Bang, the roster by which the Chinese popular pantheon is staffed. The registry held four of the novel's minor characters and not him.	New ID chinese_jiang_ziya	ADD	
King Zhou of Shang	紂王 | Di Xin	帝辛	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Last king of the Shang and the tyrant of the Fengshen Yanyi, corrupted by Daji on Nüwa's instruction.	New ID chinese_di_xin	ADD	
Daji	妲己 | Su Daji | the nine-tailed fox	妲己	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	The thousand-year fox spirit possessing Su Daji, sent by Nüwa to destroy King Zhou; the origin of the East Asian fox-spirit genre.	New ID chinese_daji	ADD	
King Wen of Zhou	周文王 | Ji Chang	姬昌	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Civil founder of the Zhou, father of King Wu and of Bo Yikao.	New ID chinese_ji_chang	ADD	
King Wu of Zhou	周武王 | Ji Fa	姬發	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Martial founder of the Zhou, who led the conquest of 1046 BC with Jiang Ziya as tactician.	New ID chinese_ji_fa	ADD	
Bo Yikao	伯邑考	伯邑考	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Eldest son of King Wen, killed by Daji and baked into pies served to his father — the atrocity that makes the Zhou rebellion filial.	New ID chinese_bo_yikao	ADD	
Shen Gongbao	申公豹	申公豹	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Jiang Ziya's antagonist, whose object is the destruction of the Fengshen List itself.	New ID chinese_shen_gongbao	ADD	
Tang Sanzang	唐三藏 | Xuanzang | Tripitaka	唐三藏	mortal	Chinese	Reference treatments consulted via server-side web search; see transcript citations	The monk of the Journey to the West and the historical Xuanzang; the registry held his disciple Sun Wukong and not him.	New ID chinese_tang_sanzang	ADD	
Zhu Bajie	豬八戒 | Pigsy	豬八戒	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Second disciple, formerly Marshal of the Heavenly Canopy, banished for propositioning Chang'e — whom the registry held.	New ID chinese_zhu_bajie	ADD	
Sha Wujing	沙悟淨 | Sandy	沙悟淨	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Third disciple, found preying on travellers at the Flowing Sands River.	New ID chinese_sha_wujing	ADD	
White Dragon Horse	白龍馬 | Yulong	白龍馬	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	The dragon prince who carries the monk, and the fifth member the Chinese enumerations count.	New ID chinese_yulong	ADD	
Bull Demon King	牛魔王 | Niu Mowang	牛魔王	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Principal antagonist of the Xiyouji and Sun Wukong's sworn brother.	New ID chinese_niu_mowang	ADD	
Princess Iron Fan	鐵扇公主 | Tieshan Gongzhu	鐵扇公主	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Holder of the Banana-Leaf Fan, who quenches the Flaming Mountains every ten years so the local people can farm.	New ID chinese_tieshan_gongzhu	ADD	
Red Boy	紅孩兒 | Hong Hai'er	紅孩兒	deity	Chinese	Reference treatments consulted via server-side web search; see transcript citations	Their son, defeated by the pilgrims and taken into Guanyin's service — which the registry held without holding him.	New ID chinese_hong_haier	ADD	
