canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Grendel		Grendel	numen	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	THE HEADLINE ABSENCE. The registry held Beowulf and eleven Geats and not one of the three beings the poem's three parts are fights with. Fen-dweller, descendant of Cain, who empties Heorot for twelve years. The record does not say what he looks like, because the poem conspicuously will not.	New ID anglosaxon_grendel	ADD	
Grendel's mother	the mere-wife	Grendles modor	numen	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Unnamed in the poem, and with the clearest motive in it: she takes one life for one life and takes it from the man the king loves best. Filed under the phrase the poem uses, as lane 20 filed Marjatta's son.	New ID anglosaxon_grendels_mother	ADD	
the dragon of the barrow	the worm; se draca; the hoard-guard	draca	numen	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	The third monster and the one that wins. Roused after three hundred years by the theft of a single cup. Id qualified as anglosaxon_beowulf_dragon because 'dragon' alone is a class and this is one dragon.	New ID anglosaxon_beowulf_dragon	ADD	
Hrothgar	Hroðgar	Hroðgar	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	THE POEM IS ABOUT HIS HALL AND THE REGISTRY DID NOT HOLD HIM. King of the Danes, builder of Heorot, husband of Wealhtheow, the man Beowulf comes to help.	New ID anglosaxon_hrothgar	ADD	
Wealhtheow	Wealhþeow	Wealhþeow	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Hrothgar's queen, who carries the cup through the hall in order and speaks twice in public about the succession. Her name means 'foreign servant', which nobody has explained and the record does not.	New ID anglosaxon_wealhtheow	ADD	
Unferth	Hunferth	Unferð	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	The thane who challenges Beowulf at the feast over the Breca match and later lends him Hrunting. The record does not settle whether he is a villain or an office-holder whose office is to challenge; the poem does not.	New ID anglosaxon_unferth	ADD	
Æschere	Aeschere	Æschere	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Hrothgar's closest counsellor, taken by Grendel's mother the night after Grendel dies. The second half of the Danish story happens because of him; the corpus held the mere-fight's winner and not its cause.	New ID anglosaxon_aeschere	ADD	
Freawaru		Freawaru	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Hrothgar's daughter, promised to Ingeld to close a feud. THE POEM'S OWN WORD FOR HER ROLE IS freoduwebbe, PEACE-WEAVER, AND THE POEM SAYS IT WILL NOT WORK.	New ID anglosaxon_freawaru	ADD	
Hrothulf	Hroðulf	Hroðulf	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Hrothgar's nephew, seated beside him while Wealhtheow says in public that she trusts him with her boys. parentIds DELIBERATELY EMPTY: the sources say he is taken to be Halga's son on the strength of OTHER texts and that Beowulf does not say so.	New ID anglosaxon_hrothulf	ADD	
Heorogar	Heregar	Heorogar	mortal	Anglo-Saxon	Reference treatments consulted via server-side web search; see transcript citations	Healfdene's eldest son and Hrothgar's predecessor, dead before the poem opens; his war-gear reaches Beowulf.	New ID anglosaxon_heorogar	ADD	
