canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Princess Bari	Bari Gongju; Bari-degi	바리공주	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	THE ORIGIN STORY KOREAN SHAMANS TELL ABOUT THEMSELVES, and the corpus held six figures of the Jeju bon-puri tradition and not her. The seventh daughter, thrown away at birth, who walks to the underworld for the Water of Revival when her parents are dying. TYPE mortal because in this schema type is a function of descent; what she BECOMES is on the lifecycle.	New ID korean_bari_gongju	ADD	
Yeomra	Yeomna; Yeomra-daewang	염라	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	King of the underworld, fifth of its ten kings, who judges the dead. TEN KINGS AND THE CORPUS HOLDS ONE. No cross-tradition edge to Yama or to any Chinese or Japanese counterpart: the name travelled from Sanskrit through Chinese and the fact is in the etymology.	New ID korean_yeomra	ADD	
Gangnim	Gangnim Doryeong	강림도령	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	THE MORTAL WHO WENT DOWN AND BROUGHT THE KING OF DEATH BACK TO ANSWER A SUMMONS, and afterwards the best known of the jeoseung saja. THE CLASS IS REJECTED AND THE NAMED ONE IS INGESTED.	New ID korean_gangnim	ADD	
Seongjusin		성주신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Chief of the gasin, the god of the ridge-beam, who governs the fortune of the whole family. THE GASIN ARE THE PART OF KOREAN RELIGION PRACTISED DAILY IN EVERY HOME FOR CENTURIES and the corpus held none of the eight.	New ID korean_seongjusin	ADD	
Jowangsin		조왕신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Goddess of fire and the hearth, EMBODIED IN A BOWL OF WATER on a clay altar above the stove, refilled from the well every morning by the woman of the house. THE MOST PRECISELY ATTESTED RITE IN THIS BATCH, AND IT IS A CUP OF WATER.	New ID korean_jowangsin	ADD	
Teojusin		터주신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Patron deity of the ground the house is built on. A GOD OF THE PLOT AND NOT OF THE BUILDING, a distinction the gasin system makes and most pantheons do not.	New ID korean_teojusin	ADD	
Munsin		문신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	God of doors, who stands at the threshold.	New ID korean_munsin	ADD	
Samsin Halmoni	Samsin	삼신할머니	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Goddess of childbirth and children's health, addressed as a grandmother. ONE RECORD FOR A NAME THE SOURCES GIVE IN THE PLURAL - samsin means 'three gods' - because a number is not three records, the rule that kept lane 17 from manufacturing sixty thousand sons.	New ID korean_samsin_halmoni	ADD	
Eopsin		업신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Goddess of the storehouse and of the family's wealth. WEALTH KEPT IN THE SAME BUILDING AS THE GRAIN, which is what a household's wealth actually was.	New ID korean_eopsin	ADD	
Cheuksin		측신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Goddess of the outhouse, and the most dangerous of the household gods to offend. A GODDESS OF THE OUTHOUSE IS NOT A JOKE AND THE RECORD DOES NOT TREAT IT AS ONE: leaving her out because the room is undignified would be a modern reader's edit of a religion.	New ID korean_cheuksin	ADD	
Seonangsin	Seonghwangsin	서낭신	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Patron deity of the village, of boundaries and of war, whose shrine-cairn stands where the village ends. THE ONE OF THE EIGHT WHO IS NOT INSIDE THE HOUSE.	New ID korean_seonangsin	ADD	
Bak Hyeokgeose	Hyeokgeose; Alji Geoseogan	박혁거세	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	Hatched from a heavenly egg and founder of Silla. THE SECOND OF THE FOUR FOUNDATION MYTHS AND THE FIRST OF THE THREE THE CORPUS DID NOT HOLD. The record carries no dates and does not assert that he existed.	New ID korean_hyeokgeose	ADD	
Aryeong	Aryeong Jong; Lady Aryeong	알영	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	Born of a water dragon at the well that gave her her name, first queen of Silla. TWO FOUNDERS, TWO BIRTHS, ONE OUT OF THE SKY AND ONE OUT OF THE WATER - a symmetry a registry can only show if it holds both halves, and it held neither. parentIds is empty and the unnamed dragon stays in the lifecycle.	New ID korean_aryeong	ADD	
Seok Talhae	Talhae	석탈해	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	Founder of the Seok house, who comes over the sea and challenges Suro. SILLA HAS THREE ROYAL SURNAMES AND EACH HAS ITS OWN ARRIVAL STORY - Bak out of an egg, Seok out of the sea, Kim out of a golden box - and the corpus held none of the three.	New ID korean_seok_talhae	ADD	
Kim Alji	Gim Al-ji	김알지	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	Found as an infant in a golden box hanging in a wood; named Kim for the gold and Alji for a child, and the wood named Gyerim, which became a name for Silla itself. A FOUNDATION STORY THAT NAMES A COUNTRY AFTER A WOOD AFTER A BOX.	New ID korean_kim_alji	ADD	
the Dragon King of the East Sea	Donghae Yongwang	동해 용왕	deity	Korean	Reference treatments consulted via server-side web search; see transcript citations	Cheoyong's father, who sends his son up to the Silla capital. FILED UNDER A TITLE BECAUSE THE SOURCE GIVES A TITLE, as lane 20 filed the Maiden of Pohjola and lane 21 Grendel's mother.	New ID korean_east_sea_dragon_king	ADD	
Cheoyong	Cheoyong-rang	처용	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	THE ONLY RECORD FILED AT unified-silla, AND IT FILLS AN ERA THAT HELD NOBODY. He finds the Plague Spirit in his own bed and answers with a song and a dance; the spirit swears off any house showing his face, and the masks go on the doors. The song survives and the dance is still performed.	New ID korean_cheoyong	ADD	
the Plague Spirit	Yeoksin	역신	numen	Korean	Reference treatments consulted via server-side web search; see transcript citations	The spirit Cheoyong finds and shames. A WORD THAT IS ALSO A CLASS, AND THE RECORD SAYS SO: yeoksin is used generally of the gods of epidemic disease, and what is ingested is the one the narrative gives an act and an oath to - lane 22's Liekkio handling.	New ID korean_yeoksin	ADD	
Suro	Kim Suro	수로	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	First of six golden eggs out of a chest that came down from heaven after nine leaders sang and danced; founder of Geumgwan Gaya. THE OTHER FIVE BROTHERS ARE NOT INGESTED, because the source names a number and six kingdoms and not five more men.	New ID korean_suro	ADD	
Heo Hwang-ok	Queen Heo	허황옥	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	Came by boat at sixteen from a kingdom the Samguk Yusa calls Ayuta and became Suro's queen. AYUTA IS NOT LOCATED ON THE RECORD: India, Thailand and Central Asia have all been argued and none is settled.	New ID korean_heo_hwangok	ADD	
Hae Buru	Buru of Buyeo	해부루	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	King of Bukbuyeo and founder of Dongbuyeo, the kingdom Jumong grows up in and runs from. THE CORPUS HELD JUMONG AND NOT THE COURT HE GREW UP IN.	New ID korean_hae_buru	ADD	
Geumwa	Hae Geumwa	금와	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	'Golden frog', found under a stone by Hae Buru and raised as his heir; the king at whose court Jumong grows up. A KING WHOSE NAME IS 'GOLDEN FROG' AND THE RECORD DOES NOT TIDY IT AWAY.	New ID korean_geumwa	ADD	
Daeso	King Daeso	대소	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	Geumwa's eldest son and Jumong's rival - the persecution Jumong runs from. THE CORPUS HELD THE RIVER-CROSSING AND NOT THE PURSUIT.	New ID korean_daeso	ADD	
Soseono	So Seo-no	소서노	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	Daughter of Yeon Tabal of Holbon, widow, whom Jumong marries, and mother of the brothers who found Baekje. SHE IS THE JOIN BETWEEN TWO OF THE FOUR FOUNDATION MYTHS, and the corpus held one complete and could not reach the other.	New ID korean_soseono	ADD	
Onjo	King Onjo	온조	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	Named in the Samguk Sagi, Samguk Yusa and Haedong Goseungjeon as the founder of Baekje. TWO BROTHERS AND THE HISTORIES CANNOT AGREE WHICH FOUNDED THE KINGDOM: both are ingested and neither record chooses.	New ID korean_onjo	ADD	
Biryu	Prince Biryu	비류	demigod	Korean	Reference treatments consulted via server-side web search; see transcript citations	The other claimant, named in the same histories.	New ID korean_biryu	ADD	
Yeonorang	Yeono-rang	연오랑	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	A man of Silla who crosses to Japan with his wife, and the sun and moon of Silla go out. A MYTH IN WHICH THE SUN AND MOON BELONG TO A COUNTRY AND LEAVE WITH THE PEOPLE WHO LEAVE IT.	New ID korean_yeonorang	ADD	
Seonyeo	Seo-nyeo	세오녀	mortal	Korean	Reference treatments consulted via server-side web search; see transcript citations	His wife, who sends back a bolt of silk she wove, with which a rite is held and the light returns. SHE IS THE ONE WHO FIXES IT, AND WITH A PIECE OF CLOTH SHE MADE.	New ID korean_seonyeo	ADD	
Bari Gongju		Bari Gongju		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Seoul-tradition title; Bari-degi and Biri-degi are the Honam and east-coast names, all on the record.	Alias on korean_bari_gongju	ALIAS	korean_bari_gongju
Yeomna		Yeomna		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: A spelling variant.	Alias on korean_yeomra	ALIAS	korean_yeomra
Gangnim Doryeong		Gangnim Doryeong		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: Doryeong is a term of address for a young unmarried man of rank; it stayed on him.	Alias on korean_gangnim	ALIAS	korean_gangnim
Alji Geoseogan		Alji Geoseogan		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: What the sources say Hyeokgeose called himself.	Alias on korean_hyeokgeose	ALIAS	korean_hyeokgeose
Aryeong Jong		Aryeong Jong		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The fuller form in the treatments.	Alias on korean_aryeong	ALIAS	korean_aryeong
Gim Al-ji		Gim Al-ji		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: A romanisation variant.	Alias on korean_kim_alji	ALIAS	korean_kim_alji
Kim Suro		Kim Suro		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Gimhae Kim clan's form of his name.	Alias on korean_suro	ALIAS	korean_suro
Hae Geumwa		Hae Geumwa		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: With the Buyeo royal surname.	Alias on korean_geumwa	ALIAS	korean_geumwa
Buru of Buyeo		Buru of Buyeo		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: As the king-lists give him.	Alias on korean_hae_buru	ALIAS	korean_hae_buru
Seonghwangsin		Seonghwangsin		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The other standard form of the village deity's name.	Alias on korean_seonangsin	ALIAS	korean_seonangsin
Samsin		Samsin		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The name without the grandmother-title, and the form the sources give in the plural.	Alias on korean_samsin_halmoni	ALIAS	korean_samsin_halmoni
Donghae Yongwang		Donghae Yongwang		Korean	Reference treatments consulted via server-side web search; see transcript citations	Alias, not a record: The Korean form of the title the source uses.	Alias on korean_east_sea_dragon_king	ALIAS	korean_east_sea_dragon_king
Hwanin		Hwanin		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_hwanin	EXISTING	korean_hwanin
Hwanung		Hwanung		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_hwanung	EXISTING	korean_hwanung
Ungnyeo		Ungnyeo		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - the bear who became a woman.	Existing ID korean_ungnyeo	EXISTING	korean_ungnyeo
Tangun Wanggeom		Tangun Wanggeom		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held. AND THE ERA NAMED FOR HIS KINGDOM, gojoseon, HOLDS NOBODY: Tangun himself is filed at mythic-prehistoric, so the registry has an era for Gojoseon and files the founder of Gojoseon outside it.	Existing ID korean_tangun	EXISTING	korean_tangun
Haemosu		Haemosu		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_haemosu	EXISTING	korean_haemosu
Habaek		Habaek		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_habaek	EXISTING	korean_habaek
Yuhwa		Yuhwa		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_yuhwa	EXISTING	korean_yuhwa
Jumong		Jumong		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - and not the court he grew up in, the king who sheltered him, the prince he fled, or the wife whose sons founded Baekje.	Existing ID korean_jumong	EXISTING	korean_jumong
Yuri of Goguryeo		Yuri of Goguryeo		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held.	Existing ID korean_yuri	EXISTING	korean_yuri
Cheonji-wang		Cheonji-wang		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - AND HELD AGAIN as jeju_cheonjiwang.	Existing ID korean_cheonjiwang	EXISTING	korean_cheonjiwang
Daebyeol-wang		Daebyeol-wang		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - AND HELD AGAIN as jeju_daebyeolwang.	Existing ID korean_daebyeolwang	EXISTING	korean_daebyeolwang
Sobyeol-wang		Sobyeol-wang		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - AND HELD AGAIN as jeju_sobyeolwang.	Existing ID korean_sobyeolwang	EXISTING	korean_sobyeolwang
Jacheongbi		Jacheongbi		Korean	Reference treatments consulted via server-side web search; see transcript citations	Already in corpus: Held - AND HELD AGAIN as jeju_jacheongbi.	Existing ID korean_jacheongbi	EXISTING	korean_jacheongbi
Cheonji-wang (Jeju)		Cheonji-wang (Jeju)		Korean	Reference treatments consulted via server-side web search; see transcript citations	THE SAME BEING AS korean_cheonjiwang, HELD TWICE. Lane 20 found exactly this between the Finnish and Karelian keys.	Cross-tradition: jeju_cheonjiwang	CROSS-TRADITION SAME FIGURE	jeju_cheonjiwang
Daebyeol-wang (Jeju)		Daebyeol-wang (Jeju)		Korean	Reference treatments consulted via server-side web search; see transcript citations	The same being as korean_daebyeolwang, held twice.	Cross-tradition: jeju_daebyeolwang	CROSS-TRADITION SAME FIGURE	jeju_daebyeolwang
Sobyeol-wang (Jeju)		Sobyeol-wang (Jeju)		Korean	Reference treatments consulted via server-side web search; see transcript citations	The same being as korean_sobyeolwang, held twice.	Cross-tradition: jeju_sobyeolwang	CROSS-TRADITION SAME FIGURE	jeju_sobyeolwang
Jacheongbi (Jeju)		Jacheongbi (Jeju)		Korean	Reference treatments consulted via server-side web search; see transcript citations	The same being as korean_jacheongbi, held twice. FOUR DUPLICATE PAIRS ACROSS TWO KEYS.	Cross-tradition: jeju_jacheongbi	CROSS-TRADITION SAME FIGURE	jeju_jacheongbi
Seolmundae Halmang		Seolmundae Halmang		Korean	Reference treatments consulted via server-side web search; see transcript citations	Held under the Jeju key only, correctly - she is a Jeju figure. The asymmetry is the finding: some Jeju figures are under both keys and some under one.	Cross-tradition: jeju_seolmundae_halmang	CROSS-TRADITION SAME FIGURE	jeju_seolmundae_halmang
