canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
greek_hesiod_zeus — remove alias 'Dia'			n/a	Greek	The corpus's own notes and sources; no web-search budget remained and none was used	Dia is the ACCUSATIVE of Zeus, a grammatical form and not a name, and this programme's founding rules already bar mere grammatical forms. It was shadowing greek_dia, the mortal Lapith princess whom Zeus visited as a stallion - so a search for the mother of Pirithous answered with Zeus.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
greek_anticleia_periphetes — remove alias 'Anticlea'			n/a	Greek	The corpus's own notes and sources; no web-search budget remained and none was used	BOTH RECORDS ALREADY DECLARED THE DISTINCTION IN THEIR OWN NOTES - 'Distinct from Anticleia of Ithaca, mother of Odysseus' and 'Distinct from Anticleia of Epidaurus' - and the bare form is the Ithacan's primary. The record keeps its own primary and 'Antikleia'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
chibiabos — remove alias 'Jiibayaabooz'			n/a	Anishinaabe	The corpus's own notes and sources; no web-search budget remained and none was used	The alias asserted an identity that a separate record (jiibayaabooz, also demigod, also Anishinaabe) denies by existing. Removing the alias ends the shadow; WHETHER THE TWO RECORDS ARE ONE FIGURE IS BLOCKED BELOW, because merging records is not an alias edit.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
insikiran — remove alias 'Anikê'			n/a	Pemon	The corpus's own notes and sources; no web-search budget remained and none was used	INSIKIRAN'S OWN NOTES NAME ANIKE AS A DIFFERENT BROTHER: 'the Macuxi-three-brother form of the cycle (Makunaima, Anikê, Insikiran)'. The bare alias was his brother's name and his brother's record's primary. The qualified 'Anikê (Macuxi rendering)' is LEFT IN PLACE and the contradiction it embodies is blocked below.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
egyptian_isis — remove alias 'Iset'			n/a	Egyptian	The corpus's own notes and sources; no web-search budget remained and none was used	Half of a MUTUAL shadow: the goddess carried 'Iset' and the New Kingdom princess-priestess egyptian_iset_priestess, whose primary IS Iset, carried 'Isis'. Each answered for the other. The goddess keeps 'Aset'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
egyptian_iset_priestess — remove alias 'Isis'			n/a	Egyptian	The corpus's own notes and sources; no web-search budget remained and none was used	The other half. She keeps her primary 'Iset' and the office-qualified 'Iset, God's Wife of Amun'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
egyptian_khaemwaset_c — remove alias 'Khaemweset'			n/a	Egyptian	The corpus's own notes and sources; no web-search budget remained and none was used	HIS OWN NOTES SAY HE WAS 'named after Ramesses II's famous antiquarian son' - an explicit namesake, two distinct men - and the bare form is that son's primary. He keeps 'Khaemwaset' and 'Khaemuaset'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
greek_anaxibia_atreid — remove alias 'Astyoche'			n/a	Greek	The corpus's own notes and sources; no web-search budget remained and none was used	TRIPLY AMBIGUOUS - it shadowed greek_apollod_astyoche, greek_astyoche_laomedon AND greek_astyoche_simoeis - and NOTHING IN ANAXIBIA'S OWN NOTES SUPPORTS IT. An alias that three other records answer to, unsupported by its holder's evidence, is removed rather than qualified.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
greek_polydorus_thebes — remove alias 'Polydorus'			n/a	Greek	The corpus's own notes and sources; no web-search budget remained and none was used	His primary is already disambiguated as 'Polydorus of Thebes'; the bare alias was the Trojan Polydorus's primary. He keeps 'Polydoros' and 'Polydorus son of Cadmus'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
ingessana_sun — remove aliases 'Tel' and 'tel'			n/a	Ingessana	The corpus's own notes and sources; no web-search budget remained and none was used	THE CLEAREST CASE IN THE WHOLE SET, AND THE CORPUS SETTLES IT ITSELF. The Sun's own notes say the sun is 'the visible seat of the creator WHOSE NAME IT SHARES', and the creator's record says 'the sun is only the foremost of the things Tel brought into being'. Carrying 'Tel' as the Sun's alias made the created thing answer for its creator - the exact error both records were written to deny. The record is left with an empty alias list, which is correct: it is 'The Sun'.	Alias removed from a pre-existing record	ALIAS-REMOVED	n/a
