canonical_name	aliases	native_form	proposed_type	tradition	sources	inclusion_reason	duplicate_or_equivalent	disposition	corpus_name_hits
Amaunet	Amunet | Imnt	Jmnt	deity	Egyptian	Reference treatment of the Ogdoad	Female half of the Amun pair in the Ogdoad. The registry held Amun and not her.	Proposed new ID egyptian_amaunet	ADD	
Naunet	Nunet | Nwnt	Nwnt	deity	Egyptian	Reference treatment of the Ogdoad	Female half of the Nun pair. Nun's record listed 'Nunet (fem.)' as an alias, which collapses one of the eight into a footnote.	Proposed new ID egyptian_naunet	ADD	
Heh	Huh | Hah | Ḥḥ	Ḥḥ	deity	Egyptian	Reference treatments of the Ogdoad and of Heh's iconography	Endlessness personified, and the kneeling figure with notched palm ribs on Tutankhamun's furniture.	Proposed new ID egyptian_heh	ADD	
Hauhet	Hehut | Ḥḥwt	Ḥḥwt	deity	Egyptian	Reference treatment of the Ogdoad	Female half of the Heh pair. No mythology of her own; the Ogdoad is symmetrical and incomplete without her.	Proposed new ID egyptian_hauhet	ADD	
Kek	Kuk | Keku | Kkw	Kkw	deity	Egyptian	Reference treatments of the Ogdoad and of Kek	Primeval darkness, with the epithet 'bringer-in of the light'.	Proposed new ID egyptian_kek	ADD	
Kauket	Keket | Kkwt	Kkwt	deity	Egyptian	Reference treatment of the Ogdoad	Female half of the Kek pair, 'bringer-in of the night'.	Proposed new ID egyptian_kauket	ADD	
Tatenen	Ta-tenen | Tatjenen | Tanen	Tꜣ-ṯnn	deity	Egyptian	Reference treatments of Tatenen and Memphite theology	The primeval mound personified, merged with Ptah as Ptah-Tatenen. The registry held Ptah and not the ground he stands on.	Proposed new ID egyptian_tatenen	ADD	
Khepri	Khepera | Chepri | Ḫprj	Ḫprj	deity	Egyptian	Reference treatment of Khepri and of the scarab	The scarab of the rising sun, and the commonest amulet Egypt produced.	Proposed new ID egyptian_khepri	ADD	
Aten	Aton | Jtn	Jtn	deity	Egyptian	Reference treatments of the Aten and of Amarna	The sun disk of the Amarna reform. The registry held Akhenaten, Nefertiti, Meritaten, Meketaten and Tutankhamun and not the god the whole episode was about.	Proposed new ID egyptian_aten	ADD	
Iah	Yah | Jah | Aah	Jꜥḥ	deity	Egyptian	Reference treatment of Iah	The personified moon, absorbed into Thoth and Khonsu. The registry held the king Ahmose, 'the moon is born', and not the moon.	Proposed new ID egyptian_iah	ADD	
